date,crime
2016-05-01,54.56493784826404
2016-05-02,61.08015430775825
2016-05-03,59.451350192884696
2016-05-04,60.26575225032147
2016-05-05,70.85297899699957
2016-05-06,71.66738105443635
2016-05-07,55.37933990570081
2016-05-08,53.75053579082726
2016-05-09,59.451350192884696
2016-05-10,60.26575225032147
2016-05-11,59.451350192884696
2016-05-12,61.08015430775825
2016-05-13,59.451350192884696
2016-05-14,57.00814402057436
2016-05-15,57.00814402057436
2016-05-16,58.636948135447916
2016-05-17,59.451350192884696
2016-05-18,58.636948135447916
2016-05-19,57.82254607801114
2016-05-20,54.56493784826404
2016-05-21,52.121731675953704
2016-05-22,53.75053579082726
2016-05-23,57.00814402057436
2016-05-24,61.89455636519502
2016-05-25,58.636948135447916
2016-05-26,59.451350192884696
2016-05-27,56.19374196313759
2016-05-28,55.37933990570081
2016-05-29,57.82254607801114
2016-05-30,53.75053579082726
2016-05-31,57.00814402057436
2016-06-01,55.37933990570081
2016-06-02,56.19374196313759
2016-06-03,54.56493784826404
2016-06-04,52.936133733390484
2016-06-05,54.56493784826404
2016-06-06,55.37933990570081
2016-06-07,57.82254607801114
2016-06-08,57.00814402057436
2016-06-09,53.75053579082726
2016-06-10,57.00814402057436
2016-06-11,52.121731675953704
2016-06-12,61.89455636519502
2016-06-13,61.08015430775825
2016-06-14,61.89455636519502
2016-06-15,61.89455636519502
2016-06-16,61.08015430775825
2016-06-17,56.19374196313759
2016-06-18,55.37933990570081
2016-06-19,56.19374196313759
2016-06-20,56.19374196313759
2016-06-21,57.00814402057436
2016-06-22,56.19374196313759
2016-06-23,56.19374196313759
2016-06-24,52.121731675953704
2016-06-25,49.67852550364337
2016-06-26,53.75053579082726
2016-06-27,52.121731675953704
2016-06-28,56.19374196313759
2016-06-29,54.56493784826404
2016-06-30,53.75053579082726
2016-07-01,51.307329618516924
2016-07-02,50.49292756108015
2016-07-03,52.936133733390484
2016-07-04,52.121731675953704
2016-07-05,53.75053579082726
2016-07-06,57.82254607801114
2016-07-07,61.08015430775825
2016-07-08,66.78096870981568
2016-07-09,64.33776253750536
2016-07-10,61.89455636519502
2016-07-11,65.15216459494214
2016-07-12,61.08015430775825
2016-07-13,60.26575225032147
2016-07-14,60.26575225032147
2016-07-15,57.82254607801114
2016-07-16,55.37933990570081
2016-07-17,59.451350192884696
2016-07-18,57.00814402057436
2016-07-19,57.00814402057436
2016-07-20,55.37933990570081
2016-07-21,56.19374196313759
2016-07-22,59.451350192884696
2016-07-23,55.37933990570081
2016-07-24,56.19374196313759
2016-07-25,55.37933990570081
2016-07-26,58.636948135447916
2016-07-27,56.19374196313759
2016-07-28,55.37933990570081
2016-07-29,52.936133733390484
2016-07-30,52.936133733390484
2016-07-31,57.00814402057436
2016-08-01,53.75053579082726
2016-08-02,54.56493784826404
2016-08-03,54.56493784826404
2016-08-04,55.37933990570081
2016-08-05,52.936133733390484
2016-08-06,52.121731675953704
2016-08-07,52.936133733390484
2016-08-08,52.121731675953704
2016-08-09,52.936133733390484
2016-08-10,53.75053579082726
2016-08-11,55.37933990570081
2016-08-12,52.121731675953704
2016-08-13,51.307329618516924
2016-08-14,55.37933990570081
2016-08-15,56.19374196313759
2016-08-16,55.37933990570081
2016-08-17,54.56493784826404
2016-08-18,55.37933990570081
2016-08-19,52.936133733390484
2016-08-20,52.121731675953704
2016-08-21,54.56493784826404
2016-08-22,56.19374196313759
2016-08-23,57.82254607801114
2016-08-24,59.451350192884696
2016-08-25,61.89455636519502
2016-08-26,59.451350192884696
2016-08-27,55.37933990570081
2016-08-28,61.08015430775825
2016-08-29,61.08015430775825
2016-08-30,64.33776253750536
2016-08-31,65.15216459494214
2016-09-01,60.26575225032147
2016-09-02,60.26575225032147
2016-09-03,58.636948135447916
2016-09-04,61.08015430775825
2016-09-05,59.451350192884696
2016-09-06,61.08015430775825
2016-09-07,58.636948135447916
2016-09-08,61.08015430775825
2016-09-09,57.82254607801114
2016-09-10,54.56493784826404
2016-09-11,57.00814402057436
2016-09-12,63.523360480068575
2016-09-13,62.7089584226318
2016-09-14,61.89455636519502
2016-09-15,61.89455636519502
2016-09-16,58.636948135447916
2016-09-17,54.56493784826404
2016-09-18,59.451350192884696
2016-09-19,81.44020574367767
2016-09-20,69.22417488212601
2016-09-21,67.59537076725246
2016-09-22,68.40977282468924
2016-09-23,65.15216459494214
2016-09-24,59.451350192884696
2016-09-25,63.523360480068575
2016-09-26,66.78096870981568
2016-09-27,73.2961851693099
2016-09-28,64.33776253750536
2016-09-29,63.523360480068575
2016-09-30,60.26575225032147
2016-10-01,58.318474067723955
2016-10-02,59.725675096442345
2016-10-03,61.540077153879125
2016-10-04,62.854479211315905
2016-10-05,62.354479211315905
2016-10-06,62.040077153879125
2016-10-07,56.50407201028718
2016-10-08,53.78246892413202
2016-10-09,60.132876125160735
2016-10-10,61.540077153879125
2016-10-11,61.540077153879125
2016-10-12,61.540077153879125
2016-10-13,61.040077153879125
2016-10-14,57.50407201028718
2016-10-15,55.18966995285041
2016-10-16,60.225675096442345
2016-10-17,64.57608229747106
2016-10-18,73.55529361337334
2016-10-19,64.16888126875267
2016-10-20,60.540077153879125
2016-10-21,56.5968709815688
2016-10-22,54.28246892413202
2016-10-23,57.00407201028718
2016-10-24,57.818474067723955
2016-10-25,59.225675096442345
2016-10-26,58.818474067723955
2016-10-27,57.91127303900557
2016-10-28,54.78246892413202
2016-10-29,49.839262751821686
2016-10-30,54.78246892413202
2016-10-31,59.725675096442345
2016-11-01,60.540077153879125
2016-11-02,58.0
