date,election fraud
2016-05-01,1.3269876819708846
2016-05-02,5.750279955207167
2016-05-03,9.288913773796192
2016-05-04,36.713325867861144
2016-05-05,21.674132138857782
2016-05-06,11.500559910414333
2016-05-07,10.173572228443449
2016-05-08,9.288913773796192
2016-05-09,7.961926091825308
2016-05-10,7.51959686450168
2016-05-11,8.846584546472565
2016-05-12,4.4232922732362825
2016-05-13,2.653975363941769
2016-05-14,7.961926091825308
2016-05-15,9.731243001119822
2016-05-16,4.865621500559911
2016-05-17,5.307950727883538
2016-05-18,14.59686450167973
2016-05-19,8.846584546472565
2016-05-20,6.192609182530795
2016-05-21,4.865621500559911
2016-05-22,8.404255319148936
2016-05-23,9.731243001119822
2016-05-24,7.077267637178052
2016-05-25,7.077267637178052
2016-05-26,3.980963045912654
2016-05-27,4.4232922732362825
2016-05-28,6.634938409854423
2016-05-29,4.4232922732362825
2016-05-30,7.961926091825308
2016-05-31,7.961926091825308
2016-06-01,6.192609182530795
2016-06-02,6.192609182530795
2016-06-03,7.51959686450168
2016-06-04,7.51959686450168
2016-06-05,4.865621500559911
2016-06-06,4.865621500559911
2016-06-07,7.077267637178052
2016-06-08,21.231802911534153
2016-06-09,14.154535274356103
2016-06-10,24.328107502799554
2016-06-11,17.69316909294513
2016-06-12,20.347144456886898
2016-06-13,17.69316909294513
2016-06-14,22.55879059350504
2016-06-15,21.674132138857782
2016-06-16,20.789473684210527
2016-06-17,18.577827547592385
2016-06-18,16.80851063829787
2016-06-19,11.500559910414333
2016-06-20,16.366181410974246
2016-06-21,9.731243001119822
2016-06-22,8.404255319148936
2016-06-23,9.731243001119822
2016-06-24,4.865621500559911
2016-06-25,5.750279955207167
2016-06-26,4.865621500559911
2016-06-27,0.4423292273236282
2016-06-28,9.288913773796192
2016-06-29,8.404255319148936
2016-06-30,8.846584546472565
2016-07-01,7.077267637178052
2016-07-02,6.634938409854423
2016-07-03,7.51959686450168
2016-07-04,1.769316909294513
2016-07-05,3.0963045912653975
2016-07-06,2.653975363941769
2016-07-07,1.769316909294513
2016-07-08,3.980963045912654
2016-07-09,4.4232922732362825
2016-07-10,4.865621500559911
2016-07-11,2.653975363941769
2016-07-12,1.769316909294513
2016-07-13,3.538633818589026
2016-07-14,4.865621500559911
2016-07-15,5.750279955207167
2016-07-16,5.750279955207167
2016-07-17,3.0963045912653975
2016-07-18,2.653975363941769
2016-07-19,1.769316909294513
2016-07-20,3.538633818589026
2016-07-21,2.653975363941769
2016-07-22,2.653975363941769
2016-07-23,4.865621500559911
2016-07-24,6.634938409854423
2016-07-25,6.634938409854423
2016-07-26,9.288913773796192
2016-07-27,8.404255319148936
2016-07-28,18.577827547592385
2016-07-29,16.366181410974246
2016-07-30,18.577827547592385
2016-07-31,11.500559910414333
2016-08-01,9.731243001119822
2016-08-02,10.615901455767077
2016-08-03,9.731243001119822
2016-08-04,7.51959686450168
2016-08-05,6.634938409854423
2016-08-06,7.51959686450168
2016-08-07,6.634938409854423
2016-08-08,5.307950727883538
2016-08-09,6.192609182530795
2016-08-10,6.192609182530795
2016-08-11,0.4423292273236282
2016-08-12,3.980963045912654
2016-08-13,6.634938409854423
2016-08-14,7.51959686450168
2016-08-15,2.653975363941769
2016-08-16,6.634938409854423
2016-08-17,3.538633818589026
2016-08-18,5.750279955207167
2016-08-19,2.653975363941769
2016-08-20,3.538633818589026
2016-08-21,7.077267637178052
2016-08-22,3.0963045912653975
2016-08-23,3.538633818589026
2016-08-24,4.865621500559911
2016-08-25,3.538633818589026
2016-08-26,4.865621500559911
2016-08-27,1.3269876819708846
2016-08-28,2.2116461366181412
2016-08-29,3.0963045912653975
2016-08-30,5.307950727883538
2016-08-31,3.980963045912654
2016-09-01,3.0963045912653975
2016-09-02,3.0963045912653975
2016-09-03,2.2116461366181412
2016-09-04,2.2116461366181412
2016-09-05,3.0963045912653975
2016-09-06,3.0963045912653975
2016-09-07,3.980963045912654
2016-09-08,3.0963045912653975
2016-09-09,2.653975363941769
2016-09-10,3.538633818589026
2016-09-11,0.0
2016-09-12,1.769316909294513
2016-09-13,3.538633818589026
2016-09-14,3.0963045912653975
2016-09-15,3.538633818589026
2016-09-16,1.769316909294513
2016-09-17,3.538633818589026
2016-09-18,1.3269876819708846
2016-09-19,3.0963045912653975
2016-09-20,3.980963045912654
2016-09-21,2.2116461366181412
2016-09-22,1.769316909294513
2016-09-23,3.538633818589026
2016-09-24,3.538633818589026
2016-09-25,2.653975363941769
2016-09-26,3.0963045912653975
2016-09-27,3.538633818589026
2016-09-28,5.750279955207167
2016-09-29,5.750279955207167
2016-09-30,2.653975363941769
2016-10-01,5.653975363941769
2016-10-02,1.6634938409854423
2016-10-03,3.6058230683090704
2016-10-04,3.490481522956327
2016-10-05,3.7116461366181412
2016-10-06,2.5481522956326987
2016-10-07,7.9232922732362825
2016-10-08,3.1058230683090704
2016-10-09,2.163493840985442
2016-10-10,3.5481522956326987
2016-10-11,8.202127659574469
2016-10-12,12.134938409854424
2016-10-13,6.375139977603583
2016-10-14,7.2597984322508395
2016-10-15,5.653975363941769
2016-10-16,10.923292273236282
2016-10-17,17.683090705487125
2016-10-18,27.818029115341545
2016-10-19,26.82754759238522
2016-10-20,42.61646136618141
2016-10-21,19.673572228443447
2016-10-22,17.567749160134376
2016-10-23,15.461926091825308
2016-10-24,12.461926091825308
2016-10-25,21.942889137737964
2016-10-26,18.067749160134376
2016-10-27,15.961926091825308
2016-10-28,16.634938409854424
2016-10-29,19.788913773796192
2016-10-30,8.480963045912654
2016-10-31,13.192609182530795
