date,collusion
2016-05-01,8.384563303994584
2016-05-02,10.014895057549086
2016-05-03,9.549085985104943
2016-05-04,7.220040622884225
2016-05-05,10.48070412999323
2016-05-06,8.850372376438727
2016-05-07,4.192281651997292
2016-05-08,6.288422477995938
2016-05-09,10.713608666215302
2016-05-10,10.014895057549086
2016-05-11,10.014895057549086
2016-05-12,7.91875423155044
2016-05-13,6.754231550440082
2016-05-14,5.822613405551794
2016-05-15,4.890995260663507
2016-05-16,8.384563303994584
2016-05-17,7.452945159106297
2016-05-18,8.151658767772512
2016-05-19,8.617467840216655
2016-05-20,6.288422477995938
2016-05-21,5.356804333107651
2016-05-22,5.356804333107651
2016-05-23,8.384563303994584
2016-05-24,6.288422477995938
2016-05-25,7.220040622884225
2016-05-26,6.288422477995938
2016-05-27,6.288422477995938
2016-05-28,4.192281651997292
2016-05-29,4.890995260663507
2016-05-30,6.521327014218009
2016-05-31,7.220040622884225
2016-06-01,7.220040622884225
2016-06-02,5.356804333107651
2016-06-03,4.658090724441435
2016-06-04,3.95937711577522
2016-06-05,5.123899796885579
2016-06-06,7.91875423155044
2016-06-07,7.685849695328368
2016-06-08,7.220040622884225
2016-06-09,9.781990521327014
2016-06-10,7.220040622884225
2016-06-11,5.822613405551794
2016-06-12,5.589708869329723
2016-06-13,6.521327014218009
2016-06-14,5.123899796885579
2016-06-15,5.356804333107651
2016-06-16,6.9871360866621535
2016-06-17,5.589708869329723
2016-06-18,4.658090724441435
2016-06-19,5.822613405551794
2016-06-20,8.617467840216655
2016-06-21,8.151658767772512
2016-06-22,6.055517941773866
2016-06-23,5.822613405551794
2016-06-24,5.822613405551794
2016-06-25,3.7264725795531484
2016-06-26,4.658090724441435
2016-06-27,4.425186188219364
2016-06-28,3.95937711577522
2016-06-29,6.288422477995938
2016-06-30,3.027758970886933
2016-07-01,4.425186188219364
2016-07-02,3.95937711577522
2016-07-03,2.7948544346648614
2016-07-04,5.356804333107651
2016-07-05,6.754231550440082
2016-07-06,5.822613405551794
2016-07-07,5.822613405551794
2016-07-08,5.123899796885579
2016-07-09,3.2606635071090047
2016-07-10,4.192281651997292
2016-07-11,3.7264725795531484
2016-07-12,4.658090724441435
2016-07-13,6.288422477995938
2016-07-14,4.192281651997292
2016-07-15,4.658090724441435
2016-07-16,4.658090724441435
2016-07-17,3.4935680433310767
2016-07-18,5.123899796885579
2016-07-19,4.425186188219364
2016-07-20,4.425186188219364
2016-07-21,7.685849695328368
2016-07-22,7.91875423155044
2016-07-23,6.9871360866621535
2016-07-24,7.91875423155044
2016-07-25,10.247799593771157
2016-07-26,10.946513202437373
2016-07-27,7.452945159106297
2016-07-28,8.151658767772512
2016-07-29,7.452945159106297
2016-07-30,5.356804333107651
2016-07-31,5.822613405551794
2016-08-01,6.055517941773866
2016-08-02,5.822613405551794
2016-08-03,5.589708869329723
2016-08-04,7.220040622884225
2016-08-05,6.9871360866621535
2016-08-06,4.658090724441435
2016-08-07,4.890995260663507
2016-08-08,4.890995260663507
2016-08-09,4.658090724441435
2016-08-10,5.123899796885579
2016-08-11,5.589708869329723
2016-08-12,6.055517941773866
2016-08-13,5.356804333107651
2016-08-14,3.4935680433310767
2016-08-15,5.123899796885579
2016-08-16,5.589708869329723
2016-08-17,4.890995260663507
2016-08-18,7.685849695328368
2016-08-19,7.452945159106297
2016-08-20,5.356804333107651
2016-08-21,5.356804333107651
2016-08-22,6.288422477995938
2016-08-23,6.754231550440082
2016-08-24,6.055517941773866
2016-08-25,5.356804333107651
2016-08-26,4.658090724441435
2016-08-27,5.356804333107651
2016-08-28,3.95937711577522
2016-08-29,5.822613405551794
2016-08-30,6.9871360866621535
2016-08-31,6.521327014218009
2016-09-01,6.754231550440082
2016-09-02,6.9871360866621535
2016-09-03,6.521327014218009
2016-09-04,4.890995260663507
2016-09-05,6.754231550440082
2016-09-06,5.822613405551794
2016-09-07,7.91875423155044
2016-09-08,7.685849695328368
2016-09-09,7.685849695328368
2016-09-10,4.658090724441435
2016-09-11,5.822613405551794
2016-09-12,8.617467840216655
2016-09-13,9.0832769126608
2016-09-14,6.754231550440082
2016-09-15,7.220040622884225
2016-09-16,5.822613405551794
2016-09-17,6.055517941773866
2016-09-18,6.055517941773866
2016-09-19,7.685849695328368
2016-09-20,8.384563303994584
2016-09-21,7.452945159106297
2016-09-22,8.850372376438727
2016-09-23,7.452945159106297
2016-09-24,4.425186188219364
2016-09-25,5.822613405551794
2016-09-26,8.384563303994584
2016-09-27,8.617467840216655
2016-09-28,11.179417738659446
2016-09-29,10.713608666215302
2016-09-30,8.850372376438727
2016-10-01,5.561949898442789
2016-10-02,6.794854434664861
2016-10-03,8.658090724441436
2016-10-04,9.158090724441436
2016-10-05,10.473256601218687
2016-10-06,8.308733920108327
2016-10-07,10.85680433310765
2016-10-08,7.8087339201083275
2016-10-09,7.692281651997292
2016-10-10,9.007447528774543
2016-10-11,19.0832769126608
2016-10-12,22.64522681110359
2016-10-13,14.884563303994584
2016-10-14,12.43906567366283
2016-10-15,13.404874746106973
2016-10-16,6.760663507109005
2016-10-17,13.370683818551118
2016-10-18,15.02132701421801
2016-10-19,12.555517941773866
2016-10-20,12.555517941773866
2016-10-21,9.623899796885578
2016-10-22,5.377115775220041
2016-10-23,5.212593094109682
2016-10-24,10.85680433310765
2016-10-25,11.822613405551795
2016-10-26,11.43906567366283
2016-10-27,10.274542992552472
2016-10-28,10.507447528774543
2016-10-29,8.890995260663507
2016-10-30,6.260663507109005
2016-10-31,13.52132701421801
2016-11-01,13.171970209884902
