date,trump unfit
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,1.0
2016-05-04,1.0
2016-05-05,1.0
2016-05-06,3.0
2016-05-07,2.0
2016-05-08,3.0
2016-05-09,0.0
2016-05-10,3.0
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,1.0
2016-05-18,1.0
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,1.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,1.0
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,3.0
2016-06-03,10.0
2016-06-04,2.0
2016-06-05,2.0
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,5.0
2016-06-09,0.0
2016-06-10,1.0
2016-06-11,3.0
2016-06-12,2.0
2016-06-13,1.0
2016-06-14,7.0
2016-06-15,1.0
2016-06-16,0.0
2016-06-17,1.0
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,0.0
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,1.0
2016-06-25,3.0
2016-06-26,2.0
2016-06-27,1.0
2016-06-28,1.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,2.0
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,3.0
2016-07-07,0.0
2016-07-08,0.0
2016-07-09,2.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,3.0
2016-07-14,3.0
2016-07-15,0.0
2016-07-16,2.0
2016-07-17,2.0
2016-07-18,1.0
2016-07-19,0.0
2016-07-20,4.0
2016-07-21,4.0
2016-07-22,1.0
2016-07-23,2.0
2016-07-24,5.0
2016-07-25,0.0
2016-07-26,3.0
2016-07-27,4.0
2016-07-28,4.0
2016-07-29,6.0
2016-07-30,7.0
2016-07-31,0.0
2016-08-01,8.0
2016-08-02,100.0
2016-08-03,61.0
2016-08-04,33.0
2016-08-05,26.0
2016-08-06,5.0
2016-08-07,8.0
2016-08-08,4.0
2016-08-09,14.0
2016-08-10,4.0
2016-08-11,1.0
2016-08-12,3.0
2016-08-13,3.0
2016-08-14,0.0
2016-08-15,4.0
2016-08-16,4.0
2016-08-17,0.0
2016-08-18,1.0
2016-08-19,1.0
2016-08-20,3.0
2016-08-21,2.0
2016-08-22,4.0
2016-08-23,0.0
2016-08-24,0.0
2016-08-25,1.0
2016-08-26,1.0
2016-08-27,0.0
2016-08-28,2.0
2016-08-29,1.0
2016-08-30,1.0
2016-08-31,1.0
2016-09-01,1.0
2016-09-02,1.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,0.0
2016-09-07,4.0
2016-09-08,4.0
2016-09-09,4.0
2016-09-10,0.0
2016-09-11,5.0
2016-09-12,0.0
2016-09-13,3.0
2016-09-14,3.0
2016-09-15,3.0
2016-09-16,4.0
2016-09-17,5.0
2016-09-18,5.0
2016-09-19,3.0
2016-09-20,1.0
2016-09-21,1.0
2016-09-22,3.0
2016-09-23,3.0
2016-09-24,2.0
2016-09-25,0.0
2016-09-26,1.0
2016-09-27,3.0
2016-09-28,6.0
2016-09-29,5.0
2016-09-30,19.0
2016-10-01,14.131147540983607
2016-10-02,8.811475409836065
2016-10-03,3.4672131147540983
2016-10-04,4.713114754098361
2016-10-05,1.1065573770491803
2016-10-06,2.7131147540983607
2016-10-07,5.10655737704918
2016-10-08,4.8196721311475414
2016-10-09,7.696721311475409
2016-10-10,8.540983606557376
2016-10-11,6.3196721311475414
2016-10-12,7.196721311475409
2016-10-13,4.827868852459016
2016-10-14,3.221311475409836
2016-10-15,3.0983606557377046
2016-10-16,3.5983606557377046
2016-10-17,3.8442622950819674
2016-10-18,4.704918032786885
2016-10-19,3.9672131147540983
2016-10-20,7.3196721311475414
2016-10-21,1.360655737704918
2016-10-22,1.2295081967213115
2016-10-23,1.1147540983606556
2016-10-24,2.860655737704918
2016-10-25,2.860655737704918
2016-10-26,3.1065573770491803
2016-10-27,1.6065573770491803
2016-10-28,3.1065573770491803
2016-10-29,0.6147540983606558
2016-10-30,3.4672131147540983
2016-10-31,1.6065573770491803
2016-11-01,2.860655737704918
2016-11-02,3.9344262295081966
2016-11-03,3.6885245901639343
2016-11-04,5.163934426229508
2016-11-05,2.459016393442623
2016-11-06,3.1967213114754096
2016-11-07,4.918032786885246
2016-11-08,2.2131147540983607
2016-11-09,21.147540983606557
2016-11-10,12.049180327868852
2016-11-11,15.98360655737705
2016-11-12,10.081967213114753
2016-11-13,6.885245901639344
2016-11-14,4.426229508196721
2016-11-15,6.639344262295082
2016-11-16,2.7049180327868854
2016-11-17,2.7049180327868854
2016-11-18,2.7049180327868854
2016-11-19,2.459016393442623
2016-11-20,2.459016393442623
2016-11-21,0.9836065573770492
2016-11-22,2.2131147540983607
2016-11-23,0.0
2016-11-24,2.7049180327868854
2016-11-25,1.2295081967213115
2016-11-26,1.2295081967213115
2016-11-27,2.459016393442623
2016-11-28,2.2131147540983607
2016-11-29,6.885245901639344
2016-11-30,3.1967213114754096
2016-12-01,0.9836065573770492
2016-12-02,1.721311475409836
2016-12-03,0.0
2016-12-04,3.1967213114754096
2016-12-05,2.7049180327868854
2016-12-06,2.2131147540983607
2016-12-07,1.721311475409836
2016-12-08,2.2131147540983607
2016-12-09,3.442622950819672
2016-12-10,1.4754098360655736
2016-12-11,1.9672131147540983
2016-12-12,3.1967213114754096
2016-12-13,3.6885245901639343
2016-12-14,2.2131147540983607
2016-12-15,2.2131147540983607
2016-12-16,2.2131147540983607
2016-12-17,2.459016393442623
2016-12-18,3.1967213114754096
2016-12-19,2.7049180327868854
2016-12-20,3.442622950819672
2016-12-21,2.9508196721311473
2016-12-22,3.442622950819672
2016-12-23,1.2295081967213115
2016-12-24,4.1803278688524586
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,1.2295081967213115
2016-12-29,1.721311475409836
2016-12-30,0.0
2016-12-31,1.2295081967213115
2017-01-01,2.7049180327868854
2017-01-02,1.2295081967213115
2017-01-03,3.1967213114754096
2017-01-04,1.721311475409836
2017-01-05,1.721311475409836
2017-01-06,4.426229508196721
2017-01-07,1.2295081967213115
2017-01-08,1.2295081967213115
2017-01-09,1.4754098360655736
2017-01-10,0.9836065573770492
2017-01-11,2.7049180327868854
2017-01-12,4.672131147540983
2017-01-13,3.1967213114754096
2017-01-14,2.459016393442623
2017-01-15,4.672131147540983
2017-01-16,1.9672131147540983
2017-01-17,5.163934426229508
2017-01-18,1.4754098360655736
