date,senility
2016-05-01,26.611510791366907
2016-05-02,22.66906474820144
2016-05-03,35.482014388489205
2016-05-04,35.482014388489205
2016-05-05,40.410071942446045
2016-05-06,71.94964028776978
2016-05-07,31.53956834532374
2016-05-08,38.43884892086331
2016-05-09,52.23741007194244
2016-05-10,58.15107913669065
2016-05-11,35.482014388489205
2016-05-12,29.568345323741006
2016-05-13,50.26618705035971
2016-05-14,30.553956834532375
2016-05-15,30.553956834532375
2016-05-16,42.381294964028775
2016-05-17,44.35251798561151
2016-05-18,48.294964028776974
2016-05-19,22.66906474820144
2016-05-20,23.654676258992804
2016-05-21,22.66906474820144
2016-05-22,34.49640287769784
2016-05-23,25.62589928057554
2016-05-24,22.66906474820144
2016-05-25,42.381294964028775
2016-05-26,30.553956834532375
2016-05-27,27.597122302158272
2016-05-28,30.553956834532375
2016-05-29,30.553956834532375
2016-05-30,40.410071942446045
2016-05-31,15.76978417266187
2016-06-01,25.62589928057554
2016-06-02,29.568345323741006
2016-06-03,30.553956834532375
2016-06-04,35.482014388489205
2016-06-05,50.26618705035971
2016-06-06,35.482014388489205
2016-06-07,38.43884892086331
2016-06-08,22.66906474820144
2016-06-09,29.568345323741006
2016-06-10,23.654676258992804
2016-06-11,49.280575539568346
2016-06-12,49.280575539568346
2016-06-13,45.33812949640288
2016-06-14,25.62589928057554
2016-06-15,22.66906474820144
2016-06-16,36.46762589928058
2016-06-17,27.597122302158272
2016-06-18,15.76978417266187
2016-06-19,15.76978417266187
2016-06-20,45.33812949640288
2016-06-21,25.62589928057554
2016-06-22,25.62589928057554
2016-06-23,36.46762589928058
2016-06-24,55.194244604316545
2016-06-25,15.76978417266187
2016-06-26,15.76978417266187
2016-06-27,29.568345323741006
2016-06-28,29.568345323741006
2016-06-29,26.611510791366907
2016-06-30,50.26618705035971
2016-07-01,37.45323741007194
2016-07-02,35.482014388489205
2016-07-03,31.53956834532374
2016-07-04,31.53956834532374
2016-07-05,33.510791366906474
2016-07-06,55.194244604316545
2016-07-07,34.49640287769784
2016-07-08,20.697841726618705
2016-07-09,15.76978417266187
2016-07-10,27.597122302158272
2016-07-11,23.654676258992804
2016-07-12,52.23741007194244
2016-07-13,33.510791366906474
2016-07-14,33.510791366906474
2016-07-15,20.697841726618705
2016-07-16,23.654676258992804
2016-07-17,23.654676258992804
2016-07-18,40.410071942446045
2016-07-19,37.45323741007194
2016-07-20,47.30935251798561
2016-07-21,54.20863309352518
2016-07-22,38.43884892086331
2016-07-23,39.42446043165467
2016-07-24,35.482014388489205
2016-07-25,23.654676258992804
2016-07-26,29.568345323741006
2016-07-27,26.611510791366907
2016-07-28,33.510791366906474
2016-07-29,34.49640287769784
2016-07-30,48.294964028776974
2016-07-31,63.07913669064748
2016-08-01,56.17985611510791
2016-08-02,40.410071942446045
2016-08-03,30.553956834532375
2016-08-04,30.553956834532375
2016-08-05,20.697841726618705
2016-08-06,31.53956834532374
2016-08-07,15.76978417266187
2016-08-08,23.654676258992804
2016-08-09,68.99280575539568
2016-08-10,26.611510791366907
2016-08-11,44.35251798561151
2016-08-12,20.697841726618705
2016-08-13,63.07913669064748
2016-08-14,43.36690647482014
2016-08-15,38.43884892086331
2016-08-16,39.42446043165467
2016-08-17,43.36690647482014
2016-08-18,36.46762589928058
2016-08-19,31.53956834532374
2016-08-20,26.611510791366907
2016-08-21,45.33812949640288
2016-08-22,22.66906474820144
2016-08-23,23.654676258992804
2016-08-24,49.280575539568346
2016-08-25,23.654676258992804
2016-08-26,38.43884892086331
2016-08-27,22.66906474820144
2016-08-28,30.553956834532375
2016-08-29,28.58273381294964
2016-08-30,28.58273381294964
2016-08-31,42.381294964028775
2016-09-01,45.33812949640288
