date,donald trump fraud
2016-05-01,2.354120267260579
2016-05-02,0.0
2016-05-03,2.0178173719376393
2016-05-04,4.035634743875279
2016-05-05,4.371937639198219
2016-05-06,10.761692650334076
2016-05-07,4.708240534521158
2016-05-08,2.354120267260579
2016-05-09,10.089086859688196
2016-05-10,2.0178173719376393
2016-05-11,4.035634743875279
2016-05-12,0.0
2016-05-13,4.035634743875279
2016-05-14,2.354120267260579
2016-05-15,2.354120267260579
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,2.0178173719376393
2016-05-20,0.0
2016-05-21,7.062360801781738
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,2.0178173719376393
2016-05-25,2.0178173719376393
2016-05-26,4.371937639198219
2016-05-27,2.0178173719376393
2016-05-28,0.0
2016-05-29,2.354120267260579
2016-05-30,6.389755011135858
2016-05-31,2.0178173719376393
2016-06-01,4.035634743875279
2016-06-02,10.425389755011137
2016-06-03,4.371937639198219
2016-06-04,2.354120267260579
2016-06-05,4.708240534521158
2016-06-06,8.071269487750557
2016-06-07,12.106904231625837
2016-06-08,18.496659242761694
2016-06-09,0.0
2016-06-10,17.151447661469934
2016-06-11,2.354120267260579
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,2.0178173719376393
2016-06-17,2.0178173719376393
2016-06-18,2.354120267260579
2016-06-19,0.0
2016-06-20,2.0178173719376393
2016-06-21,2.0178173719376393
2016-06-22,2.0178173719376393
2016-06-23,2.0178173719376393
2016-06-24,0.0
2016-06-25,2.354120267260579
2016-06-26,0.0
2016-06-27,6.053452115812918
2016-06-28,2.0178173719376393
2016-06-29,2.0178173719376393
2016-06-30,0.0
2016-07-01,4.371937639198219
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,4.371937639198219
2016-07-06,8.407572383073497
2016-07-07,2.0178173719376393
2016-07-08,2.0178173719376393
2016-07-09,0.0
2016-07-10,4.708240534521158
