date,emails
2016-05-01,17.62773722627737
2016-05-02,29.37956204379562
2016-05-03,30.358880778588805
2016-05-04,34.276155717761554
2016-05-05,32.31751824817518
2016-05-06,28.400243309002434
2016-05-07,17.62773722627737
2016-05-08,16.648418491484186
2016-05-09,29.37956204379562
2016-05-10,34.276155717761554
2016-05-11,33.29683698296837
2016-05-12,31.338199513381994
2016-05-13,28.400243309002434
2016-05-14,17.62773722627737
2016-05-15,17.62773722627737
2016-05-16,30.358880778588805
2016-05-17,30.358880778588805
2016-05-18,32.31751824817518
2016-05-19,30.358880778588805
2016-05-20,27.420924574209245
2016-05-21,17.62773722627737
2016-05-22,19.586374695863746
2016-05-23,27.420924574209245
2016-05-24,32.31751824817518
2016-05-25,35.25547445255474
2016-05-26,38.193430656934304
2016-05-27,30.358880778588805
2016-05-28,18.607055961070557
2016-05-29,17.62773722627737
2016-05-30,23.503649635036496
2016-05-31,34.276155717761554
2016-06-01,42.11070559610705
2016-06-02,32.31751824817518
2016-06-03,30.358880778588805
2016-06-04,20.565693430656935
2016-06-05,19.586374695863746
2016-06-06,28.400243309002434
2016-06-07,31.338199513381994
2016-06-08,33.29683698296837
2016-06-09,34.276155717761554
2016-06-10,35.25547445255474
2016-06-11,24.482968369829685
2016-06-12,19.586374695863746
2016-06-13,27.420924574209245
2016-06-14,34.276155717761554
2016-06-15,35.25547445255474
2016-06-16,32.31751824817518
2016-06-17,28.400243309002434
2016-06-18,19.586374695863746
2016-06-19,21.54501216545012
2016-06-20,32.31751824817518
2016-06-21,32.31751824817518
2016-06-22,31.338199513381994
2016-06-23,32.31751824817518
2016-06-24,29.37956204379562
2016-06-25,17.62773722627737
2016-06-26,20.565693430656935
2016-06-27,29.37956204379562
2016-06-28,31.338199513381994
2016-06-29,34.276155717761554
2016-06-30,32.31751824817518
2016-07-01,31.338199513381994
2016-07-02,19.586374695863746
2016-07-03,20.565693430656935
2016-07-04,26.441605839416056
2016-07-05,45.04866180048661
2016-07-06,48.96593673965937
2016-07-07,41.13138686131387
2016-07-08,38.193430656934304
2016-07-09,21.54501216545012
2016-07-10,21.54501216545012
2016-07-11,32.31751824817518
2016-07-12,34.276155717761554
2016-07-13,34.276155717761554
2016-07-14,31.338199513381994
2016-07-15,29.37956204379562
2016-07-16,18.607055961070557
2016-07-17,18.607055961070557
2016-07-18,29.37956204379562
2016-07-19,32.31751824817518
2016-07-20,36.23479318734793
2016-07-21,33.29683698296837
2016-07-22,32.31751824817518
2016-07-23,39.17274939172749
2016-07-24,46.0279805352798
2016-07-25,73.44890510948905
2016-07-26,60.71776155717761
2016-07-27,57.77980535279805
2016-07-28,49.94525547445255
2016-07-29,41.13138686131387
2016-07-30,26.441605839416056
2016-07-31,24.482968369829685
2016-08-01,36.23479318734793
2016-08-02,39.17274939172749
2016-08-03,35.25547445255474
2016-08-04,36.23479318734793
2016-08-05,30.358880778588805
2016-08-06,20.565693430656935
2016-08-07,21.54501216545012
2016-08-08,32.31751824817518
2016-08-09,35.25547445255474
2016-08-10,38.193430656934304
2016-08-11,36.23479318734793
2016-08-12,29.37956204379562
2016-08-13,20.565693430656935
2016-08-14,22.524330900243307
2016-08-15,32.31751824817518
2016-08-16,34.276155717761554
2016-08-17,34.276155717761554
2016-08-18,34.276155717761554
2016-08-19,29.37956204379562
2016-08-20,20.565693430656935
2016-08-21,19.586374695863746
2016-08-22,44.06934306569343
2016-08-23,45.04866180048661
2016-08-24,38.193430656934304
2016-08-25,36.23479318734793
2016-08-26,30.358880778588805
2016-08-27,22.524330900243307
2016-08-28,21.54501216545012
2016-08-29,32.31751824817518
2016-08-30,37.214111922141115
2016-08-31,35.25547445255474
2016-09-01,35.25547445255474
2016-09-02,35.25547445255474
2016-09-03,21.54501216545012
2016-09-04,21.54501216545012
2016-09-05,28.400243309002434
2016-09-06,43.09002433090024
2016-09-07,37.214111922141115
2016-09-08,38.193430656934304
2016-09-09,34.276155717761554
2016-09-10,24.482968369829685
2016-09-11,22.524330900243307
2016-09-12,34.276155717761554
2016-09-13,34.276155717761554
2016-09-14,45.04866180048661
2016-09-15,47.00729927007299
2016-09-16,40.15206812652068
2016-09-17,24.482968369829685
2016-09-18,22.524330900243307
2016-09-19,36.23479318734793
2016-09-20,37.214111922141115
2016-09-21,36.23479318734793
2016-09-22,36.23479318734793
2016-09-23,35.25547445255474
2016-09-24,22.524330900243307
2016-09-25,22.524330900243307
2016-09-26,35.25547445255474
2016-09-27,53.8625304136253
2016-09-28,42.11070559610705
2016-09-29,41.13138686131387
2016-09-30,37.214111922141115
2016-10-01,25.731143552311437
2016-10-02,23.251824817518248
2016-10-03,35.617396593673966
2016-10-04,38.096715328467155
2016-10-05,37.10705596107056
2016-10-06,36.617396593673966
2016-10-07,36.127737226277375
2016-10-08,41.07603406326034
2016-10-09,35.127737226277375
2016-10-10,67.78649635036496
2016-10-11,55.910583941605836
2016-10-12,61.848540145985396
2016-10-13,60.369221411192214
2016-10-14,51.462287104622874
2016-10-15,38.596715328467155
2016-10-16,36.60705596107056
2016-10-17,49.472627737226276
2016-10-18,49.482968369829685
2016-10-19,48.972627737226276
2016-10-20,51.451946472019465
2016-10-21,45.0139902676399
2016-10-22,28.210462287104622
2016-10-23,27.710462287104622
2016-10-24,41.065693430656935
2016-10-25,43.034671532846716
2016-10-26,42.055352798053526
2016-10-27,42.065693430656935
2016-10-28,89.05900243309003
2016-10-29,97.46593673965937
2016-10-30,91.0279805352798
2016-10-31,98.96593673965937
2016-11-01,83.61070559610705
2016-11-02,75.0
