date,fake news
2016-05-01,2.039660056657224
2016-05-02,2.677053824362606
2016-05-03,2.9320113314447593
2016-05-04,2.613314447592068
2016-05-05,2.54957507082153
2016-05-06,2.7407932011331444
2016-05-07,2.4858356940509916
2016-05-08,1.9759206798866855
2016-05-09,2.9320113314447593
2016-05-10,3.0594900849858355
2016-05-11,2.868271954674221
2016-05-12,2.8045325779036827
2016-05-13,2.868271954674221
2016-05-14,2.4220963172804533
2016-05-15,3.186968838526912
2016-05-16,3.123229461756374
2016-05-17,3.123229461756374
2016-05-18,2.613314447592068
2016-05-19,2.039660056657224
2016-05-20,2.103399433427762
2016-05-21,2.9957507082152977
2016-05-22,2.9957507082152977
2016-05-23,2.677053824362606
2016-05-24,2.613314447592068
2016-05-25,2.9320113314447593
2016-05-26,2.677053824362606
2016-05-27,2.103399433427762
2016-05-28,2.1671388101983005
2016-05-29,2.103399433427762
2016-05-30,2.1671388101983005
2016-05-31,2.868271954674221
2016-06-01,2.1671388101983005
2016-06-02,1.7209631728045327
2016-06-03,1.7847025495750708
2016-06-04,2.358356940509915
2016-06-05,2.358356940509915
2016-06-06,2.9320113314447593
2016-06-07,1.9759206798866855
2016-06-08,1.9759206798866855
2016-06-09,2.2308781869688388
2016-06-10,2.358356940509915
2016-06-11,2.868271954674221
2016-06-12,2.9320113314447593
2016-06-13,2.8045325779036827
2016-06-14,2.7407932011331444
2016-06-15,2.9320113314447593
2016-06-16,2.8045325779036827
2016-06-17,3.4419263456090654
2016-06-18,3.123229461756374
2016-06-19,3.123229461756374
2016-06-20,2.4858356940509916
2016-06-21,2.868271954674221
2016-06-22,2.613314447592068
2016-06-23,2.8045325779036827
2016-06-24,3.123229461756374
2016-06-25,3.378186968838527
2016-06-26,2.1671388101983005
2016-06-27,2.8045325779036827
2016-06-28,2.8045325779036827
2016-06-29,2.9957507082152977
2016-06-30,2.9320113314447593
2016-07-01,2.4858356940509916
2016-07-02,2.2308781869688388
2016-07-03,2.4858356940509916
2016-07-04,2.4858356940509916
2016-07-05,2.4220963172804533
2016-07-06,2.868271954674221
2016-07-07,3.5056657223796033
2016-07-08,4.143059490084986
2016-07-09,2.9957507082152977
2016-07-10,2.9957507082152977
2016-07-11,3.7606232294617565
2016-07-12,3.696883852691218
2016-07-13,2.9957507082152977
2016-07-14,4.079320113314448
2016-07-15,3.696883852691218
2016-07-16,3.951841359773371
2016-07-17,3.5694050991501416
2016-07-18,3.5694050991501416
2016-07-19,3.314447592067989
2016-07-20,3.7606232294617565
2016-07-21,2.4858356940509916
2016-07-22,3.186968838526912
2016-07-23,3.0594900849858355
2016-07-24,3.951841359773371
2016-07-25,3.824362606232295
2016-07-26,3.824362606232295
2016-07-27,2.358356940509915
2016-07-28,3.5056657223796033
2016-07-29,2.613314447592068
2016-07-30,3.8881019830028327
2016-07-31,3.123229461756374
2016-08-01,2.4220963172804533
2016-08-02,3.186968838526912
2016-08-03,3.186968838526912
2016-08-04,2.7407932011331444
2016-08-05,2.9320113314447593
2016-08-06,2.9957507082152977
2016-08-07,3.186968838526912
2016-08-08,3.63314447592068
2016-08-09,3.186968838526912
2016-08-10,3.5056657223796033
2016-08-11,3.5694050991501416
2016-08-12,2.868271954674221
2016-08-13,2.8045325779036827
2016-08-14,2.358356940509915
2016-08-15,2.4858356940509916
2016-08-16,2.7407932011331444
2016-08-17,3.5694050991501416
2016-08-18,3.186968838526912
2016-08-19,2.9957507082152977
2016-08-20,3.824362606232295
2016-08-21,2.4220963172804533
2016-08-22,2.54957507082153
2016-08-23,2.2308781869688388
2016-08-24,3.7606232294617565
2016-08-25,3.2507082152974505
2016-08-26,2.7407932011331444
2016-08-27,2.7407932011331444
2016-08-28,3.123229461756374
2016-08-29,2.7407932011331444
2016-08-30,2.54957507082153
2016-08-31,3.2507082152974505
2016-09-01,2.9957507082152977
2016-09-02,2.677053824362606
2016-09-03,2.039660056657224
2016-09-04,2.7407932011331444
2016-09-05,2.4858356940509916
2016-09-06,2.358356940509915
2016-09-07,2.7407932011331444
2016-09-08,3.186968838526912
2016-09-09,2.868271954674221
2016-09-10,2.4858356940509916
2016-09-11,2.358356940509915
2016-09-12,2.9957507082152977
2016-09-13,3.696883852691218
2016-09-14,2.039660056657224
2016-09-15,3.123229461756374
2016-09-16,3.4419263456090654
2016-09-17,3.186968838526912
2016-09-18,3.0594900849858355
2016-09-19,2.7407932011331444
2016-09-20,3.2507082152974505
2016-09-21,2.9320113314447593
2016-09-22,3.4419263456090654
2016-09-23,3.696883852691218
2016-09-24,3.123229461756374
2016-09-25,3.7606232294617565
2016-09-26,3.4419263456090654
2016-09-27,3.2507082152974505
2016-09-28,3.186968838526912
2016-09-29,4.525495750708215
2016-09-30,3.5694050991501416
2016-10-01,2.774787535410765
2016-10-02,4.103399433427763
2016-10-03,3.81657223796034
2016-10-04,5.208923512747875
2016-10-05,4.444050991501417
2016-10-06,4.103399433427763
2016-10-07,4.230878186968839
2016-10-08,3.784702549575071
2016-10-09,4.103399433427763
2016-10-10,4.007790368271955
2016-10-11,3.8484419263456093
2016-10-12,5.017705382436261
2016-10-13,5.04957507082153
2016-10-14,5.304532577903682
2016-10-15,4.358356940509915
2016-10-16,4.390226628895184
2016-10-17,3.8484419263456093
2016-10-18,3.370396600566572
2016-10-19,4.007790368271955
2016-10-20,3.81657223796034
2016-10-21,4.071529745042493
2016-10-22,3.4121813031161476
2016-10-23,4.135269121813032
2016-10-24,4.167138810198301
2016-10-25,4.667138810198301
2016-10-26,4.039660056657224
2016-10-27,4.826487252124646
