date,hillary clinton putin
2016-05-01,0.7894039735099337
2016-05-02,1.1841059602649007
2016-05-03,0.39470198675496687
2016-05-04,2.3682119205298013
2016-05-05,2.3682119205298013
2016-05-06,2.3682119205298013
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,2.3682119205298013
2016-05-10,0.0
2016-05-11,0.39470198675496687
2016-05-12,0.39470198675496687
2016-05-13,0.0
2016-05-14,1.9735099337748343
2016-05-15,1.1841059602649007
2016-05-16,1.5788079470198675
2016-05-17,1.5788079470198675
2016-05-18,1.1841059602649007
2016-05-19,0.39470198675496687
2016-05-20,0.7894039735099337
2016-05-21,1.1841059602649007
2016-05-22,0.7894039735099337
2016-05-23,0.39470198675496687
2016-05-24,1.1841059602649007
2016-05-25,1.1841059602649007
2016-05-26,0.7894039735099337
2016-05-27,0.0
2016-05-28,1.1841059602649007
2016-05-29,3.552317880794702
2016-05-30,2.762913907284768
2016-05-31,1.1841059602649007
2016-06-01,3.552317880794702
2016-06-02,1.5788079470198675
2016-06-03,1.1841059602649007
2016-06-04,0.0
2016-06-05,0.7894039735099337
2016-06-06,2.3682119205298013
2016-06-07,0.39470198675496687
2016-06-08,1.5788079470198675
2016-06-09,1.5788079470198675
2016-06-10,1.9735099337748343
2016-06-11,2.762913907284768
2016-06-12,1.9735099337748343
2016-06-13,2.762913907284768
2016-06-14,2.762913907284768
2016-06-15,0.39470198675496687
2016-06-16,8.288741721854304
2016-06-17,2.3682119205298013
2016-06-18,1.9735099337748343
2016-06-19,4.736423841059603
2016-06-20,3.9470198675496686
2016-06-21,2.762913907284768
2016-06-22,1.5788079470198675
2016-06-23,1.5788079470198675
2016-06-24,1.1841059602649007
2016-06-25,0.7894039735099337
2016-06-26,2.762913907284768
2016-06-27,1.1841059602649007
2016-06-28,1.1841059602649007
2016-06-29,1.1841059602649007
2016-06-30,0.7894039735099337
2016-07-01,0.7894039735099337
2016-07-02,1.9735099337748343
2016-07-03,2.762913907284768
2016-07-04,1.9735099337748343
2016-07-05,1.9735099337748343
2016-07-06,4.341721854304636
2016-07-07,1.1841059602649007
2016-07-08,3.157615894039735
2016-07-09,1.9735099337748343
2016-07-10,1.9735099337748343
2016-07-11,1.1841059602649007
2016-07-12,2.762913907284768
2016-07-13,3.157615894039735
2016-07-14,1.1841059602649007
2016-07-15,2.3682119205298013
2016-07-16,0.7894039735099337
2016-07-17,1.5788079470198675
2016-07-18,0.0
2016-07-19,1.1841059602649007
2016-07-20,2.3682119205298013
2016-07-21,3.552317880794702
2016-07-22,1.9735099337748343
2016-07-23,2.762913907284768
2016-07-24,4.736423841059603
2016-07-25,7.104635761589404
2016-07-26,10.656953642384105
2016-07-27,9.867549668874172
2016-07-28,10.26225165562914
2016-07-29,11.051655629139072
2016-07-30,8.288741721854304
2016-07-31,4.736423841059603
2016-08-01,7.49933774834437
2016-08-02,5.13112582781457
2016-08-03,3.157615894039735
2016-08-04,1.9735099337748343
2016-08-05,5.525827814569536
2016-08-06,1.9735099337748343
2016-08-07,4.736423841059603
2016-08-08,3.552317880794702
2016-08-09,2.762913907284768
2016-08-10,1.5788079470198675
2016-08-11,1.1841059602649007
2016-08-12,3.552317880794702
2016-08-13,4.341721854304636
2016-08-14,2.762913907284768
2016-08-15,3.552317880794702
2016-08-16,1.1841059602649007
2016-08-17,2.3682119205298013
2016-08-18,2.3682119205298013
2016-08-19,1.1841059602649007
2016-08-20,1.9735099337748343
2016-08-21,1.1841059602649007
2016-08-22,1.1841059602649007
2016-08-23,1.5788079470198675
2016-08-24,0.39470198675496687
2016-08-25,1.9735099337748343
2016-08-26,3.552317880794702
2016-08-27,5.525827814569536
2016-08-28,0.0
2016-08-29,2.3682119205298013
2016-08-30,1.1841059602649007
2016-08-31,1.5788079470198675
2016-09-01,1.1841059602649007
2016-09-02,2.3682119205298013
2016-09-03,0.0
2016-09-04,1.1841059602649007
2016-09-05,2.3682119205298013
2016-09-06,2.762913907284768
2016-09-07,5.525827814569536
2016-09-08,6.709933774834437
2016-09-09,7.49933774834437
2016-09-10,3.157615894039735
2016-09-11,5.13112582781457
2016-09-12,6.31523178807947
2016-09-13,6.31523178807947
2016-09-14,5.525827814569536
2016-09-15,3.9470198675496686
2016-09-16,3.157615894039735
2016-09-17,2.762913907284768
2016-09-18,5.920529801324503
2016-09-19,2.762913907284768
2016-09-20,0.39470198675496687
2016-09-21,3.157615894039735
2016-09-22,1.5788079470198675
2016-09-23,2.3682119205298013
2016-09-24,0.7894039735099337
2016-09-25,3.157615894039735
2016-09-26,2.3682119205298013
2016-09-27,9.867549668874172
2016-09-28,3.9470198675496686
2016-09-29,2.3682119205298013
2016-09-30,4.736423841059603
2016-10-01,3.3814569536423837
2016-10-02,3.5788079470198673
2016-10-03,1.7894039735099336
2016-10-04,3.9735099337748343
2016-10-05,8.63112582781457
2016-10-06,2.3814569536423837
2016-10-07,3.8682119205298013
2016-10-08,7.144370860927152
2016-10-09,3.0788079470198673
2016-10-10,12.512582781456953
2016-10-11,6.841721854304636
2016-10-12,10.433774834437086
2016-10-13,10.736423841059603
2016-10-14,12.512582781456953
2016-10-15,10.433774834437086
2016-10-16,9.841721854304636
2016-10-17,13.90728476821192
2016-10-18,13.709933774834436
2016-10-19,11.315231788079469
2016-10-20,40.235099337748345
2016-10-21,18.775496688741722
2016-10-22,9.53907284768212
2016-10-23,8.749668874172185
2016-10-24,7.749668874172185
2016-10-25,6.960264900662251
2016-10-26,7.249668874172185
2016-10-27,7.354966887417218
2016-10-28,10.920529801324502
