date,barack obama book
2016-05-01,22.827517447657026
2016-05-02,19.812562313060816
2016-05-03,12.490528414755731
2016-05-04,31.87238285144566
2016-05-05,19.812562313060816
2016-05-06,13.782652043868394
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,6.46061814556331
2016-05-10,12.490528414755731
2016-05-11,6.46061814556331
2016-05-12,0.0
2016-05-13,13.351944167497507
2016-05-14,0.0
2016-05-15,15.074775672981056
2016-05-16,38.33300099700897
2016-05-17,31.441674975074772
2016-05-18,12.92123629112662
2016-05-19,12.92123629112662
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,7.752741774675972
2016-05-23,0.0
2016-05-24,6.46061814556331
2016-05-25,19.381854436689927
2016-05-26,6.891326021934197
2016-05-27,0.0
2016-05-28,7.752741774675972
2016-05-29,15.074775672981056
2016-05-30,19.812562313060816
2016-05-31,6.46061814556331
2016-06-01,6.46061814556331
2016-06-02,6.46061814556331
2016-06-03,6.891326021934197
2016-06-04,23.258225324027915
2016-06-05,7.322033898305084
2016-06-06,12.92123629112662
2016-06-07,18.951146560319042
2016-06-08,6.46061814556331
2016-06-09,25.84247258225324
2016-06-10,13.351944167497507
2016-06-11,7.322033898305084
2016-06-12,14.644067796610168
2016-06-13,18.951146560319042
2016-06-14,12.490528414755731
2016-06-15,25.41176470588235
2016-06-16,6.46061814556331
2016-06-17,0.0
2016-06-18,31.010967098703887
2016-06-19,7.752741774675972
2016-06-20,12.92123629112662
2016-06-21,0.0
2016-06-22,19.812562313060816
2016-06-23,6.46061814556331
2016-06-24,13.351944167497507
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,6.46061814556331
2016-06-28,6.46061814556331
2016-06-29,26.273180458624125
2016-06-30,19.812562313060816
2016-07-01,6.891326021934197
2016-07-02,23.258225324027915
2016-07-03,0.0
2016-07-04,6.891326021934197
2016-07-05,0.0
2016-07-06,6.891326021934197
2016-07-07,6.891326021934197
2016-07-08,20.67397806580259
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,13.351944167497507
2016-07-12,6.46061814556331
2016-07-13,0.0
2016-07-14,6.46061814556331
2016-07-15,13.351944167497507
2016-07-16,15.505483549351943
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,26.703888334995014
2016-07-20,13.351944167497507
2016-07-21,0.0
2016-07-22,6.891326021934197
2016-07-23,7.752741774675972
2016-07-24,15.505483549351943
2016-07-25,12.92123629112662
2016-07-26,26.273180458624125
2016-07-27,26.273180458624125
2016-07-28,0.0
2016-07-29,13.782652043868394
2016-07-30,0.0
2016-07-31,15.505483549351943
2016-08-01,13.351944167497507
2016-08-02,13.351944167497507
2016-08-03,19.812562313060816
2016-08-04,19.812562313060816
2016-08-05,20.67397806580259
2016-08-06,7.752741774675972
2016-08-07,7.752741774675972
2016-08-08,12.92123629112662
2016-08-09,6.46061814556331
2016-08-10,0.0
2016-08-11,20.243270189431705
2016-08-12,6.891326021934197
2016-08-13,7.752741774675972
2016-08-14,23.258225324027915
2016-08-15,6.891326021934197
2016-08-16,6.46061814556331
2016-08-17,12.92123629112662
2016-08-18,13.351944167497507
2016-08-19,0.0
2016-08-20,30.580259222332998
2016-08-21,7.752741774675972
2016-08-22,12.92123629112662
2016-08-23,12.92123629112662
2016-08-24,32.303090727816546
2016-08-25,6.46061814556331
2016-08-26,20.243270189431705
2016-08-27,7.752741774675972
2016-08-28,15.074775672981056
2016-08-29,6.46061814556331
2016-08-30,12.490528414755731
2016-08-31,0.0
2016-09-01,32.303090727816546
2016-09-02,0.0
2016-09-03,15.074775672981056
2016-09-04,22.39680957128614
2016-09-05,0.0
2016-09-06,6.46061814556331
2016-09-07,12.92123629112662
2016-09-08,6.46061814556331
2016-09-09,12.92123629112662
2016-09-10,0.0
2016-09-11,14.644067796610168
2016-09-12,25.84247258225324
2016-09-13,12.490528414755731
2016-09-14,6.46061814556331
2016-09-15,0.0
2016-09-16,26.703888334995014
2016-09-17,0.0
2016-09-18,14.21335992023928
2016-09-19,12.490528414755731
2016-09-20,12.490528414755731
2016-09-21,12.490528414755731
2016-09-22,6.46061814556331
2016-09-23,26.273180458624125
2016-09-24,0.0
2016-09-25,0.0
2016-09-26,24.550348953140578
2016-09-27,43.07078763708873
2016-09-28,12.490528414755731
2016-09-29,0.0
2016-09-30,0.0
2016-10-01,7.0
2016-10-02,8.445663010967099
2016-10-03,6.0
2016-10-04,6.014955134596211
2016-10-05,15.260219341974077
2016-10-06,12.245264207377865
2016-10-07,12.5
2016-10-08,16.267696909272182
2016-10-09,16.106679960119642
2016-10-10,21.49052841475573
2016-10-11,27.2901296111665
2016-10-12,15.705882352941176
2016-10-13,9.245264207377865
2016-10-14,18.705882352941174
2016-10-15,17.822033898305083
2016-10-16,11.945663010967099
2016-10-17,6.014955134596211
2016-10-18,27.059820538384844
2016-10-19,33.32003988035892
2016-10-20,3.0
2016-10-21,23.49052841475573
2016-10-22,8.445663010967099
2016-10-23,8.445663010967099
2016-10-24,7.514955134596211
2016-10-25,12.01495513459621
2016-10-26,12.059820538384844
2016-10-27,13.529910269192422
2016-10-28,21.975573280159523
2016-10-29,10.661016949152541
2016-10-30,6.945663010967099
2016-10-31,15.475573280159521
2016-11-01,0.0
2016-11-02,6.0
2016-11-03,12.0
2016-11-04,12.0
2016-11-05,7.0
2016-11-06,17.0
2016-11-07,23.0
2016-11-08,17.0
2016-11-09,30.0
2016-11-10,71.0
2016-11-11,22.0
2016-11-12,28.0
2016-11-13,34.0
2016-11-14,29.0
2016-11-15,30.0
2016-11-16,26.0
