date,putin russia
2016-05-01,6.574594859541096
2016-05-02,5.976904417764634
2016-05-03,7.769975743094023
2016-05-04,7.769975743094023
2016-05-05,7.17228530131756
2016-05-06,6.574594859541096
2016-05-07,5.976904417764634
2016-05-08,5.976904417764634
2016-05-09,10.160737510199876
2016-05-10,7.769975743094023
2016-05-11,7.769975743094023
2016-05-12,8.96535662664695
2016-05-13,7.17228530131756
2016-05-14,9.563047068423414
2016-05-15,10.160737510199876
2016-05-16,9.563047068423414
2016-05-17,7.769975743094023
2016-05-18,8.367666184870487
2016-05-19,8.367666184870487
2016-05-20,9.563047068423414
2016-05-21,7.17228530131756
2016-05-22,6.574594859541096
2016-05-23,11.356118393752803
2016-05-24,10.160737510199876
2016-05-25,8.367666184870487
2016-05-26,7.769975743094023
2016-05-27,7.17228530131756
2016-05-28,6.574594859541096
2016-05-29,6.574594859541096
2016-05-30,8.96535662664695
2016-05-31,8.96535662664695
2016-06-01,5.976904417764634
2016-06-02,5.976904417764634
2016-06-03,7.17228530131756
2016-06-04,7.17228530131756
2016-06-05,5.976904417764634
2016-06-06,6.574594859541096
2016-06-07,5.976904417764634
2016-06-08,8.367666184870487
2016-06-09,5.37921397598817
2016-06-10,5.37921397598817
2016-06-11,9.563047068423414
2016-06-12,7.769975743094023
2016-06-13,8.367666184870487
2016-06-14,10.75842795197634
2016-06-15,8.367666184870487
2016-06-16,7.769975743094023
2016-06-17,7.769975743094023
2016-06-18,9.563047068423414
2016-06-19,9.563047068423414
2016-06-20,9.563047068423414
2016-06-21,7.769975743094023
2016-06-22,10.160737510199876
2016-06-23,5.37921397598817
2016-06-24,10.75842795197634
2016-06-25,5.976904417764634
2016-06-26,7.769975743094023
2016-06-27,6.574594859541096
2016-06-28,8.96535662664695
2016-06-29,6.574594859541096
2016-06-30,6.574594859541096
2016-07-01,7.17228530131756
2016-07-02,6.574594859541096
2016-07-03,7.769975743094023
2016-07-04,7.17228530131756
2016-07-05,6.574594859541096
2016-07-06,7.17228530131756
2016-07-07,6.574594859541096
2016-07-08,7.17228530131756
2016-07-09,9.563047068423414
2016-07-10,7.17228530131756
2016-07-11,7.769975743094023
2016-07-12,9.563047068423414
2016-07-13,10.75842795197634
2016-07-14,8.367666184870487
2016-07-15,14.942261044411582
2016-07-16,12.55149927730573
2016-07-17,11.356118393752803
2016-07-18,8.96535662664695
2016-07-19,9.563047068423414
2016-07-20,7.17228530131756
2016-07-21,10.75842795197634
2016-07-22,6.574594859541096
2016-07-23,10.160737510199876
2016-07-24,11.356118393752803
2016-07-25,16.13764192796451
2016-07-26,13.746880160858657
2016-07-27,24.505308112834996
2016-07-28,26.298379438164385
2016-07-29,20.321475020399753
2016-07-30,17.333022811517438
2016-07-31,15.539951486188047
2016-08-01,17.9307132532939
2016-08-02,13.149189719082193
2016-08-03,13.149189719082193
2016-08-04,8.96535662664695
2016-08-05,8.367666184870487
2016-08-06,7.17228530131756
2016-08-07,8.96535662664695
2016-08-08,8.367666184870487
2016-08-09,10.75842795197634
2016-08-10,10.160737510199876
2016-08-11,7.769975743094023
2016-08-12,10.160737510199876
2016-08-13,10.160737510199876
2016-08-14,7.17228530131756
2016-08-15,8.96535662664695
2016-08-16,9.563047068423414
2016-08-17,7.769975743094023
2016-08-18,7.769975743094023
2016-08-19,9.563047068423414
2016-08-20,11.953808835529268
2016-08-21,10.160737510199876
2016-08-22,8.96535662664695
2016-08-23,8.96535662664695
2016-08-24,7.769975743094023
2016-08-25,7.17228530131756
2016-08-26,7.769975743094023
2016-08-27,7.17228530131756
2016-08-28,7.17228530131756
2016-08-29,7.769975743094023
2016-08-30,7.769975743094023
2016-08-31,6.574594859541096
2016-09-01,5.976904417764634
2016-09-02,7.769975743094023
2016-09-03,7.769975743094023
2016-09-04,8.367666184870487
2016-09-05,9.563047068423414
2016-09-06,9.563047068423414
2016-09-07,8.367666184870487
2016-09-08,17.333022811517438
2016-09-09,11.953808835529268
2016-09-10,10.160737510199876
2016-09-11,9.563047068423414
2016-09-12,7.769975743094023
2016-09-13,8.367666184870487
2016-09-14,10.160737510199876
2016-09-15,10.75842795197634
2016-09-16,10.160737510199876
2016-09-17,10.160737510199876
2016-09-18,11.356118393752803
2016-09-19,13.149189719082193
2016-09-20,10.160737510199876
2016-09-21,11.356118393752803
2016-09-22,10.75842795197634
2016-09-23,10.75842795197634
2016-09-24,11.356118393752803
2016-09-25,10.75842795197634
2016-09-26,10.160737510199876
2016-09-27,8.367666184870487
2016-09-28,11.356118393752803
2016-09-29,8.96535662664695
2016-09-30,9.563047068423414
2016-10-01,8.41366170667246
2016-10-02,11.525271323658421
2016-10-03,10.927580881881958
2016-10-04,14.886463198291157
2016-10-05,25.142459193534467
2016-10-06,17.052274189370962
2016-10-07,16.77806045010346
2016-10-08,20.213146769598385
2016-10-09,14.288772756514692
2016-10-10,17.600701667905973
2016-10-11,16.728797486862003
2016-10-12,50.03533612942216
2016-10-13,59.967855422156504
2016-10-14,47.595311399074845
2016-10-15,40.17671128154999
2016-10-16,28.777864807434703
2016-10-17,30.51840572808315
2016-10-18,28.528282549787928
2016-10-19,24.295186494111228
2016-10-20,38.833541508272695
2016-10-21,29.47408117569408
2016-10-22,26.186783745923535
2016-10-23,20.163883806356925
2016-10-24,18.296918036165348
2016-10-25,19.865038585468696
2016-10-26,23.001279684075385
2016-10-27,20.163883806356925
2016-10-28,19.840407103847966
2016-10-29,18.993134404424726
2016-10-30,15.83226182419731
2016-10-31,14.886463198291157
2016-11-01,20.237778251219112
2016-11-02,20.055555555555557
