date,obama hate
2016-05-01,15.15268817204301
2016-05-02,8.741935483870968
2016-05-03,5.827956989247312
2016-05-04,8.450537634408601
2016-05-05,16.026881720430108
2016-05-06,4.662365591397849
2016-05-07,6.119354838709677
2016-05-08,3.2053763440860212
2016-05-09,5.245161290322581
2016-05-10,6.702150537634409
2016-05-11,6.993548387096774
2016-05-12,8.741935483870968
2016-05-13,7.284946236559139
2016-05-14,6.119354838709677
2016-05-15,4.079569892473118
2016-05-16,11.94731182795699
2016-05-17,4.370967741935484
2016-05-18,6.702150537634409
2016-05-19,6.119354838709677
2016-05-20,5.536559139784946
2016-05-21,4.079569892473118
2016-05-22,6.119354838709677
2016-05-23,5.245161290322581
2016-05-24,6.993548387096774
2016-05-25,6.119354838709677
2016-05-26,6.4107526881720425
2016-05-27,3.7881720430107526
2016-05-28,12.238709677419354
2016-05-29,15.444086021505376
2016-05-30,9.033333333333333
2016-05-31,11.073118279569892
2016-06-01,5.245161290322581
2016-06-02,8.741935483870968
2016-06-03,11.073118279569892
2016-06-04,8.450537634408601
2016-06-05,6.993548387096774
2016-06-06,3.496774193548387
2016-06-07,7.576344086021505
2016-06-08,7.8677419354838705
2016-06-09,5.245161290322581
2016-06-10,11.073118279569892
2016-06-11,8.159139784946236
2016-06-12,26.2258064516129
2016-06-13,18.649462365591397
2016-06-14,19.815053763440858
2016-06-15,17.19247311827957
2016-06-16,7.8677419354838705
2016-06-17,10.781720430107526
2016-06-18,9.324731182795698
2016-06-19,7.284946236559139
2016-06-20,5.245161290322581
2016-06-21,8.741935483870968
2016-06-22,7.8677419354838705
2016-06-23,12.238709677419354
2016-06-24,4.662365591397849
2016-06-25,6.119354838709677
2016-06-26,11.364516129032257
2016-06-27,6.993548387096774
2016-06-28,6.993548387096774
2016-06-29,6.119354838709677
2016-06-30,9.616129032258064
2016-07-01,3.7881720430107526
2016-07-02,7.284946236559139
2016-07-03,2.039784946236559
2016-07-04,4.662365591397849
2016-07-05,9.033333333333333
2016-07-06,7.284946236559139
2016-07-07,8.159139784946236
2016-07-08,21.272043010752686
2016-07-09,11.655913978494624
2016-07-10,13.404301075268817
2016-07-11,11.364516129032257
2016-07-12,14.569892473118278
2016-07-13,8.741935483870968
2016-07-14,9.033333333333333
2016-07-15,11.655913978494624
2016-07-16,8.450537634408601
2016-07-17,13.695698924731182
2016-07-18,9.907526881720429
2016-07-19,16.901075268817202
2016-07-20,12.53010752688172
2016-07-21,8.159139784946236
2016-07-22,11.94731182795699
2016-07-23,8.450537634408601
2016-07-24,14.569892473118278
2016-07-25,6.993548387096774
2016-07-26,29.139784946236556
2016-07-27,23.89462365591398
2016-07-28,26.808602150537634
2016-07-29,11.94731182795699
2016-07-30,13.695698924731182
2016-07-31,16.60967741935484
2016-08-01,6.119354838709677
2016-08-02,6.119354838709677
2016-08-03,11.655913978494624
2016-08-04,9.907526881720429
2016-08-05,7.284946236559139
2016-08-06,7.284946236559139
2016-08-07,9.324731182795698
2016-08-08,1.7483870967741935
2016-08-09,1.7483870967741935
2016-08-10,4.370967741935484
2016-08-11,8.159139784946236
2016-08-12,10.198924731182796
2016-08-13,4.079569892473118
2016-08-14,13.695698924731182
2016-08-15,6.4107526881720425
2016-08-16,4.370967741935484
2016-08-17,4.370967741935484
2016-08-18,4.370967741935484
2016-08-19,6.4107526881720425
2016-08-20,4.9537634408602145
2016-08-21,4.9537634408602145
2016-08-22,4.370967741935484
2016-08-23,4.370967741935484
2016-08-24,7.8677419354838705
2016-08-25,3.496774193548387
2016-08-26,3.7881720430107526
2016-08-27,4.079569892473118
2016-08-28,2.039784946236559
2016-08-29,3.496774193548387
2016-08-30,6.702150537634409
2016-08-31,6.993548387096774
2016-09-01,4.370967741935484
2016-09-02,4.370967741935484
2016-09-03,10.198924731182796
2016-09-04,6.993548387096774
2016-09-05,8.741935483870968
2016-09-06,6.702150537634409
2016-09-07,5.245161290322581
2016-09-08,6.119354838709677
2016-09-09,3.496774193548387
2016-09-10,6.119354838709677
2016-09-11,2.913978494623656
2016-09-12,5.245161290322581
2016-09-13,4.370967741935484
2016-09-14,21.272043010752686
2016-09-15,8.741935483870968
2016-09-16,11.364516129032257
2016-09-17,8.741935483870968
2016-09-18,6.702150537634409
2016-09-19,1.7483870967741935
2016-09-20,6.702150537634409
2016-09-21,4.9537634408602145
2016-09-22,15.444086021505376
2016-09-23,2.6225806451612903
2016-09-24,5.827956989247312
2016-09-25,8.741935483870968
2016-09-26,7.576344086021505
2016-09-27,10.781720430107526
2016-09-28,10.781720430107526
2016-09-29,8.450537634408601
2016-09-30,10.490322580645161
2016-10-01,12.890860215053763
2016-10-02,3.768279569892473
2016-10-03,13.079569892473117
2016-10-04,6.579569892473118
2016-10-05,3.4768817204301072
2016-10-06,6.351075268817205
2016-10-07,7.662365591397849
2016-10-08,8.870967741935484
2016-10-09,10.870967741935484
2016-10-10,13.890860215053763
2016-10-11,9.453763440860214
2016-10-12,9.851075268817205
2016-10-13,6.851075268817205
2016-10-14,10.473655913978494
2016-10-15,6.351075268817205
2016-10-16,6.2252688172043005
2016-10-17,7.705376344086021
2016-10-18,9.14247311827957
2016-10-19,9.056451612903224
2016-10-20,12.516666666666666
2016-10-21,14.950537634408601
2016-10-22,5.788172043010753
2016-10-23,9.788172043010753
2016-10-24,7.579569892473118
2016-10-25,9.745161290322581
2016-10-26,4.5397849462365585
2016-10-27,8.890860215053763
2016-10-28,9.036559139784945
2016-10-29,7.933870967741935
2016-10-30,4.913978494623656
2016-10-31,8.288172043010753
