date,donald trump ties
2016-05-01,5.467700258397933
2016-05-02,8.885012919896642
2016-05-03,8.885012919896642
2016-05-04,19.136950904392766
2016-05-05,11.618863049095609
2016-05-06,4.784237726098191
2016-05-07,18.453488372093023
2016-05-08,10.251937984496124
2016-05-09,12.98578811369509
2016-05-10,6.151162790697675
2016-05-11,8.885012919896642
2016-05-12,4.10077519379845
2016-05-13,0.0
2016-05-14,10.251937984496124
2016-05-15,4.784237726098191
2016-05-16,12.98578811369509
2016-05-17,4.10077519379845
2016-05-18,10.935400516795866
2016-05-19,0.0
2016-05-20,4.784237726098191
2016-05-21,5.467700258397933
2016-05-22,10.251937984496124
2016-05-23,8.885012919896642
2016-05-24,6.834625322997416
2016-05-25,4.10077519379845
2016-05-26,6.834625322997416
2016-05-27,6.834625322997416
2016-05-28,7.518087855297158
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,4.10077519379845
2016-06-02,10.935400516795866
2016-06-03,18.453488372093023
2016-06-04,5.467700258397933
2016-06-05,5.467700258397933
2016-06-06,12.98578811369509
2016-06-07,4.10077519379845
2016-06-08,6.834625322997416
2016-06-09,10.935400516795866
2016-06-10,9.568475452196383
2016-06-11,7.518087855297158
2016-06-12,10.251937984496124
2016-06-13,0.0
2016-06-14,17.08656330749354
2016-06-15,12.98578811369509
2016-06-16,4.10077519379845
2016-06-17,8.885012919896642
2016-06-18,0.0
2016-06-19,7.518087855297158
2016-06-20,8.885012919896642
2016-06-21,15.036175710594316
2016-06-22,6.834625322997416
2016-06-23,4.784237726098191
2016-06-24,13.669250645994833
2016-06-25,5.467700258397933
2016-06-26,15.719638242894057
2016-06-27,4.10077519379845
2016-06-28,4.10077519379845
2016-06-29,6.834625322997416
2016-06-30,4.784237726098191
2016-07-01,9.568475452196383
2016-07-02,5.467700258397933
2016-07-03,5.467700258397933
2016-07-04,4.784237726098191
2016-07-05,6.834625322997416
2016-07-06,0.0
2016-07-07,0.0
2016-07-08,4.784237726098191
2016-07-09,0.0
2016-07-10,5.467700258397933
2016-07-11,4.784237726098191
2016-07-12,8.885012919896642
2016-07-13,4.784237726098191
2016-07-14,0.0
2016-07-15,0.0
2016-07-16,8.2015503875969
2016-07-17,5.467700258397933
2016-07-18,8.885012919896642
2016-07-19,11.618863049095609
2016-07-20,15.719638242894057
2016-07-21,8.885012919896642
2016-07-22,43.741602067183464
2016-07-23,10.251937984496124
2016-07-24,23.921188630490956
2016-07-25,10.935400516795866
2016-07-26,8.885012919896642
2016-07-27,22.554263565891475
2016-07-28,20.503875968992247
2016-07-29,28.021963824289408
2016-07-30,18.453488372093023
2016-07-31,10.935400516795866
2016-08-01,6.834625322997416
2016-08-02,10.935400516795866
2016-08-03,8.885012919896642
2016-08-04,22.554263565891475
2016-08-05,9.568475452196383
2016-08-06,8.2015503875969
2016-08-07,10.251937984496124
2016-08-08,17.770025839793284
2016-08-09,13.669250645994833
2016-08-10,26.655038759689923
2016-08-11,13.669250645994833
2016-08-12,16.4031007751938
2016-08-13,18.453488372093023
2016-08-14,29.38888888888889
2016-08-15,18.453488372093023
2016-08-16,6.834625322997416
2016-08-17,13.669250645994833
2016-08-18,6.834625322997416
2016-08-19,30.072351421188632
2016-08-20,10.251937984496124
2016-08-21,12.98578811369509
2016-08-22,6.834625322997416
2016-08-23,17.770025839793284
2016-08-24,8.885012919896642
2016-08-25,10.935400516795866
2016-08-26,11.618863049095609
2016-08-27,5.467700258397933
2016-08-28,10.251937984496124
2016-08-29,8.885012919896642
2016-08-30,10.935400516795866
2016-08-31,10.935400516795866
2016-09-01,21.870801033591732
2016-09-02,6.834625322997416
2016-09-03,4.784237726098191
2016-09-04,5.467700258397933
2016-09-05,0.0
2016-09-06,8.885012919896642
2016-09-07,8.885012919896642
2016-09-08,6.834625322997416
2016-09-09,4.10077519379845
2016-09-10,10.251937984496124
2016-09-11,10.251937984496124
2016-09-12,4.10077519379845
2016-09-13,6.151162790697675
2016-09-14,12.98578811369509
2016-09-15,12.98578811369509
2016-09-16,13.669250645994833
2016-09-17,15.036175710594316
2016-09-18,7.518087855297158
2016-09-19,6.151162790697675
2016-09-20,4.10077519379845
2016-09-21,6.151162790697675
2016-09-22,12.98578811369509
2016-09-23,13.669250645994833
2016-09-24,10.251937984496124
2016-09-25,7.518087855297158
2016-09-26,10.935400516795866
2016-09-27,33.48966408268734
2016-09-28,8.2015503875969
2016-09-29,19.136950904392766
2016-09-30,10.935400516795866
2016-10-01,8.651162790697676
2016-10-02,4.784237726098191
2016-10-03,8.60077519379845
2016-10-04,7.60077519379845
2016-10-05,14.54328165374677
2016-10-06,12.575581395348838
2016-10-07,11.575581395348838
2016-10-08,12.259043927648579
2016-10-09,13.151162790697676
2016-10-10,19.644056847545222
2016-10-11,26.644056847545222
2016-10-12,27.010981912144704
2016-10-13,10.125968992248062
2016-10-14,27.510981912144704
2016-10-15,15.410206718346254
2016-10-16,10.28423772609819
2016-10-17,6.575581395348838
2016-10-18,19.72674418604651
2016-10-19,9.651162790697676
2016-10-20,33.47868217054264
2016-10-21,10.10077519379845
2016-10-22,15.651162790697676
2016-10-23,19.06847545219638
2016-10-24,13.726744186046512
2016-10-25,2.050387596899225
2016-10-26,11.10077519379845
2016-10-27,12.125968992248062
2016-10-28,16.385012919896642
2016-10-29,11.892118863049095
2016-10-30,15.78423772609819
2016-10-31,38.13695090439276
2016-11-01,63.17312661498708
2016-11-02,49.0
2016-11-03,37.0
2016-11-04,38.0
2016-11-05,21.0
2016-11-06,24.0
2016-11-07,18.0
