date,ill
2016-05-01,79.70906068162927
2016-05-02,73.22111388196177
2016-05-03,72.29426433915212
2016-05-04,66.73316708229427
2016-05-05,74.1479634247714
2016-05-06,72.29426433915212
2016-05-07,75.07481296758105
2016-05-08,74.1479634247714
2016-05-09,72.29426433915212
2016-05-10,74.1479634247714
2016-05-11,70.44056525353284
2016-05-12,70.44056525353284
2016-05-13,73.22111388196177
2016-05-14,70.44056525353284
2016-05-15,70.44056525353284
2016-05-16,69.51371571072319
2016-05-17,74.1479634247714
2016-05-18,74.1479634247714
2016-05-19,69.51371571072319
2016-05-20,73.22111388196177
2016-05-21,73.22111388196177
2016-05-22,75.07481296758105
2016-05-23,72.29426433915212
2016-05-24,72.29426433915212
2016-05-25,70.44056525353284
2016-05-26,75.07481296758105
2016-05-27,68.58686616791356
2016-05-28,68.58686616791356
2016-05-29,68.58686616791356
2016-05-30,66.73316708229427
2016-05-31,68.58686616791356
2016-06-01,67.6600166251039
2016-06-02,67.6600166251039
2016-06-03,70.44056525353284
2016-06-04,76.00166251039069
2016-06-05,74.1479634247714
2016-06-06,64.87946799667498
2016-06-07,68.58686616791356
2016-06-08,67.6600166251039
2016-06-09,71.36741479634249
2016-06-10,67.6600166251039
2016-06-11,72.29426433915212
2016-06-12,73.22111388196177
2016-06-13,69.51371571072319
2016-06-14,66.73316708229427
2016-06-15,66.73316708229427
2016-06-16,67.6600166251039
2016-06-17,74.1479634247714
2016-06-18,68.58686616791356
2016-06-19,72.29426433915212
2016-06-20,66.73316708229427
2016-06-21,66.73316708229427
2016-06-22,64.87946799667498
2016-06-23,69.51371571072319
2016-06-24,66.73316708229427
2016-06-25,70.44056525353284
2016-06-26,74.1479634247714
2016-06-27,67.6600166251039
2016-06-28,67.6600166251039
2016-06-29,69.51371571072319
2016-06-30,68.58686616791356
2016-07-01,66.73316708229427
2016-07-02,71.36741479634249
2016-07-03,72.29426433915212
2016-07-04,64.87946799667498
2016-07-05,66.73316708229427
2016-07-06,69.51371571072319
2016-07-07,67.6600166251039
2016-07-08,73.22111388196177
2016-07-09,75.07481296758105
2016-07-10,69.51371571072319
2016-07-11,68.58686616791356
2016-07-12,69.51371571072319
2016-07-13,67.6600166251039
2016-07-14,68.58686616791356
2016-07-15,64.87946799667498
2016-07-16,70.44056525353284
2016-07-17,73.22111388196177
2016-07-18,68.58686616791356
2016-07-19,65.80631753948462
2016-07-20,68.58686616791356
2016-07-21,71.36741479634249
2016-07-22,66.73316708229427
2016-07-23,75.07481296758105
2016-07-24,69.51371571072319
2016-07-25,66.73316708229427
2016-07-26,68.58686616791356
2016-07-27,70.44056525353284
2016-07-28,71.36741479634249
2016-07-29,70.44056525353284
2016-07-30,72.29426433915212
2016-07-31,68.58686616791356
2016-08-01,69.51371571072319
2016-08-02,66.73316708229427
2016-08-03,64.87946799667498
2016-08-04,65.80631753948462
2016-08-05,67.6600166251039
2016-08-06,69.51371571072319
2016-08-07,68.58686616791356
2016-08-08,63.0257689110557
2016-08-09,65.80631753948462
2016-08-10,67.6600166251039
2016-08-11,64.87946799667498
2016-08-12,66.73316708229427
2016-08-13,65.80631753948462
2016-08-14,68.58686616791356
2016-08-15,67.6600166251039
2016-08-16,64.87946799667498
2016-08-17,62.09891936824605
2016-08-18,69.51371571072319
2016-08-19,65.80631753948462
2016-08-20,69.51371571072319
2016-08-21,72.29426433915212
2016-08-22,68.58686616791356
2016-08-23,66.73316708229427
2016-08-24,67.6600166251039
2016-08-25,68.58686616791356
2016-08-26,67.6600166251039
2016-08-27,69.51371571072319
2016-08-28,71.36741479634249
2016-08-29,69.51371571072319
2016-08-30,65.80631753948462
2016-08-31,60.24522028262677
2016-09-01,63.95261845386534
2016-09-02,63.95261845386534
2016-09-03,65.80631753948462
2016-09-04,66.73316708229427
2016-09-05,64.87946799667498
2016-09-06,64.87946799667498
2016-09-07,66.73316708229427
2016-09-08,67.6600166251039
2016-09-09,68.58686616791356
2016-09-10,73.22111388196177
2016-09-11,92.68495428096426
2016-09-12,84.34330839567748
2016-09-13,74.1479634247714
2016-09-14,67.6600166251039
2016-09-15,65.80631753948462
2016-09-16,67.6600166251039
2016-09-17,64.87946799667498
2016-09-18,68.58686616791356
2016-09-19,66.73316708229427
2016-09-20,67.6600166251039
2016-09-21,66.73316708229427
2016-09-22,70.44056525353284
2016-09-23,70.44056525353284
2016-09-24,69.51371571072319
2016-09-25,67.6600166251039
2016-09-26,68.58686616791356
2016-09-27,63.95261845386534
2016-09-28,70.44056525353284
2016-09-29,68.58686616791356
2016-09-30,76.00166251039069
2016-10-01,76.03740648379053
2016-10-02,71.18370739817124
2016-10-03,66.79343308395678
2016-10-04,69.7568578553616
2016-10-05,70.29343308395678
2016-10-06,71.22028262676642
2016-10-07,71.18370739817124
2016-10-08,68.7568578553616
2016-10-09,70.72028262676642
2016-10-10,69.72028262676642
2016-10-11,69.29343308395678
2016-10-12,72.18370739817124
2016-10-13,72.68370739817124
2016-10-14,67.29343308395678
2016-10-15,70.2568578553616
2016-10-16,70.18370739817124
2016-10-17,69.2568578553616
2016-10-18,68.18370739817124
2016-10-19,71.22028262676642
2016-10-20,68.36658354114714
2016-10-21,65.93973399833749
2016-10-22,74.0739817123857
2016-10-23,67.33000831255195
2016-10-24,70.22028262676642
2016-10-25,69.7568578553616
2016-10-26,71.72028262676642
2016-10-27,70.72028262676642
2016-10-28,66.33000831255195
2016-10-29,65.36658354114714
2016-10-30,65.93973399833749
2016-10-31,69.2568578553616
2016-11-01,68.7568578553616
2016-11-02,67.0
