date,trump golf
2016-05-01,9.253111085740379
2016-05-02,10.024203676218745
2016-05-03,9.253111085740379
2016-05-04,16.96403699052403
2016-05-05,17.735129581002393
2016-05-06,16.192944400045665
2016-05-07,12.33748144765384
2016-05-08,12.33748144765384
2016-05-09,8.482018495262015
2016-05-10,9.253111085740379
2016-05-11,9.253111085740379
2016-05-12,8.482018495262015
2016-05-13,10.79529626669711
2016-05-14,8.482018495262015
2016-05-15,10.024203676218745
2016-05-16,12.33748144765384
2016-05-17,11.566388857175475
2016-05-18,10.024203676218745
2016-05-19,9.253111085740379
2016-05-20,10.79529626669711
2016-05-21,10.79529626669711
2016-05-22,6.16874072382692
2016-05-23,13.108574038132204
2016-05-24,15.4218518095673
2016-05-25,12.33748144765384
2016-05-26,11.566388857175475
2016-05-27,10.79529626669711
2016-05-28,6.939833314305285
2016-05-29,12.33748144765384
2016-05-30,10.024203676218745
2016-05-31,9.253111085740379
2016-06-01,19.277314761959126
2016-06-02,29.30151843817787
2016-06-03,19.277314761959126
2016-06-04,13.108574038132204
2016-06-05,10.024203676218745
2016-06-06,13.87966662861057
2016-06-07,13.87966662861057
2016-06-08,13.87966662861057
2016-06-09,8.482018495262015
2016-06-10,10.024203676218745
2016-06-11,11.566388857175475
2016-06-12,7.71092590478365
2016-06-13,13.108574038132204
2016-06-14,10.79529626669711
2016-06-15,10.024203676218745
2016-06-16,14.650759219088934
2016-06-17,10.79529626669711
2016-06-18,13.87966662861057
2016-06-19,9.253111085740379
2016-06-20,10.024203676218745
2016-06-21,13.87966662861057
2016-06-22,14.650759219088934
2016-06-23,20.04840735243749
2016-06-24,77.1092590478365
2016-06-25,62.45849982874756
2016-06-26,36.241351752483155
2016-06-27,20.819499942915854
2016-06-28,13.108574038132204
2016-06-29,12.33748144765384
2016-06-30,6.939833314305285
2016-07-01,7.71092590478365
2016-07-02,10.024203676218745
2016-07-03,10.79529626669711
2016-07-04,10.024203676218745
2016-07-05,7.71092590478365
2016-07-06,9.253111085740379
2016-07-07,9.253111085740379
2016-07-08,13.108574038132204
2016-07-09,10.024203676218745
2016-07-10,10.79529626669711
2016-07-11,9.253111085740379
2016-07-12,11.566388857175475
2016-07-13,10.79529626669711
2016-07-14,17.735129581002393
2016-07-15,16.96403699052403
2016-07-16,21.59059253339422
2016-07-17,23.13277771435095
2016-07-18,13.108574038132204
2016-07-19,24.67496289530768
2016-07-20,25.446055485786044
2016-07-21,17.735129581002393
2016-07-22,25.446055485786044
2016-07-23,15.4218518095673
2016-07-24,12.33748144765384
2016-07-25,12.33748144765384
2016-07-26,13.87966662861057
2016-07-27,13.108574038132204
2016-07-28,18.506222171480758
2016-07-29,16.192944400045665
2016-07-30,13.108574038132204
2016-07-31,16.96403699052403
2016-08-01,13.108574038132204
2016-08-02,17.735129581002393
2016-08-03,16.192944400045665
2016-08-04,16.96403699052403
2016-08-05,12.33748144765384
2016-08-06,10.024203676218745
2016-08-07,10.79529626669711
2016-08-08,12.33748144765384
2016-08-09,10.024203676218745
2016-08-10,10.024203676218745
2016-08-11,13.87966662861057
2016-08-12,13.108574038132204
2016-08-13,13.108574038132204
2016-08-14,13.108574038132204
2016-08-15,10.024203676218745
2016-08-16,9.253111085740379
2016-08-17,10.79529626669711
2016-08-18,10.024203676218745
2016-08-19,14.650759219088934
2016-08-20,14.650759219088934
2016-08-21,7.71092590478365
2016-08-22,10.79529626669711
2016-08-23,10.79529626669711
2016-08-24,10.79529626669711
2016-08-25,8.482018495262015
2016-08-26,6.16874072382692
2016-08-27,9.253111085740379
2016-08-28,9.253111085740379
2016-08-29,6.939833314305285
2016-08-30,8.482018495262015
2016-08-31,8.482018495262015
2016-09-01,7.71092590478365
2016-09-02,6.16874072382692
2016-09-03,6.16874072382692
2016-09-04,6.939833314305285
2016-09-05,4.626555542870189
2016-09-06,6.16874072382692
2016-09-07,7.71092590478365
2016-09-08,8.482018495262015
2016-09-09,10.024203676218745
2016-09-10,6.939833314305285
2016-09-11,8.482018495262015
2016-09-12,8.482018495262015
2016-09-13,6.939833314305285
2016-09-14,11.566388857175475
2016-09-15,10.79529626669711
2016-09-16,8.482018495262015
2016-09-17,4.626555542870189
2016-09-18,7.71092590478365
2016-09-19,6.939833314305285
2016-09-20,6.16874072382692
2016-09-21,7.71092590478365
2016-09-22,7.71092590478365
2016-09-23,7.71092590478365
2016-09-24,8.482018495262015
2016-09-25,8.482018495262015
2016-09-26,10.79529626669711
2016-09-27,23.13277771435095
2016-09-28,13.108574038132204
2016-09-29,13.87966662861057
2016-09-30,18.506222171480758
2016-10-01,11.291567634329363
2016-10-02,8.29880434669794
2016-10-03,9.786025283085449
2016-10-04,9.051575522319897
2016-10-05,8.262161516985126
2016-10-06,7.1604868758368
2016-10-07,10.924342753946588
2016-10-08,17.699283334544205
2016-10-09,15.808194688061107
2016-10-10,17.27709420959221
2016-10-11,14.3209737516736
2016-10-12,12.007695980238505
2016-10-13,12.429885105190504
2016-10-14,16.120455323874662
2016-10-15,9.033254107463492
2016-10-16,10.887699924233774
2016-10-17,10.557117873563813
2016-10-18,10.90602133909018
2016-10-19,8.684350641937122
2016-10-20,14.633234387487153
2016-10-21,8.280482931841533
2016-10-22,11.291567634329363
2016-10-23,10.520475043850999
2016-10-24,7.89493663660235
2016-10-25,8.262161516985126
2016-10-26,11.695435344424952
2016-10-27,11.65879251471214
2016-10-28,11.273246219472956
2016-10-29,11.64047109985573
2016-10-30,8.280482931841533
2016-10-31,9.749382453372633
2016-11-01,9.786025283085449
2016-11-02,10.2822966507177
