date,michelle obama
2016-12-12,3.2603092783505154
2016-12-13,3.2603092783505154
2016-12-14,2.6082474226804124
2016-12-15,2.6082474226804124
2016-12-16,4.564432989690721
2016-12-17,7.172680412371134
2016-12-18,7.824742268041238
2016-12-19,7.172680412371134
2016-12-20,15.649484536082475
2016-12-21,7.172680412371134
2016-12-22,5.216494845360825
2016-12-23,4.564432989690721
2016-12-24,6.520618556701031
2016-12-25,7.172680412371134
2016-12-26,7.172680412371134
2016-12-27,5.868556701030928
2016-12-28,5.868556701030928
2016-12-29,4.564432989690721
2016-12-30,5.216494845360825
2016-12-31,4.564432989690721
2017-01-01,4.564432989690721
2017-01-02,3.912371134020619
2017-01-03,3.2603092783505154
2017-01-04,3.2603092783505154
2017-01-05,3.2603092783505154
2017-01-06,9.128865979381443
2017-01-07,14.997422680412372
2017-01-08,9.128865979381443
2017-01-09,5.868556701030928
2017-01-10,5.868556701030928
2017-01-11,23.474226804123713
2017-01-12,18.257731958762886
2017-01-13,14.997422680412372
2017-01-14,13.041237113402062
2017-01-15,10.43298969072165
2017-01-16,8.476804123711341
2017-01-17,13.693298969072165
2017-01-18,11.737113402061857
2017-01-19,11.085051546391753
2017-01-20,53.46907216494846
2017-01-21,65.20618556701031
2017-01-22,33.25515463917526
2017-01-23,22.170103092783506
2017-01-24,16.301546391752577
2017-01-25,11.085051546391753
2017-01-26,9.128865979381443
2017-01-27,7.824742268041238
2017-01-28,7.172680412371134
2017-01-29,6.520618556701031
2017-01-30,5.216494845360825
2017-01-31,5.216494845360825
2017-02-01,5.216494845360825
2017-02-02,5.216494845360825
2017-02-03,5.216494845360825
2017-02-04,4.564432989690721
2017-02-05,4.564432989690721
2017-02-06,3.912371134020619
2017-02-07,3.912371134020619
2017-02-08,4.564432989690721
2017-02-09,3.912371134020619
2017-02-10,3.2603092783505154
2017-02-11,3.2603092783505154
2017-02-12,3.912371134020619
2017-02-13,3.2603092783505154
2017-02-14,3.2603092783505154
2017-02-15,3.912371134020619
2017-02-16,3.2603092783505154
2017-02-17,3.2603092783505154
2017-02-18,3.2603092783505154
2017-02-19,3.2603092783505154
2017-02-20,3.2603092783505154
2017-02-21,3.912371134020619
2017-02-22,3.2603092783505154
2017-02-23,2.6082474226804124
2017-02-24,3.2603092783505154
2017-02-25,3.2603092783505154
2017-02-26,3.2603092783505154
2017-02-27,2.6082474226804124
2017-02-28,3.2603092783505154
2017-03-01,3.678335388983268
2017-03-02,4.02276535337786
2017-03-03,3.979711607828536
2017-03-04,3.2231432245002445
2017-03-05,3.0509282423029487
2017-03-06,2.509628586721277
2017-03-07,2.6818435689185733
2017-03-08,3.3953582066975403
2017-03-09,2.767951060017221
2017-03-10,2.4235210956226294
2017-03-11,2.183597658886226
2017-03-12,2.466574841171953
2017-03-13,2.01138267668893
2017-03-14,2.01138267668893
2017-03-15,1.9252751855902819
2017-03-16,1.9252751855902819
2017-03-17,2.01138267668893
2017-03-18,2.054436422238254
2017-03-19,1.9252751855902819
2017-03-20,1.968328931139606
2017-03-21,2.01138267668893
2017-03-22,1.9252751855902819
2017-03-23,2.01138267668893
2017-03-24,2.01138267668893
2017-03-25,2.509628586721277
2017-03-26,2.1405439133369017
2017-03-27,1.9252751855902819
2017-03-28,1.882221440040958
2017-03-29,1.9252751855902819
2017-03-30,2.01138267668893
2017-03-31,1.9252751855902819
2017-04-01,1.7961139489423101
2017-04-02,1.8943648041702545
2017-04-03,3.2720846617486212
2017-04-04,8.610749109864793
2017-04-05,5.080341974820228
2017-04-06,4.9081269926229325
2017-04-07,2.9276546973540296
2017-04-08,2.2387947685648464
2017-04-09,1.9804722952689024
2017-04-10,1.8082573130716066
2017-04-11,1.4638273486770148
2017-04-12,1.7221498219729585
2017-04-13,1.9804722952689024
2017-04-14,1.8943648041702545
2017-04-15,2.0665797863675506
2017-04-16,1.9804722952689024
2017-04-17,2.1526872774661983
2017-04-18,2.6693322240580857
2017-04-19,1.6360423308743106
2017-04-20,1.7221498219729585
2017-04-21,1.6360423308743106
2017-04-22,1.8943648041702545
2017-04-23,1.7221498219729585
2017-04-24,1.5499348397756627
2017-04-25,1.9804722952689024
2017-04-26,1.9804722952689024
2017-04-27,2.1526872774661983
2017-04-28,3.0998696795513254
2017-04-29,2.324902259663494
2017-04-30,2.324902259663494
2017-05-01,2.841547206255382
2017-05-02,5.166449465918876
2017-05-03,3.0137621884526777
2017-05-04,2.6693322240580857
2017-05-05,2.49711724186079
2017-05-06,2.324902259663494
2017-05-07,2.2387947685648464
2017-05-08,2.841547206255382
2017-05-09,2.49711724186079
2017-05-10,1.8082573130716066
2017-05-11,1.5499348397756627
2017-05-12,2.2387947685648464
2017-05-13,3.960944590537805
2017-05-14,2.49711724186079
2017-05-15,1.8943648041702545
2017-05-16,1.7221498219729585
2017-05-17,1.6360423308743106
2017-05-18,1.6360423308743106
2017-05-19,1.7221498219729585
2017-05-20,3.788729608340509
2017-05-21,3.530407135044565
2017-05-22,2.841547206255382
2017-05-23,3.0998696795513254
2017-05-24,4.735912010425636
2017-05-25,4.477589537129693
2017-05-26,3.0998696795513254
2017-05-27,2.755439715156734
2017-05-28,2.49711724186079
2017-05-29,1.9804722952689024
2017-05-30,1.9804722952689024
2017-05-31,1.6360423308743106
2017-06-01,1.8082573130716066
2017-06-02,1.8082573130716066
2017-06-03,1.4638273486770148
