date,donald trump car
2016-05-01,4.434583014537108
2016-05-02,8.376434583014538
2016-05-03,1.9709257842387147
2016-05-04,15.028309104820199
2016-05-05,13.057383320581485
2016-05-06,12.811017597551645
2016-05-07,10.593726090283091
2016-05-08,6.651874521805662
2016-05-09,4.434583014537108
2016-05-10,4.434583014537108
2016-05-11,3.69548584544759
2016-05-12,3.69548584544759
2016-05-13,9.115531752104056
2016-05-14,2.9563886763580722
2016-05-15,6.651874521805662
2016-05-16,8.130068859984698
2016-05-17,9.115531752104056
2016-05-18,8.869166029074217
2016-05-19,5.666411629686305
2016-05-20,3.2027543993879113
2016-05-21,2.9563886763580722
2016-05-22,2.217291507268554
2016-05-23,2.4636572302983932
2016-05-24,6.898240244835502
2016-05-25,2.4636572302983932
2016-05-26,1.9709257842387147
2016-05-27,2.7100229533282327
2016-05-28,6.651874521805662
2016-05-29,4.434583014537108
2016-05-30,5.173680183626626
2016-05-31,3.69548584544759
2016-06-01,4.9273144605967865
2016-06-02,7.637337413925019
2016-06-03,3.2027543993879113
2016-06-04,4.680948737566947
2016-06-05,5.173680183626626
2016-06-06,6.405508798775823
2016-06-07,9.361897475133894
2016-06-08,5.173680183626626
2016-06-09,7.144605967865341
2016-06-10,8.622800306044377
2016-06-11,2.9563886763580722
2016-06-12,1.4781943381790361
2016-06-13,4.434583014537108
2016-06-14,3.69548584544759
2016-06-15,3.2027543993879113
2016-06-16,4.434583014537108
2016-06-17,7.39097169089518
2016-06-18,5.4200459066564655
2016-06-19,1.4781943381790361
2016-06-20,3.69548584544759
2016-06-21,6.405508798775823
2016-06-22,7.144605967865341
2016-06-23,5.666411629686305
2016-06-24,5.4200459066564655
2016-06-25,2.9563886763580722
2016-06-26,4.434583014537108
2016-06-27,3.2027543993879113
2016-06-28,2.4636572302983932
2016-06-29,3.2027543993879113
2016-06-30,5.173680183626626
2016-07-01,3.9418515684774293
2016-07-02,1.4781943381790361
2016-07-03,4.680948737566947
2016-07-04,3.9418515684774293
2016-07-05,4.680948737566947
2016-07-06,3.9418515684774293
2016-07-07,3.9418515684774293
2016-07-08,4.680948737566947
2016-07-09,2.9563886763580722
2016-07-10,4.434583014537108
2016-07-11,1.2318286151491966
2016-07-12,4.434583014537108
2016-07-13,2.7100229533282327
2016-07-14,3.2027543993879113
2016-07-15,4.680948737566947
2016-07-16,8.376434583014538
2016-07-17,7.637337413925019
2016-07-18,13.057383320581485
2016-07-19,15.767406273909717
2016-07-20,14.289211935730682
2016-07-21,11.825554705432289
2016-07-22,21.433817903596022
2016-07-23,9.854628921193573
2016-07-24,8.376434583014538
2016-07-25,7.637337413925019
