date,president obama russia
2016-11-25,0.0
2016-11-26,0.0
2016-11-27,5.0
2016-11-28,9.0
2016-11-29,0.0
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,0.0
2016-12-03,0.0
2016-12-04,5.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,4.0
2016-12-08,5.0
2016-12-09,10.0
2016-12-10,18.0
2016-12-11,16.0
2016-12-12,13.0
2016-12-13,13.0
2016-12-14,0.0
2016-12-15,5.0
2016-12-16,57.0
2016-12-17,26.0
2016-12-18,36.0
2016-12-19,14.0
2016-12-20,5.0
2016-12-21,9.0
2016-12-22,5.0
2016-12-23,0.0
2016-12-24,6.0
2016-12-25,6.0
2016-12-26,10.0
2016-12-27,5.0
2016-12-28,0.0
2016-12-29,100.0
2016-12-30,85.0
2016-12-31,55.0
2017-01-01,0.0
2017-01-02,5.0
2017-01-03,4.0
2017-01-04,17.0
2017-01-05,4.0
2017-01-06,14.0
2017-01-07,10.0
2017-01-08,5.0
2017-01-09,17.0
2017-01-10,17.0
2017-01-11,43.0
2017-01-12,26.0
2017-01-13,18.0
2017-01-14,10.0
2017-01-15,20.0
2017-01-16,9.0
2017-01-17,22.0
2017-01-18,13.0
2017-01-19,4.0
2017-01-20,44.0
2017-01-21,10.0
2017-01-22,10.0
2017-01-23,8.0
2017-01-24,9.0
2017-01-25,9.0
2017-01-26,0.0
2017-01-27,4.0
2017-01-28,0.0
2017-01-29,5.0
2017-01-30,0.0
2017-01-31,9.0
2017-02-01,0.0
2017-02-02,0.0
2017-02-03,0.0
2017-02-04,0.0
2017-02-05,5.0
2017-02-06,0.0
2017-02-07,8.0
2017-02-08,4.0
2017-02-09,4.0
2017-02-10,0.0
2017-02-11,5.0
2017-02-12,5.0
2017-02-13,0.0
2017-02-14,13.0
2017-02-15,22.0
2017-02-16,26.0
2017-02-17,0.0
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,9.0
2017-02-21,4.0
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,0.0
2017-02-26,5.0
2017-02-27,4.0
2017-02-28,4.0
2017-03-01,2.0
2017-03-02,16.03307392996109
2017-03-03,9.075875486381323
2017-03-04,5.910505836575875
2017-03-05,6.620622568093385
2017-03-06,6.19260700389105
2017-03-07,4.19260700389105
2017-03-08,9.359922178988327
2017-03-09,2.9552529182879375
2017-03-10,3.5252918287937742
2017-03-11,5.073929961089494
2017-03-12,0.0
2017-03-13,2.9552529182879375
2017-03-14,1.4299610894941632
2017-03-15,0.0
2017-03-16,5.429961089494164
2017-03-17,1.5252918287937742
2017-03-18,0.0
2017-03-19,4.120622568093385
2017-03-20,6.955252918287938
2017-03-21,12.8852140077821
2017-03-22,6.955252918287938
2017-03-23,8.8852140077821
2017-03-24,0.0
2017-03-25,1.715953307392996
2017-03-26,2.5
2017-03-27,1.4299610894941632
2017-03-28,3.4299610894941632
2017-03-29,2.1926070038910503
2017-03-30,6.025291828793774
2017-03-31,5.0505836575875485
2017-04-01,2.573929961089494
2017-04-02,6.863813229571984
2017-04-03,4.385214007782101
2017-04-04,8.961089494163424
2017-04-05,5.910505836575875
2017-04-06,6.101167315175097
