date,trump comey
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,0.058473757196285246
2016-05-04,0.0
2016-05-05,0.0
2016-05-06,0.058473757196285246
2016-05-07,0.058473757196285246
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,0.058473757196285246
2016-05-11,0.058473757196285246
2016-05-12,0.058473757196285246
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.058473757196285246
2016-05-16,0.058473757196285246
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,0.058473757196285246
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,0.058473757196285246
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.058473757196285246
2016-05-31,0.058473757196285246
2016-06-01,0.058473757196285246
2016-06-02,0.0
2016-06-03,0.058473757196285246
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,0.058473757196285246
2016-06-09,0.058473757196285246
2016-06-10,0.058473757196285246
2016-06-11,0.0
2016-06-12,0.058473757196285246
2016-06-13,0.058473757196285246
2016-06-14,0.058473757196285246
2016-06-15,0.058473757196285246
2016-06-16,0.058473757196285246
2016-06-17,0.058473757196285246
2016-06-18,0.058473757196285246
2016-06-19,0.058473757196285246
2016-06-20,0.0
2016-06-21,0.0
2016-06-22,0.058473757196285246
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,0.058473757196285246
2016-06-27,0.058473757196285246
2016-06-28,0.058473757196285246
2016-06-29,0.0
2016-06-30,0.058473757196285246
2016-07-01,0.11694751439257049
2016-07-02,0.058473757196285246
2016-07-03,0.058473757196285246
2016-07-04,0.0
2016-07-05,1.2279489011219902
2016-07-06,1.7542127158885576
2016-07-07,1.9881077446736983
2016-07-08,0.8186326007479935
2016-07-09,0.29236878598142624
2016-07-10,0.23389502878514098
2016-07-11,0.23389502878514098
2016-07-12,0.11694751439257049
2016-07-13,0.17542127158885573
2016-07-14,0.11694751439257049
2016-07-15,0.058473757196285246
2016-07-16,0.11694751439257049
2016-07-17,0.058473757196285246
2016-07-18,0.0
2016-07-19,0.11694751439257049
2016-07-20,0.058473757196285246
2016-07-21,0.11694751439257049
2016-07-22,0.058473757196285246
2016-07-23,0.058473757196285246
2016-07-24,0.058473757196285246
2016-07-25,0.11694751439257049
2016-07-26,0.11694751439257049
2016-07-27,0.11694751439257049
2016-07-28,0.058473757196285246
2016-07-29,0.058473757196285246
2016-07-30,0.058473757196285246
2016-07-31,0.058473757196285246
2016-08-01,0.17542127158885573
2016-08-02,0.058473757196285246
2016-08-03,0.058473757196285246
2016-08-04,0.058473757196285246
2016-08-05,0.11694751439257049
2016-08-06,0.058473757196285246
2016-08-07,0.058473757196285246
2016-08-08,0.11694751439257049
2016-08-09,0.058473757196285246
2016-08-10,0.17542127158885573
2016-08-11,0.11694751439257049
2016-08-12,0.058473757196285246
2016-08-13,0.058473757196285246
2016-08-14,0.058473757196285246
2016-08-15,0.058473757196285246
2016-08-16,0.058473757196285246
2016-08-17,0.058473757196285246
2016-08-18,0.058473757196285246
2016-08-19,0.0
2016-08-20,0.058473757196285246
2016-08-21,0.0
2016-08-22,0.058473757196285246
2016-08-23,0.058473757196285246
2016-08-24,0.0
2016-08-25,0.058473757196285246
2016-08-26,0.058473757196285246
2016-08-27,0.058473757196285246
2016-08-28,0.058473757196285246
2016-08-29,0.058473757196285246
2016-08-30,0.058473757196285246
2016-08-31,0.058473757196285246
2016-09-01,0.058473757196285246
2016-09-02,0.058473757196285246
2016-09-03,0.058473757196285246
2016-09-04,0.0
2016-09-05,0.058473757196285246
2016-09-06,0.11694751439257049
2016-09-07,0.11694751439257049
2016-09-08,0.11694751439257049
2016-09-09,0.058473757196285246
2016-09-10,0.17542127158885573
2016-09-11,0.058473757196285246
2016-09-12,0.0
2016-09-13,0.11694751439257049
2016-09-14,0.11694751439257049
2016-09-15,0.058473757196285246
2016-09-16,0.058473757196285246
2016-09-17,0.11694751439257049
2016-09-18,0.0
2016-09-19,0.058473757196285246
2016-09-20,0.0
2016-09-21,0.058473757196285246
2016-09-22,0.058473757196285246
2016-09-23,0.058473757196285246
2016-09-24,0.058473757196285246
2016-09-25,0.17542127158885573
2016-09-26,0.058473757196285246
2016-09-27,0.11694751439257049
2016-09-28,0.23389502878514098
2016-09-29,0.29236878598142624
2016-09-30,0.23389502878514098
2016-10-01,0.2193974030339959
2016-10-02,0.16092364583771065
2016-10-03,0.16817245871328318
2016-10-04,0.08046182291885533
2016-10-05,0.08046182291885533
2016-10-06,0.08046182291885533
2016-10-07,0.10969870151699795
2016-10-08,0.08046182291885533
2016-10-09,0.08046182291885533
2016-10-10,0.08046182291885533
2016-10-11,0.08046182291885533
2016-10-12,0.10969870151699795
2016-10-13,0.10969870151699795
2016-10-14,0.10969870151699795
2016-10-15,0.13893558011514057
2016-10-16,0.10969870151699795
2016-10-17,0.10969870151699795
2016-10-18,0.19016052443585327
2016-10-19,0.13893558011514057
2016-10-20,0.10969870151699795
2016-10-21,0.13893558011514057
2016-10-22,0.08046182291885533
2016-10-23,0.08046182291885533
2016-10-24,0.029236878598142623
2016-10-25,0.10969870151699795
2016-10-26,0.10969870151699795
2016-10-27,0.029236878598142623
2016-10-28,1.5577698869605412
2016-10-29,4.812245240996765
2016-10-30,5.148831785519183
2016-10-31,5.843509686094886
2016-11-01,4.505137202168341
2016-11-02,2.7661469933184857
2016-11-03,2.048997772828508
