date,bernie sanders russia
2016-12-04,0.0
2016-12-05,26.0
2016-12-06,13.0
2016-12-07,14.0
2016-12-08,14.0
2016-12-09,22.0
2016-12-10,35.0
2016-12-11,48.0
2016-12-12,13.0
2016-12-13,33.0
2016-12-14,13.0
2016-12-15,14.0
2016-12-16,43.0
2016-12-17,32.0
2016-12-18,31.0
2016-12-19,27.0
2016-12-20,41.0
2016-12-21,14.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,18.0
2016-12-26,0.0
2016-12-27,14.0
2016-12-28,15.0
2016-12-29,29.0
2016-12-30,15.0
2016-12-31,17.0
2017-01-01,51.0
2017-01-02,0.0
2017-01-03,13.0
2017-01-04,13.0
2017-01-05,27.0
2017-01-06,28.0
2017-01-07,38.0
2017-01-08,0.0
2017-01-09,13.0
2017-01-10,39.0
2017-01-11,46.0
2017-01-12,0.0
2017-01-13,34.0
2017-01-14,23.0
2017-01-15,37.0
2017-01-16,19.0
2017-01-17,13.0
2017-01-18,13.0
2017-01-19,0.0
2017-01-20,13.0
2017-01-21,23.0
2017-01-22,0.0
2017-01-23,19.0
2017-01-24,13.0
2017-01-25,13.0
2017-01-26,13.0
2017-01-27,14.0
2017-01-28,15.0
2017-01-29,15.0
2017-01-30,0.0
2017-01-31,19.0
2017-02-01,26.0
2017-02-02,0.0
2017-02-03,13.0
2017-02-04,45.0
2017-02-05,14.0
2017-02-06,26.0
2017-02-07,25.0
2017-02-08,13.0
2017-02-09,26.0
2017-02-10,13.0
2017-02-11,15.0
2017-02-12,15.0
2017-02-13,0.0
2017-02-14,13.0
2017-02-15,46.0
2017-02-16,52.0
2017-02-17,27.0
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,32.0
2017-02-21,26.0
2017-02-22,13.0
2017-02-23,0.0
2017-02-24,13.0
2017-02-25,31.0
2017-02-26,22.0
2017-02-27,26.0
2017-02-28,13.0
2017-03-01,15.086034912718205
2017-03-02,21.208229426433917
2017-03-03,25.468412302576894
2017-03-04,23.89152119700748
2017-03-05,40.51828761429759
2017-03-06,12.22402327514547
2017-03-07,5.72402327514547
2017-03-08,5.72402327514547
2017-03-09,12.22402327514547
2017-03-10,15.984206151288447
2017-03-11,14.004571903574398
2017-03-12,20.886949293433084
2017-03-13,5.72402327514547
2017-03-14,20.94804655029094
2017-03-15,12.22402327514547
2017-03-16,12.22402327514547
2017-03-17,19.484206151288447
2017-03-18,14.004571903574398
2017-03-19,17.386949293433084
2017-03-20,33.43225270157939
2017-03-21,21.086034912718205
2017-03-22,33.44804655029094
2017-03-23,27.57024106400665
2017-03-24,41.457190357439735
2017-03-25,17.64713216957606
2017-03-26,14.264754779717375
2017-03-27,16.0
2017-03-28,17.94804655029094
2017-03-29,18.984206151288447
2017-03-30,24.968412302576894
2017-03-31,22.60640066500416
2017-04-01,21.64713216957606
2017-04-02,27.579384871155447
2017-04-03,35.38487115544473
2017-04-04,29.140482128013304
2017-04-05,23.416458852867834
2017-04-06,23.936824605153785
2017-04-07,24.457190357439735
2017-04-08,27.579384871155447
2017-04-09,14.0498753117207
2017-04-10,29.660847880299254
2017-04-11,11.968412302576892
2017-04-12,11.968412302576892
2017-04-13,37.46633416458853
2017-04-14,20.29426433915212
2017-04-15,14.0498753117207
2017-04-16,28.62011637572735
2017-04-17,12.488778054862845
2017-04-18,0.0
2017-04-19,23.416458852867834
2017-04-20,29.660847880299254
2017-04-21,12.488778054862845
2017-04-22,20.814630091438072
2017-04-23,13.529509559434748
2017-04-24,17.692435577722364
2017-04-25,23.416458852867834
2017-04-26,11.44804655029094
2017-04-27,17.692435577722364
2017-04-28,11.968412302576892
2017-04-29,14.0498753117207
2017-04-30,14.0498753117207
2017-05-01,13.009143807148796
2017-05-02,22.89609310058188
2017-05-03,0.0
2017-05-04,11.968412302576892
2017-05-05,11.968412302576892
2017-05-06,34.34413965087282
2017-05-07,0.0
2017-05-08,23.416458852867834
2017-05-09,11.968412302576892
2017-05-10,17.692435577722364
2017-05-11,29.140482128013304
2017-05-12,18.212801330008315
2017-05-13,13.529509559434748
2017-05-14,28.0997506234414
2017-05-15,0.0
2017-05-16,11.44804655029094
2017-05-17,11.968412302576892
2017-05-18,17.692435577722364
2017-05-19,30.181213632585205
2017-05-20,34.86450540315877
2017-05-21,27.579384871155447
2017-05-22,11.968412302576892
2017-05-23,0.0
2017-05-24,11.968412302576892
2017-05-25,12.488778054862845
2017-05-26,19.253532834580216
2017-05-27,14.570241064006652
2017-05-28,14.570241064006652
2017-05-29,18.733167082294266
2017-05-30,35.905236907730675
2017-05-31,0.0
2017-06-01,0.0
2017-06-02,12.488778054862845
2017-06-03,42.1496259351621
