date,saturday night live
2016-05-01,9.06746463547334
2016-05-02,4.184983677910773
2016-05-03,3.487486398258977
2016-05-04,3.487486398258977
2016-05-05,3.487486398258977
2016-05-06,3.487486398258977
2016-05-07,4.882480957562568
2016-05-08,15.344940152339499
2016-05-09,6.277475516866159
2016-05-10,4.184983677910773
2016-05-11,3.487486398258977
2016-05-12,3.487486398258977
2016-05-13,3.487486398258977
2016-05-14,5.579978237214363
2016-05-15,16.042437431991296
2016-05-16,6.974972796517954
2016-05-17,4.882480957562568
2016-05-18,4.184983677910773
2016-05-19,4.184983677910773
2016-05-20,4.184983677910773
2016-05-21,4.882480957562568
2016-05-22,20.924918389553863
2016-05-23,8.369967355821545
2016-05-24,5.579978237214363
2016-05-25,4.184983677910773
2016-05-26,4.184983677910773
2016-05-27,3.487486398258977
2016-05-28,4.882480957562568
2016-05-29,6.277475516866159
2016-05-30,3.487486398258977
2016-05-31,2.7899891186071817
2016-06-01,2.7899891186071817
2016-06-02,2.7899891186071817
2016-06-03,3.487486398258977
2016-06-04,4.184983677910773
2016-06-05,6.974972796517954
2016-06-06,2.7899891186071817
2016-06-07,2.7899891186071817
2016-06-08,2.7899891186071817
2016-06-09,2.7899891186071817
2016-06-10,2.7899891186071817
2016-06-11,4.882480957562568
2016-06-12,6.277475516866159
2016-06-13,2.7899891186071817
2016-06-14,2.7899891186071817
2016-06-15,2.7899891186071817
2016-06-16,2.7899891186071817
2016-06-17,2.7899891186071817
2016-06-18,2.7899891186071817
2016-06-19,5.579978237214363
2016-06-20,2.7899891186071817
2016-06-21,2.0924918389553864
2016-06-22,4.184983677910773
2016-06-23,2.7899891186071817
2016-06-24,2.7899891186071817
2016-06-25,4.184983677910773
2016-06-26,4.882480957562568
2016-06-27,2.0924918389553864
2016-06-28,2.0924918389553864
2016-06-29,2.0924918389553864
2016-06-30,2.0924918389553864
2016-07-01,2.0924918389553864
2016-07-02,3.487486398258977
2016-07-03,4.882480957562568
2016-07-04,2.7899891186071817
2016-07-05,2.0924918389553864
2016-07-06,2.7899891186071817
2016-07-07,2.0924918389553864
2016-07-08,2.7899891186071817
2016-07-09,2.7899891186071817
2016-07-10,4.882480957562568
2016-07-11,2.0924918389553864
2016-07-12,2.0924918389553864
2016-07-13,2.7899891186071817
2016-07-14,2.7899891186071817
2016-07-15,2.7899891186071817
2016-07-16,4.184983677910773
2016-07-17,4.882480957562568
2016-07-18,2.7899891186071817
2016-07-19,4.184983677910773
2016-07-20,3.487486398258977
2016-07-21,3.487486398258977
2016-07-22,3.487486398258977
2016-07-23,4.184983677910773
2016-07-24,6.974972796517954
2016-07-25,2.7899891186071817
2016-07-26,2.7899891186071817
2016-07-27,3.487486398258977
2016-07-28,2.7899891186071817
2016-07-29,2.7899891186071817
2016-07-30,3.487486398258977
2016-07-31,4.882480957562568
2016-08-01,2.7899891186071817
2016-08-02,2.7899891186071817
2016-08-03,2.7899891186071817
2016-08-04,2.7899891186071817
2016-08-05,2.7899891186071817
2016-08-06,2.7899891186071817
2016-08-07,4.184983677910773
2016-08-08,2.0924918389553864
2016-08-09,3.487486398258977
2016-08-10,3.487486398258977
2016-08-11,2.7899891186071817
2016-08-12,2.7899891186071817
2016-08-13,3.487486398258977
2016-08-14,4.184983677910773
2016-08-15,2.7899891186071817
2016-08-16,2.0924918389553864
2016-08-17,2.0924918389553864
2016-08-18,2.7899891186071817
2016-08-19,2.7899891186071817
2016-08-20,3.487486398258977
2016-08-21,3.487486398258977
2016-08-22,2.7899891186071817
2016-08-23,2.0924918389553864
2016-08-24,2.7899891186071817
2016-08-25,2.7899891186071817
2016-08-26,2.7899891186071817
2016-08-27,3.487486398258977
2016-08-28,5.579978237214363
2016-08-29,2.7899891186071817
2016-08-30,2.7899891186071817
2016-08-31,2.7899891186071817
2016-09-01,2.7899891186071817
2016-09-02,2.7899891186071817
2016-09-03,3.487486398258977
2016-09-04,5.579978237214363
2016-09-05,2.7899891186071817
2016-09-06,2.7899891186071817
2016-09-07,2.0924918389553864
2016-09-08,2.7899891186071817
