date,trump tower
2016-12-15,5.493333333333333
2016-12-16,5.493333333333333
2016-12-17,4.12
2016-12-18,4.12
2016-12-19,3.433333333333333
2016-12-20,3.433333333333333
2016-12-21,3.433333333333333
2016-12-22,3.433333333333333
2016-12-23,3.433333333333333
2016-12-24,3.433333333333333
2016-12-25,3.433333333333333
2016-12-26,3.433333333333333
2016-12-27,13.046666666666667
2016-12-28,12.36
2016-12-29,4.12
2016-12-30,4.806666666666667
2016-12-31,4.12
2017-01-01,4.806666666666667
2017-01-02,3.433333333333333
2017-01-03,2.7466666666666666
2017-01-04,3.433333333333333
2017-01-05,3.433333333333333
2017-01-06,4.12
2017-01-07,3.433333333333333
2017-01-08,2.7466666666666666
2017-01-09,3.433333333333333
2017-01-10,3.433333333333333
2017-01-11,6.866666666666666
2017-01-12,6.866666666666666
2017-01-13,6.18
2017-01-14,5.493333333333333
2017-01-15,4.806666666666667
2017-01-16,4.806666666666667
2017-01-17,6.18
2017-01-18,5.493333333333333
2017-01-19,7.553333333333333
2017-01-20,19.913333333333334
2017-01-21,17.166666666666668
2017-01-22,11.673333333333334
2017-01-23,7.553333333333333
2017-01-24,6.18
2017-01-25,6.18
2017-01-26,6.866666666666666
2017-01-27,5.493333333333333
2017-01-28,6.18
2017-01-29,8.24
2017-01-30,6.866666666666666
2017-01-31,6.866666666666666
2017-02-01,4.806666666666667
2017-02-02,4.806666666666667
2017-02-03,5.493333333333333
2017-02-04,5.493333333333333
2017-02-05,5.493333333333333
2017-02-06,4.806666666666667
2017-02-07,4.12
2017-02-08,5.493333333333333
2017-02-09,5.493333333333333
2017-02-10,4.806666666666667
2017-02-11,4.12
2017-02-12,4.806666666666667
2017-02-13,4.12
2017-02-14,4.12
2017-02-15,3.433333333333333
2017-02-16,4.12
2017-02-17,4.12
2017-02-18,4.806666666666667
2017-02-19,4.12
2017-02-20,4.12
2017-02-21,3.433333333333333
2017-02-22,2.7466666666666666
2017-02-23,3.433333333333333
2017-02-24,3.433333333333333
2017-02-25,4.12
2017-02-26,3.433333333333333
2017-02-27,2.7466666666666666
2017-02-28,5.493333333333333
2017-03-01,4.945399680255797
2017-03-02,3.2419064748201443
2017-03-03,4.195335731414869
2017-03-04,20.12493205435652
2017-03-05,12.179276578737014
2017-03-06,15.077849720223824
2017-03-07,9.484068745003999
2017-03-08,5.390415667466028
2017-03-09,4.742034372501999
2017-03-10,4.0936530775379705
2017-03-11,4.0936530775379705
2017-03-12,3.5469544364508403
2017-03-13,4.0936530775379705
2017-03-14,3.5469544364508403
2017-03-15,3.4452717825739416
2017-03-16,4.0936530775379705
2017-03-17,7.093908872901681
2017-03-18,6.242162270183854
2017-03-19,4.195335731414869
2017-03-20,4.0936530775379705
2017-03-21,4.843717026378898
2017-03-22,5.390415667466028
2017-03-23,4.843717026378898
2017-03-24,3.4452717825739416
2017-03-25,3.2419064748201443
2017-03-26,3.343589128697043
2017-03-27,2.7968904876099128
2017-03-28,2.7968904876099128
2017-03-29,2.7968904876099128
2017-03-30,2.695207833733014
2017-03-31,2.7968904876099128
2017-04-01,2.695207833733014
2017-04-02,2.4403836930455647
2017-04-03,2.6437490007993616
2017-04-04,2.6437490007993616
2017-04-05,2.6437490007993616
2017-04-06,2.4403836930455647
2017-04-07,2.8471143085531585
2017-04-08,2.8471143085531585
2017-04-09,2.4403836930455647
2017-04-10,2.2370183852917673
2017-04-11,2.0336530775379704
2017-04-12,2.2370183852917673
2017-04-13,2.6437490007993616
2017-04-14,2.6437490007993616
2017-04-15,2.6437490007993616
2017-04-16,2.8471143085531585
2017-04-17,2.4403836930455647
2017-04-18,2.2370183852917673
2017-04-19,2.6437490007993616
2017-04-20,2.2370183852917673
2017-04-21,2.4403836930455647
2017-04-22,2.0336530775379704
2017-04-23,2.4403836930455647
2017-04-24,2.2370183852917673
2017-04-25,2.2370183852917673
2017-04-26,2.2370183852917673
2017-04-27,2.4403836930455647
2017-04-28,2.2370183852917673
2017-04-29,2.0336530775379704
2017-04-30,2.2370183852917673
2017-05-01,2.8471143085531585
2017-05-02,2.4403836930455647
2017-05-03,2.6437490007993616
2017-05-04,2.4403836930455647
2017-05-05,2.6437490007993616
2017-05-06,2.2370183852917673
2017-05-07,2.2370183852917673
2017-05-08,1.8302877697841735
2017-05-09,1.8302877697841735
2017-05-10,2.2370183852917673
2017-05-11,1.8302877697841735
2017-05-12,2.4403836930455647
2017-05-13,2.0336530775379704
2017-05-14,2.2370183852917673
2017-05-15,1.8302877697841735
2017-05-16,2.2370183852917673
2017-05-17,2.0336530775379704
2017-05-18,2.2370183852917673
2017-05-19,2.0336530775379704
2017-05-20,2.0336530775379704
2017-05-21,2.2370183852917673
2017-05-22,2.0336530775379704
2017-05-23,2.0336530775379704
2017-05-24,2.4403836930455647
2017-05-25,2.4403836930455647
2017-05-26,2.4403836930455647
2017-05-27,3.050479616306956
2017-05-28,2.6437490007993616
2017-05-29,2.0336530775379704
2017-05-30,1.8302877697841735
2017-05-31,2.6437490007993616
2017-06-01,2.8471143085531585
2017-06-02,2.4403836930455647
2017-06-03,2.6437490007993616
