date,barack obama health
2016-05-01,11.495
2016-05-02,10.101666666666667
2016-05-03,19.506666666666668
2016-05-04,0.0
2016-05-05,0.0
2016-05-06,0.0
2016-05-07,11.843333333333334
2016-05-08,0.0
2016-05-09,9.753333333333334
2016-05-10,19.506666666666668
2016-05-11,9.753333333333334
2016-05-12,10.101666666666667
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,11.495
2016-05-16,9.753333333333334
2016-05-17,9.753333333333334
2016-05-18,14.629999999999999
2016-05-19,10.101666666666667
2016-05-20,10.45
2016-05-21,11.495
2016-05-22,0.0
2016-05-23,9.753333333333334
2016-05-24,9.753333333333334
2016-05-25,29.608333333333334
2016-05-26,0.0
2016-05-27,21.24833333333333
2016-05-28,0.0
2016-05-29,11.843333333333334
2016-05-30,10.101666666666667
2016-05-31,9.753333333333334
2016-06-01,0.0
2016-06-02,19.855
2016-06-03,20.551666666666666
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,9.753333333333334
2016-06-07,9.753333333333334
2016-06-08,10.101666666666667
2016-06-09,0.0
2016-06-10,10.45
2016-06-11,0.0
2016-06-12,11.495
2016-06-13,0.0
2016-06-14,9.753333333333334
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,19.855
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,10.101666666666667
2016-06-29,10.101666666666667
2016-06-30,10.101666666666667
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,0.0
2016-07-07,10.45
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,34.833333333333336
2016-07-13,30.305
2016-07-14,10.45
2016-07-15,10.45
2016-07-16,0.0
2016-07-17,12.191666666666666
2016-07-18,10.101666666666667
2016-07-19,15.326666666666666
2016-07-20,10.45
2016-07-21,0.0
2016-07-22,10.45
2016-07-23,0.0
2016-07-24,11.843333333333334
2016-07-25,10.101666666666667
2016-07-26,10.101666666666667
2016-07-27,10.101666666666667
2016-07-28,25.428333333333335
2016-07-29,10.798333333333334
2016-07-30,24.035
