date,president obama car
2016-05-01,7.814761215629522
2016-05-02,11.201157742402316
2016-05-03,0.0
2016-05-04,4.428364688856729
2016-05-05,11.461649782923299
2016-05-06,26.049204052098407
2016-05-07,8.075253256150507
2016-05-08,5.209840810419681
2016-05-09,8.856729377713458
2016-05-10,0.0
2016-05-11,8.856729377713458
2016-05-12,4.428364688856729
2016-05-13,4.688856729377713
2016-05-14,0.0
2016-05-15,15.629522431259044
2016-05-16,4.428364688856729
2016-05-17,6.512301013024602
2016-05-18,4.428364688856729
2016-05-19,4.428364688856729
2016-05-20,9.117221418234443
2016-05-21,5.209840810419681
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,8.856729377713458
2016-05-25,11.201157742402316
2016-05-26,7.03328509406657
2016-05-27,9.63820549927641
2016-05-28,10.680173661360346
2016-05-29,5.209840810419681
2016-05-30,4.688856729377713
2016-05-31,4.428364688856729
2016-06-01,6.772793053545586
2016-06-02,0.0
2016-06-03,4.688856729377713
2016-06-04,10.680173661360346
2016-06-05,5.209840810419681
2016-06-06,0.0
2016-06-07,4.428364688856729
2016-06-08,8.856729377713458
2016-06-09,4.688856729377713
2016-06-10,9.377713458755427
2016-06-11,0.0
2016-06-12,10.680173661360346
2016-06-13,4.428364688856729
2016-06-14,8.856729377713458
2016-06-15,8.856729377713458
2016-06-16,0.0
2016-06-17,4.688856729377713
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,13.285094066570188
2016-06-21,9.117221418234443
2016-06-22,0.0
2016-06-23,9.117221418234443
2016-06-24,7.03328509406657
2016-06-25,5.209840810419681
2016-06-26,0.0
2016-06-27,4.428364688856729
2016-06-28,4.428364688856729
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,5.4703328509406655
2016-07-04,0.0
2016-07-05,7.03328509406657
2016-07-06,4.688856729377713
2016-07-07,4.688856729377713
2016-07-08,14.327062228654125
2016-07-09,5.4703328509406655
2016-07-10,5.4703328509406655
2016-07-11,4.428364688856729
2016-07-12,8.856729377713458
2016-07-13,6.772793053545586
2016-07-14,4.688856729377713
2016-07-15,4.688856729377713
2016-07-16,0.0
2016-07-17,16.410998552821997
2016-07-18,0.0
2016-07-19,9.377713458755427
2016-07-20,7.03328509406657
2016-07-21,14.06657018813314
2016-07-22,14.06657018813314
2016-07-23,10.940665701881331
2016-07-24,5.4703328509406655
2016-07-25,4.428364688856729
2016-07-26,13.545586107091172
2016-07-27,9.117221418234443
2016-07-28,11.461649782923299
2016-07-29,9.63820549927641
2016-07-30,0.0
2016-07-31,5.4703328509406655
2016-08-01,9.117221418234443
2016-08-02,11.461649782923299
2016-08-03,9.117221418234443
2016-08-04,13.806078147612155
2016-08-05,14.587554269175108
2016-08-06,5.4703328509406655
2016-08-07,10.940665701881331
2016-08-08,0.0
2016-08-09,13.545586107091172
2016-08-10,4.688856729377713
2016-08-11,9.377713458755427
2016-08-12,4.688856729377713
2016-08-13,5.4703328509406655
2016-08-14,16.150506512301014
2016-08-15,4.688856729377713
2016-08-16,0.0
2016-08-17,4.428364688856729
2016-08-18,4.688856729377713
2016-08-19,4.688856729377713
2016-08-20,10.419681620839363
2016-08-21,5.209840810419681
2016-08-22,9.117221418234443
2016-08-23,4.428364688856729
2016-08-24,9.117221418234443
2016-08-25,4.688856729377713
2016-08-26,4.688856729377713
2016-08-27,5.209840810419681
2016-08-28,5.209840810419681
2016-08-29,4.428364688856729
2016-08-30,0.0
2016-08-31,4.428364688856729
2016-09-01,4.428364688856729
2016-09-02,9.377713458755427
2016-09-03,5.209840810419681
2016-09-04,5.209840810419681
2016-09-05,4.428364688856729
2016-09-06,10.940665701881331
2016-09-07,8.856729377713458
2016-09-08,4.428364688856729
2016-09-09,13.806078147612155
2016-09-10,10.419681620839363
2016-09-11,10.15918958031838
2016-09-12,6.772793053545586
2016-09-13,4.428364688856729
2016-09-14,8.856729377713458
2016-09-15,4.428364688856729
2016-09-16,11.461649782923299
2016-09-17,0.0
2016-09-18,4.949348769898697
2016-09-19,4.428364688856729
2016-09-20,0.0
2016-09-21,4.428364688856729
2016-09-22,6.512301013024602
2016-09-23,6.772793053545586
2016-09-24,4.949348769898697
2016-09-25,0.0
2016-09-26,4.428364688856729
2016-09-27,8.596237337192473
2016-09-28,4.428364688856729
2016-09-29,6.512301013024602
2016-09-30,4.428364688856729
2016-10-01,4.974674384949349
2016-10-02,8.646888567293777
2016-10-03,6.5839363241678726
2016-10-04,2.0
2016-10-05,5.2561505065123
2016-10-06,2.2141823444283646
2016-10-07,2.5
2016-10-08,4.974674384949349
2016-10-09,7.974674384949349
2016-10-10,9.798118668596237
2016-10-11,4.0839363241678726
2016-10-12,4.714182344428364
2016-10-13,5.714182344428364
2016-10-14,4.714182344428364
2016-10-15,4.974674384949349
2016-10-16,2.4746743849493487
2016-10-17,6.5839363241678726
2016-10-18,9.88205499276411
2016-10-19,0.0
2016-10-20,8.840086830680173
2016-10-21,5.714182344428364
2016-10-22,9.949348769898698
2016-10-23,7.449348769898697
2016-10-24,5.2561505065123
2016-10-25,5.125904486251809
2016-10-26,4.0839363241678726
2016-10-27,10.88205499276411
2016-10-28,9.970332850940665
2016-10-29,7.449348769898697
2016-10-30,2.5
2016-10-31,4.714182344428364
2016-11-01,0.0
2016-11-02,9.0
2016-11-03,13.0
2016-11-04,0.0
2016-11-05,8.0
2016-11-06,10.0
2016-11-07,9.0
2016-11-08,6.0
2016-11-09,45.0
2016-11-10,22.0
2016-11-11,19.0
2016-11-12,15.0
2016-11-13,8.0
