date,jill stein russia
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,0.0
2016-05-04,0.0
2016-05-05,0.0
2016-05-06,0.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,4.397018970189702
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,4.397018970189702
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,4.397018970189702
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,4.397018970189702
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,0.0
2016-06-09,0.0
2016-06-10,0.0
2016-06-11,5.276422764227642
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,0.0
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,4.397018970189702
2016-06-28,0.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,0.0
2016-07-07,0.0
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,9.380307136404697
2016-07-15,0.0
2016-07-16,5.276422764227642
2016-07-17,0.0
2016-07-18,4.690153568202349
2016-07-19,4.690153568202349
2016-07-20,0.0
2016-07-21,0.0
2016-07-22,0.0
2016-07-23,10.845980126467932
2016-07-24,5.276422764227642
2016-07-25,4.397018970189702
2016-07-26,4.397018970189702
2016-07-27,9.08717253839205
2016-07-28,13.777326106594398
2016-07-29,4.690153568202349
2016-07-30,0.0
2016-07-31,5.276422764227642
2016-08-01,9.08717253839205
2016-08-02,9.08717253839205
2016-08-03,7.035230352303524
2016-08-04,4.690153568202349
2016-08-05,0.0
2016-08-06,5.569557362240289
2016-08-07,18.760614272809395
2016-08-08,13.484191508581752
2016-08-09,6.742095754290876
2016-08-10,13.777326106594398
2016-08-11,9.380307136404697
2016-08-12,4.690153568202349
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,0.0
2016-08-16,4.397018970189702
2016-08-17,4.397018970189702
2016-08-18,4.690153568202349
2016-08-19,4.690153568202349
2016-08-20,0.0
2016-08-21,5.276422764227642
2016-08-22,0.0
2016-08-23,4.397018970189702
2016-08-24,0.0
2016-08-25,4.690153568202349
2016-08-26,4.690153568202349
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,0.0
2016-08-30,8.794037940379404
2016-08-31,9.08717253839205
2016-09-01,4.397018970189702
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,4.397018970189702
2016-09-07,4.397018970189702
2016-09-08,13.484191508581752
2016-09-09,9.08717253839205
2016-09-10,0.0
2016-09-11,0.0
2016-09-12,0.0
2016-09-13,0.0
2016-09-14,0.0
2016-09-15,4.397018970189702
2016-09-16,0.0
2016-09-17,4.9832881662149955
2016-09-18,0.0
2016-09-19,4.103884372177055
2016-09-20,0.0
2016-09-21,4.397018970189702
2016-09-22,4.397018970189702
2016-09-23,0.0
2016-09-24,4.9832881662149955
2016-09-25,0.0
2016-09-26,0.0
2016-09-27,4.397018970189702
2016-09-28,8.500903342366756
2016-09-29,4.397018970189702
2016-09-30,0.0
2016-10-01,0.0
2016-10-02,5.06323396567299
2016-10-03,0.0
2016-10-04,2.0519421860885276
2016-10-05,4.450316169828365
2016-10-06,6.995257452574526
2016-10-07,6.901987353206866
2016-10-08,0.0
2016-10-09,5.209801264679313
2016-10-10,2.198509485094851
2016-10-11,11.245709123757905
2016-10-12,8.181120144534779
2016-10-13,12.364950316169828
2016-10-14,17.42818428184282
2016-10-15,6.648825654923216
2016-10-16,21.532068654019874
2016-10-17,20.026422764227643
2016-10-18,4.450316169828365
2016-10-19,14.616757000903341
2016-10-20,11.965221318879856
2016-10-21,10.219738030713641
2016-10-22,5.209801264679313
2016-10-23,7.5548780487804885
2016-10-24,4.450316169828365
2016-10-25,5.569557362240289
2016-10-26,9.08717253839205
2016-10-27,4.450316169828365
2016-10-28,10.472899728997291
2016-10-29,7.8613369467028
2016-10-30,5.209801264679313
2016-10-31,6.7953929539295395
2016-11-01,8.02122854561879
2016-11-02,4.796747967479675
2016-11-03,7.035230352303524
2016-11-04,14.710027100271004
2016-11-05,5.436314363143632
2016-11-06,10.552845528455284
2016-11-07,4.476964769647696
2016-11-08,11.51219512195122
2016-11-09,4.157181571815719
2016-11-10,4.796747967479675
2016-11-11,0.0
2016-11-12,0.0
2016-11-13,0.0
2016-11-14,0.0
2016-11-15,0.0
2016-11-16,9.273712737127372
2016-11-17,4.796747967479675
2016-11-18,4.796747967479675
2016-11-19,5.436314363143632
2016-11-20,5.436314363143632
2016-11-21,0.0
2016-11-22,0.0
2016-11-23,9.273712737127372
2016-11-24,21.745257452574528
2016-11-25,23.983739837398375
2016-11-26,31.978319783197833
2016-11-27,15.669376693766939
2016-11-28,13.43089430894309
2016-11-29,8.953929539295393
2016-11-30,11.51219512195122
2016-12-01,4.796747967479675
2016-12-02,9.59349593495935
2016-12-03,0.0
2016-12-04,10.552845528455284
2016-12-05,9.273712737127372
2016-12-06,4.476964769647696
2016-12-07,9.273712737127372
2016-12-08,0.0
2016-12-09,5.116531165311653
2016-12-10,9.273712737127372
2016-12-11,27.821138211382117
2016-12-12,25.26287262872629
2016-12-13,11.51219512195122
2016-12-14,4.476964769647696
2016-12-15,4.796747967479675
2016-12-16,9.91327913279133
2016-12-17,0.0
2016-12-18,5.436314363143632
2016-12-19,4.796747967479675
2016-12-20,4.796747967479675
2016-12-21,4.796747967479675
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,6.075880758807588
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,4.796747967479675
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,5.116531165311653
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,0.0
2017-01-07,5.116531165311653
2017-01-08,0.0
2017-01-09,0.0
2017-01-10,4.476964769647696
2017-01-11,27.181571815718158
2017-01-12,8.953929539295393
2017-01-13,9.273712737127372
