date,terrorism
2016-05-01,16.92363604209037
2016-05-02,22.89668405694579
2016-05-03,21.901176054469886
2016-05-04,22.89668405694579
2016-05-05,22.89668405694579
2016-05-06,18.914652047042175
2016-05-07,14.932620037138559
2016-05-08,15.928128039614464
2016-05-09,24.8877000618976
2016-05-10,24.8877000618976
2016-05-11,23.892192059421696
2016-05-12,24.8877000618976
2016-05-13,19.91016004951808
2016-05-14,10.950588027234943
2016-05-15,15.928128039614464
2016-05-16,21.901176054469886
2016-05-17,21.901176054469886
2016-05-18,23.892192059421696
2016-05-19,28.869732071801216
2016-05-20,26.878716066849407
2016-05-21,14.932620037138559
2016-05-22,16.92363604209037
2016-05-23,20.905668051993985
2016-05-24,20.905668051993985
2016-05-25,21.901176054469886
2016-05-26,18.914652047042175
2016-05-27,14.932620037138559
2016-05-28,11.946096029710848
2016-05-29,12.941604032186753
2016-05-30,15.928128039614464
2016-05-31,18.914652047042175
2016-06-01,18.914652047042175
2016-06-02,16.92363604209037
2016-06-03,16.92363604209037
2016-06-04,12.941604032186753
2016-06-05,14.932620037138559
2016-06-06,21.901176054469886
2016-06-07,19.91016004951808
2016-06-08,18.914652047042175
2016-06-09,19.91016004951808
2016-06-10,15.928128039614464
2016-06-11,11.946096029710848
2016-06-12,81.63165620302412
2016-06-13,59.730480148554236
2016-06-14,47.78438411884339
2016-06-15,37.82930409408435
2016-06-16,32.85176408170483
2016-06-17,26.878716066849407
2016-06-18,20.905668051993985
2016-06-19,18.914652047042175
2016-06-20,19.91016004951808
2016-06-21,19.91016004951808
2016-06-22,17.919144044566274
2016-06-23,18.914652047042175
2016-06-24,14.932620037138559
2016-06-25,13.937112034662656
2016-06-26,15.928128039614464
2016-06-27,13.937112034662656
2016-06-28,23.892192059421696
2016-06-29,33.84727208418074
2016-06-30,22.89668405694579
2016-07-01,18.914652047042175
2016-07-02,21.901176054469886
2016-07-03,22.89668405694579
2016-07-04,24.8877000618976
2016-07-05,23.892192059421696
2016-07-06,20.905668051993985
2016-07-07,20.905668051993985
2016-07-08,26.878716066849407
2016-07-09,19.91016004951808
2016-07-10,17.919144044566274
2016-07-11,18.914652047042175
2016-07-12,20.905668051993985
2016-07-13,17.919144044566274
2016-07-14,32.85176408170483
2016-07-15,99.5508002475904
2016-07-16,40.81582810151206
2016-07-17,29.865240074277118
2016-07-18,27.87422406932531
2016-07-19,30.860748076753023
2016-07-20,22.89668405694579
2016-07-21,25.883208064373505
2016-07-22,36.83379609160845
2016-07-23,32.85176408170483
2016-07-24,23.892192059421696
2016-07-25,27.87422406932531
2016-07-26,34.84278008665664
2016-07-27,31.856256079228928
2016-07-28,23.892192059421696
2016-07-29,20.905668051993985
2016-07-30,17.919144044566274
2016-07-31,19.91016004951808
2016-08-01,21.901176054469886
2016-08-02,20.905668051993985
2016-08-03,21.901176054469886
2016-08-04,26.878716066849407
2016-08-05,21.901176054469886
2016-08-06,20.905668051993985
2016-08-07,18.914652047042175
2016-08-08,17.919144044566274
2016-08-09,18.914652047042175
2016-08-10,22.89668405694579
2016-08-11,22.89668405694579
2016-08-12,19.91016004951808
2016-08-13,14.932620037138559
2016-08-14,15.928128039614464
2016-08-15,18.914652047042175
2016-08-16,19.91016004951808
2016-08-17,14.932620037138559
2016-08-18,16.92363604209037
2016-08-19,17.919144044566274
2016-08-20,12.941604032186753
2016-08-21,14.932620037138559
2016-08-22,17.919144044566274
2016-08-23,16.92363604209037
2016-08-24,20.905668051993985
2016-08-25,17.919144044566274
2016-08-26,16.92363604209037
2016-08-27,13.937112034662656
2016-08-28,16.92363604209037
2016-08-29,19.91016004951808
2016-08-30,18.914652047042175
2016-08-31,17.919144044566274
2016-09-01,17.919144044566274
2016-09-02,16.92363604209037
2016-09-03,14.932620037138559
2016-09-04,14.932620037138559
2016-09-05,15.928128039614464
2016-09-06,19.91016004951808
2016-09-07,21.901176054469886
2016-09-08,20.905668051993985
2016-09-09,20.905668051993985
2016-09-10,12.941604032186753
2016-09-11,21.901176054469886
2016-09-12,22.89668405694579
2016-09-13,23.892192059421696
2016-09-14,20.905668051993985
2016-09-15,20.905668051993985
2016-09-16,16.92363604209037
2016-09-17,14.932620037138559
2016-09-18,38.82481209656026
2016-09-19,40.81582810151206
2016-09-20,33.84727208418074
2016-09-21,29.865240074277118
2016-09-22,30.860748076753023
2016-09-23,35.83828808913255
2016-09-24,20.905668051993985
2016-09-25,22.89668405694579
2016-09-26,26.878716066849407
2016-09-27,25.883208064373505
2016-09-28,25.883208064373505
2016-09-29,34.84278008665664
2016-09-30,26.878716066849407
2016-10-01,17.768697497568304
2016-10-02,20.69120169776284
2016-10-03,25.382253072773892
2016-10-04,25.05415156070386
2016-10-05,25.657538243876555
2016-10-06,25.604721902909183
2016-10-07,21.136139358033425
2016-10-08,15.396763639579095
2016-10-09,16.72037315412503
2016-10-10,22.23728004244407
2016-10-11,24.88449907153594
2016-10-12,25.604721902909183
2016-10-13,23.560889556990006
2016-10-14,21.18895569900079
2016-10-15,18.043982668670964
2016-10-16,19.31477584224953
2016-10-17,24.333928729330616
2016-10-18,23.783358387125293
2016-10-19,23.508073216022634
2016-10-20,25.106967901671233
2016-10-21,22.459748872579357
2016-10-22,14.899009638341143
2016-10-23,20.63838535679547
2016-10-24,23.010319214784683
2016-10-25,24.333928729330616
2016-10-26,21.411424529136085
2016-10-27,20.5855690158281
2016-10-28,18.319267839773627
2016-10-29,14.676540808205852
2016-10-30,15.174294809443804
2016-10-31,21.464240870103453
2016-11-01,22.957502873817308
2016-11-02,23.674524714828895
