date,polling place
2016-05-01,0.16766467065868262
2016-05-02,0.5029940119760479
2016-05-03,1.6766467065868262
2016-05-04,0.33532934131736525
2016-05-05,0.33532934131736525
2016-05-06,0.16766467065868262
2016-05-07,0.16766467065868262
2016-05-08,0.33532934131736525
2016-05-09,0.33532934131736525
2016-05-10,0.33532934131736525
2016-05-11,0.16766467065868262
2016-05-12,0.16766467065868262
2016-05-13,0.16766467065868262
2016-05-14,0.33532934131736525
2016-05-15,0.16766467065868262
2016-05-16,0.33532934131736525
2016-05-17,0.6706586826347305
2016-05-18,0.16766467065868262
2016-05-19,0.0
2016-05-20,0.16766467065868262
2016-05-21,0.16766467065868262
2016-05-22,0.16766467065868262
2016-05-23,0.16766467065868262
2016-05-24,0.33532934131736525
2016-05-25,0.16766467065868262
2016-05-26,0.16766467065868262
2016-05-27,0.16766467065868262
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.16766467065868262
2016-06-01,0.16766467065868262
2016-06-02,0.33532934131736525
2016-06-03,0.33532934131736525
2016-06-04,0.5029940119760479
2016-06-05,0.33532934131736525
2016-06-06,2.0119760479041915
2016-06-07,16.766467065868262
2016-06-08,4.191616766467066
2016-06-09,0.16766467065868262
2016-06-10,0.0
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,0.16766467065868262
2016-06-14,0.33532934131736525
2016-06-15,0.16766467065868262
2016-06-16,0.16766467065868262
2016-06-17,0.16766467065868262
2016-06-18,0.0
2016-06-19,0.16766467065868262
2016-06-20,0.16766467065868262
2016-06-21,0.16766467065868262
2016-06-22,0.33532934131736525
2016-06-23,0.8383233532934131
2016-06-24,0.16766467065868262
2016-06-25,0.16766467065868262
2016-06-26,0.16766467065868262
2016-06-27,0.33532934131736525
2016-06-28,0.5029940119760479
2016-06-29,0.33532934131736525
2016-06-30,0.33532934131736525
2016-07-01,2.0119760479041915
2016-07-02,1.8443113772455089
2016-07-03,0.16766467065868262
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,0.0
