date,hillary intelligence
2016-05-01,0.0
2016-05-02,4.358353510895884
2016-05-03,8.716707021791768
2016-05-04,8.716707021791768
2016-05-05,0.0
2016-05-06,6.973365617433414
2016-05-07,5.23002421307506
2016-05-08,5.23002421307506
2016-05-09,0.0
2016-05-10,4.358353510895884
2016-05-11,4.358353510895884
2016-05-12,8.716707021791768
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,4.358353510895884
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,4.7941888619854724
2016-05-21,0.0
2016-05-22,5.23002421307506
2016-05-23,0.0
2016-05-24,8.716707021791768
2016-05-25,8.716707021791768
2016-05-26,4.358353510895884
2016-05-27,4.7941888619854724
2016-05-28,0.0
2016-05-29,5.23002421307506
2016-05-30,0.0
2016-05-31,8.716707021791768
2016-06-01,4.358353510895884
2016-06-02,4.358353510895884
2016-06-03,18.7409200968523
2016-06-04,10.46004842615012
2016-06-05,10.46004842615012
2016-06-06,4.358353510895884
2016-06-07,4.358353510895884
2016-06-08,8.716707021791768
2016-06-09,9.152542372881356
2016-06-10,6.973365617433414
2016-06-11,10.46004842615012
2016-06-12,5.23002421307506
2016-06-13,4.358353510895884
2016-06-14,4.358353510895884
2016-06-15,0.0
2016-06-16,4.358353510895884
2016-06-17,0.0
2016-06-18,10.46004842615012
2016-06-19,5.23002421307506
2016-06-20,4.358353510895884
2016-06-21,6.5375302663438255
2016-06-22,8.716707021791768
2016-06-23,9.152542372881356
2016-06-24,0.0
2016-06-25,5.23002421307506
2016-06-26,5.23002421307506
2016-06-27,0.0
2016-06-28,4.358353510895884
2016-06-29,4.358353510895884
2016-06-30,0.0
2016-07-01,4.7941888619854724
2016-07-02,5.23002421307506
2016-07-03,5.23002421307506
2016-07-04,9.588377723970945
2016-07-05,11.331719128329297
2016-07-06,11.331719128329297
2016-07-07,16.12590799031477
2016-07-08,19.17675544794189
2016-07-09,0.0
2016-07-10,5.23002421307506
2016-07-11,4.358353510895884
2016-07-12,8.716707021791768
