date,trump pneumonia
2016-12-11,0.8055077452667814
2016-12-12,0.0
2016-12-13,0.7160068846815835
2016-12-14,0.7160068846815835
2016-12-15,0.7160068846815835
2016-12-16,0.7160068846815835
2016-12-17,0.8055077452667814
2016-12-18,1.2530120481927711
2016-12-19,2.1480206540447506
2016-12-20,1.432013769363167
2016-12-21,0.7160068846815835
2016-12-22,0.7160068846815835
2016-12-23,0.0
2016-12-24,0.8950086058519793
2016-12-25,0.0
2016-12-26,0.8055077452667814
2016-12-27,0.0
2016-12-28,0.7160068846815835
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.8950086058519793
2017-01-01,0.8950086058519793
2017-01-02,0.7160068846815835
2017-01-03,0.7160068846815835
2017-01-04,1.342512908777969
2017-01-05,0.7160068846815835
2017-01-06,1.432013769363167
2017-01-07,0.8055077452667814
2017-01-08,0.8055077452667814
2017-01-09,0.6265060240963856
2017-01-10,0.7160068846815835
2017-01-11,1.342512908777969
2017-01-12,1.342512908777969
2017-01-13,1.432013769363167
2017-01-14,1.5215146299483648
2017-01-15,1.5215146299483648
2017-01-16,0.6265060240963856
2017-01-17,1.7005163511187606
2017-01-18,1.7005163511187606
2017-01-19,2.3270223752151464
2017-01-20,8.950086058519794
2017-01-21,6.175559380378657
2017-01-22,3.0430292598967297
2017-01-23,1.7005163511187606
2017-01-24,2.685025817555938
2017-01-25,1.9690189328743546
2017-01-26,3.4010327022375213
2017-01-27,1.432013769363167
2017-01-28,1.9690189328743546
2017-01-29,3.1325301204819276
2017-01-30,3.3115318416523234
2017-01-31,1.7005163511187606
2017-02-01,1.9690189328743546
2017-02-02,1.342512908777969
2017-02-03,2.0585197934595523
2017-02-04,1.5215146299483648
2017-02-05,2.59552495697074
2017-02-06,0.9845094664371773
2017-02-07,1.342512908777969
2017-02-08,1.342512908777969
2017-02-09,3.3115318416523234
2017-02-10,0.7160068846815835
2017-02-11,0.8055077452667814
2017-02-12,1.5215146299483648
2017-02-13,1.342512908777969
2017-02-14,1.7005163511187606
2017-02-15,2.0585197934595523
2017-02-16,1.342512908777969
2017-02-17,0.7160068846815835
2017-02-18,2.3270223752151464
2017-02-19,1.1635111876075732
2017-02-20,2.685025817555938
2017-02-21,1.342512908777969
2017-02-22,0.6265060240963856
2017-02-23,0.6265060240963856
2017-02-24,0.7160068846815835
2017-02-25,0.0
2017-02-26,0.8055077452667814
2017-02-27,0.7160068846815835
2017-02-28,0.7160068846815835
2017-03-01,0.0
2017-03-02,1.0232709915605065
2017-03-03,0.7246575254816399
2017-03-04,1.1671710740999046
2017-03-05,0.749944013974112
2017-03-06,0.8336223278669644
2017-03-07,1.0086314455911807
2017-03-08,0.6546206066965685
2017-03-09,1.3385203053317891
2017-03-10,0.35800344234079173
2017-03-11,1.5825681909795315
2017-03-12,0.7625872582203482
2017-03-13,0.6672638509428047
2017-03-14,0.0
2017-03-15,0.3132530120481928
2017-03-16,0.6712564543889845
2017-03-17,1.270313329792884
2017-03-18,0.9863394096833431
2017-03-19,1.1671710740999046
2017-03-20,0.7080216777892239
2017-03-21,1.3666348879319723
2017-03-22,1.3666348879319723
2017-03-23,0.3132530120481928
2017-03-24,1.28295657403912
2017-03-25,0.0
2017-03-26,0.8199809327591834
2017-03-27,0.8336223278669644
2017-03-28,0.0
2017-03-29,2.0591852273672493
2017-03-30,1.0379105375298325
2017-03-31,0.7246575254816399
2017-04-01,1.416209714055372
2017-04-02,0.8344541202515853
2017-04-03,0.7080216777892239
2017-04-04,0.7080216777892239
2017-04-05,0.7080216777892239
2017-04-06,1.4666163325633923
2017-04-07,0.0
2017-04-08,0.8344541202515853
2017-04-09,0.0
2017-04-10,0.7333081662816961
2017-04-11,0.0
2017-04-12,0.7585946547741684
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.8597406087440576
2017-04-17,0.0
2017-04-18,0.7080216777892239
2017-04-19,0.7080216777892239
2017-04-20,1.44132984407092
2017-04-21,1.4919028210558647
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.7080216777892239
2017-04-27,0.7080216777892239
2017-04-28,1.1126054936687804
2017-04-29,2.528648849247228
2017-04-30,0.0
2017-05-01,0.7838811432666407
2017-05-02,0.7080216777892239
2017-05-03,1.0620325166838358
2017-05-04,0.7080216777892239
2017-05-05,1.1126054936687804
2017-05-06,0.0
2017-05-07,0.8344541202515853
2017-05-08,0.7080216777892239
2017-05-09,0.7333081662816961
2017-05-10,0.7080216777892239
2017-05-11,0.0
2017-05-12,0.7333081662816961
2017-05-13,0.0
2017-05-14,0.8597406087440576
2017-05-15,0.7080216777892239
2017-05-16,0.0
2017-05-17,1.4160433555784477
2017-05-18,0.7333081662816961
2017-05-19,0.7333081662816961
2017-05-20,1.264324424623614
