date,criminal
2016-05-01,55.970271655561255
2016-05-02,54.39364428498206
2016-05-03,54.39364428498206
2016-05-04,54.39364428498206
2016-05-05,66.21834956432599
2016-05-06,55.18195797027166
2016-05-07,49.66376217324449
2016-05-08,49.66376217324449
2016-05-09,54.39364428498206
2016-05-10,54.39364428498206
2016-05-11,52.028703229113276
2016-05-12,69.37160430548437
2016-05-13,69.37160430548437
2016-05-14,64.6417221937468
2016-05-15,55.18195797027166
2016-05-16,63.06509482316761
2016-05-17,59.91184008200923
2016-05-18,52.81701691440287
2016-05-19,54.39364428498206
2016-05-20,46.510507432086115
2016-05-21,44.93388006150692
2016-05-22,45.72219374679651
2016-05-23,47.29882111737571
2016-05-24,50.45207585853409
2016-05-25,48.087134802665304
2016-05-26,50.45207585853409
2016-05-27,44.93388006150692
2016-05-28,41.78062532034854
2016-05-29,42.568939005638136
2016-05-30,42.568939005638136
2016-05-31,45.72219374679651
2016-06-01,48.8754484879549
2016-06-02,48.087134802665304
2016-06-03,43.35725269092773
2016-06-04,41.78062532034854
2016-06-05,43.35725269092773
2016-06-06,44.93388006150692
2016-06-07,47.29882111737571
2016-06-08,48.087134802665304
2016-06-09,48.8754484879549
2016-06-10,51.24038954382368
2016-06-11,44.145566376217324
2016-06-12,41.78062532034854
2016-06-13,46.510507432086115
2016-06-14,48.087134802665304
2016-06-15,48.087134802665304
2016-06-16,47.29882111737571
2016-06-17,41.78062532034854
2016-06-18,38.62737057919016
2016-06-19,38.62737057919016
2016-06-20,44.93388006150692
2016-06-21,48.087134802665304
2016-06-22,45.72219374679651
2016-06-23,44.145566376217324
2016-06-24,44.145566376217324
2016-06-25,42.568939005638136
2016-06-26,42.568939005638136
2016-06-27,44.145566376217324
2016-06-28,48.087134802665304
2016-06-29,46.510507432086115
2016-06-30,43.35725269092773
2016-07-01,40.99231163505895
2016-07-02,37.83905689390056
2016-07-03,41.78062532034854
2016-07-04,42.568939005638136
2016-07-05,52.81701691440287
2016-07-06,52.81701691440287
2016-07-07,55.970271655561255
2016-07-08,51.24038954382368
2016-07-09,48.087134802665304
2016-07-10,44.93388006150692
2016-07-11,51.24038954382368
2016-07-12,54.39364428498206
2016-07-13,52.81701691440287
2016-07-14,53.605330599692465
2016-07-15,49.66376217324449
2016-07-16,48.087134802665304
2016-07-17,50.45207585853409
2016-07-18,52.028703229113276
2016-07-19,53.605330599692465
2016-07-20,55.970271655561255
2016-07-21,52.028703229113276
2016-07-22,50.45207585853409
2016-07-23,46.510507432086115
2016-07-24,48.8754484879549
2016-07-25,50.45207585853409
2016-07-26,53.605330599692465
2016-07-27,54.39364428498206
2016-07-28,50.45207585853409
2016-07-29,51.24038954382368
2016-07-30,48.8754484879549
2016-07-31,50.45207585853409
2016-08-01,49.66376217324449
2016-08-02,51.24038954382368
2016-08-03,48.8754484879549
2016-08-04,48.087134802665304
2016-08-05,44.93388006150692
2016-08-06,42.568939005638136
2016-08-07,43.35725269092773
2016-08-08,45.72219374679651
2016-08-09,48.087134802665304
2016-08-10,44.93388006150692
2016-08-11,48.087134802665304
2016-08-12,63.85340850845721
2016-08-13,78.83136852895952
2016-08-14,58.33521271143004
2016-08-15,61.48846745258842
2016-08-16,59.12352639671963
2016-08-17,52.028703229113276
2016-08-18,53.605330599692465
2016-08-19,47.29882111737571
2016-08-20,44.93388006150692
2016-08-21,46.510507432086115
2016-08-22,51.24038954382368
2016-08-23,53.605330599692465
2016-08-24,50.45207585853409
2016-08-25,53.605330599692465
2016-08-26,48.087134802665304
2016-08-27,43.35725269092773
2016-08-28,47.29882111737571
2016-08-29,50.45207585853409
2016-08-30,50.45207585853409
2016-08-31,52.028703229113276
2016-09-01,51.24038954382368
2016-09-02,47.29882111737571
2016-09-03,45.72219374679651
2016-09-04,46.510507432086115
2016-09-05,45.72219374679651
2016-09-06,54.39364428498206
2016-09-07,60.70015376729882
2016-09-08,59.91184008200923
2016-09-09,50.45207585853409
2016-09-10,45.72219374679651
2016-09-11,48.087134802665304
2016-09-12,48.8754484879549
2016-09-13,52.028703229113276
2016-09-14,66.21834956432599
2016-09-15,74.10148641722193
2016-09-16,63.85340850845721
2016-09-17,59.91184008200923
2016-09-18,58.33521271143004
2016-09-19,56.75858534085085
2016-09-20,55.18195797027166
2016-09-21,58.33521271143004
2016-09-22,59.91184008200923
2016-09-23,55.970271655561255
2016-09-24,46.510507432086115
2016-09-25,48.8754484879549
2016-09-26,51.24038954382368
2016-09-27,52.028703229113276
2016-09-28,55.18195797027166
2016-09-29,73.31317273193234
2016-09-30,52.028703229113276
2016-10-01,44.46694003075346
2016-10-02,44.96694003075346
2016-10-03,49.831881086622246
2016-10-04,48.43772424397745
2016-10-05,50.226037929267044
2016-10-06,60.35007688364941
2016-10-07,46.75525371604306
2016-10-08,42.284469502819064
2016-10-09,44.57278318810866
2016-10-10,48.04356740133265
2016-10-11,48.93772424397745
2016-10-12,50.226037929267044
2016-10-13,61.74423372629421
2016-10-14,47.649410558687855
2016-10-15,43.07278318810866
2016-10-16,44.96694003075346
2016-10-17,49.43772424397745
2016-10-18,49.831881086622246
2016-10-19,49.331881086622246
2016-10-20,52.51435161455664
2016-10-21,46.75525371604306
2016-10-22,41.49615581752947
2016-10-23,42.284469502819064
2016-10-24,49.331881086622246
2016-10-25,48.831881086622246
2016-10-26,49.43772424397745
2016-10-27,55.590978985135834
2016-10-28,47.149410558687855
2016-10-29,40.10199897488468
2016-10-30,41.49615581752947
2016-10-31,48.04356740133265
2016-11-01,49.831881086622246
2016-11-02,50.0
