date,temporary restraining order
2016-05-01,11.76470588235294
2016-05-02,15.196078431372548
2016-05-03,24.509803921568626
2016-05-04,34.80392156862745
2016-05-05,18.137254901960784
2016-05-06,18.627450980392155
2016-05-07,14.705882352941176
2016-05-08,0.0
2016-05-09,17.64705882352941
2016-05-10,22.058823529411764
2016-05-11,22.058823529411764
2016-05-12,15.196078431372548
2016-05-13,15.686274509803921
2016-05-14,5.88235294117647
2016-05-15,8.823529411764705
2016-05-16,7.352941176470588
2016-05-17,4.901960784313725
2016-05-18,19.6078431372549
2016-05-19,9.80392156862745
2016-05-20,18.137254901960784
2016-05-21,14.705882352941176
2016-05-22,5.88235294117647
2016-05-23,7.352941176470588
2016-05-24,17.15686274509804
2016-05-25,12.745098039215685
2016-05-26,33.8235294117647
2016-05-27,0.0
2016-05-28,5.88235294117647
2016-05-29,41.666666666666664
2016-05-30,7.8431372549019605
2016-05-31,32.35294117647059
2016-06-01,20.098039215686274
2016-06-02,17.64705882352941
2016-06-03,18.627450980392155
2016-06-04,8.823529411764705
2016-06-05,20.588235294117645
2016-06-06,4.901960784313725
2016-06-07,7.352941176470588
2016-06-08,10.294117647058822
2016-06-09,27.941176470588236
2016-06-10,10.294117647058822
2016-06-11,8.823529411764705
2016-06-12,11.76470588235294
2016-06-13,9.80392156862745
2016-06-14,27.45098039215686
2016-06-15,24.509803921568626
2016-06-16,32.84313725490196
2016-06-17,7.8431372549019605
2016-06-18,0.0
2016-06-19,11.76470588235294
2016-06-20,14.705882352941176
2016-06-21,9.80392156862745
2016-06-22,20.098039215686274
2016-06-23,33.33333333333333
2016-06-24,5.3921568627450975
2016-06-25,5.88235294117647
2016-06-26,5.88235294117647
2016-06-27,9.80392156862745
2016-06-28,10.294117647058822
2016-06-29,30.392156862745097
2016-06-30,23.03921568627451
2016-07-01,13.235294117647058
2016-07-02,24.019607843137255
2016-07-03,9.313725490196077
2016-07-04,13.235294117647058
2016-07-05,10.294117647058822
2016-07-06,28.92156862745098
2016-07-07,15.686274509803921
2016-07-08,24.019607843137255
2016-07-09,24.509803921568626
2016-07-10,8.823529411764705
2016-07-11,20.588235294117645
2016-07-12,32.35294117647059
2016-07-13,23.03921568627451
2016-07-14,49.01960784313725
2016-07-15,15.686274509803921
2016-07-16,12.254901960784313
2016-07-17,12.254901960784313
2016-07-18,15.196078431372548
2016-07-19,23.03921568627451
2016-07-20,23.03921568627451
2016-07-21,15.686274509803921
2016-07-22,24.019607843137255
2016-07-23,12.254901960784313
2016-07-24,12.254901960784313
2016-07-25,20.098039215686274
2016-07-26,15.196078431372548
2016-07-27,10.294117647058822
2016-07-28,15.686274509803921
2016-07-29,16.176470588235293
2016-07-30,12.254901960784313
2016-07-31,18.137254901960784
2016-08-01,27.941176470588236
2016-08-02,18.137254901960784
2016-08-03,10.294117647058822
2016-08-04,20.588235294117645
2016-08-05,10.784313725490195
2016-08-06,9.313725490196077
2016-08-07,15.196078431372548
2016-08-08,20.588235294117645
2016-08-09,15.196078431372548
2016-08-10,20.588235294117645
2016-08-11,20.588235294117645
2016-08-12,10.784313725490195
2016-08-13,18.137254901960784
2016-08-14,15.196078431372548
2016-08-15,18.627450980392155
2016-08-16,12.745098039215685
2016-08-17,25.49019607843137
2016-08-18,18.137254901960784
2016-08-19,5.3921568627450975
2016-08-20,5.88235294117647
2016-08-21,23.03921568627451
2016-08-22,25.0
2016-08-23,20.588235294117645
2016-08-24,15.196078431372548
2016-08-25,18.137254901960784
2016-08-26,13.235294117647058
2016-08-27,35.29411764705882
2016-08-28,23.52941176470588
2016-08-29,4.901960784313725
2016-08-30,14.705882352941176
2016-08-31,9.80392156862745
2016-09-01,22.549019607843135
2016-09-02,10.294117647058822
2016-09-03,11.76470588235294
2016-09-04,0.0
2016-09-05,15.196078431372548
2016-09-06,22.058823529411764
2016-09-07,19.6078431372549
2016-09-08,17.64705882352941
2016-09-09,15.196078431372548
2016-09-10,8.823529411764705
2016-09-11,17.15686274509804
2016-09-12,9.80392156862745
2016-09-13,12.254901960784313
2016-09-14,9.80392156862745
2016-09-15,17.64705882352941
2016-09-16,7.8431372549019605
2016-09-17,8.333333333333332
2016-09-18,11.274509803921568
2016-09-19,11.76470588235294
2016-09-20,11.76470588235294
2016-09-21,4.901960784313725
2016-09-22,19.6078431372549
2016-09-23,25.49019607843137
2016-09-24,5.88235294117647
2016-09-25,8.333333333333332
2016-09-26,19.11764705882353
2016-09-27,14.215686274509803
2016-09-28,16.666666666666664
2016-09-29,9.80392156862745
2016-09-30,23.03921568627451
2016-10-01,15.637254901960784
2016-10-02,14.362745098039216
2016-10-03,12.833333333333332
2016-10-04,5.431372549019608
2016-10-05,9.156862745098039
2016-10-06,11.401960784313726
2016-10-07,11.901960784313726
2016-10-08,11.666666666666666
2016-10-09,7.696078431372548
2016-10-10,5.6764705882352935
2016-10-11,16.509803921568626
2016-10-12,15.57843137254902
2016-10-13,21.009803921568626
2016-10-14,21.30392156862745
2016-10-15,5.196078431372548
2016-10-16,7.8921568627450975
2016-10-17,19.03921568627451
2016-10-18,9.156862745098039
2016-10-19,32.69607843137255
2016-10-20,30.03921568627451
2016-10-21,10.627450980392156
2016-10-22,11.666666666666666
2016-10-23,7.8921568627450975
2016-10-24,12.176470588235293
2016-10-25,6.656862745098039
2016-10-26,24.764705882352942
2016-10-27,17.333333333333332
2016-10-28,20.029411764705884
2016-10-29,9.166666666666666
2016-10-30,6.666666666666666
2016-10-31,11.852941176470587
2016-11-01,26.980392156862745
2016-11-02,13.0
2016-11-03,13.0
