date,trump impeachment
2016-05-01,0.0
2016-05-02,0.16654144753318306
2016-05-03,0.08327072376659153
2016-05-04,0.10706235912847485
2016-05-05,0.10706235912847485
2016-05-06,0.11895817680941649
2016-05-07,0.0951665414475332
2016-05-08,0.0951665414475332
2016-05-09,0.2141247182569497
2016-05-10,0.2141247182569497
2016-05-11,0.13085399449035814
2016-05-12,0.3330828950663661
2016-05-13,0.1427498121712998
2016-05-14,0.13085399449035814
2016-05-15,0.059479088404708245
2016-05-16,0.08327072376659153
2016-05-17,0.10706235912847485
2016-05-18,0.10706235912847485
2016-05-19,0.16654144753318306
2016-05-20,0.059479088404708245
2016-05-21,0.0
2016-05-22,0.13085399449035814
2016-05-23,0.08327072376659153
2016-05-24,0.059479088404708245
2016-05-25,0.13085399449035814
2016-05-26,0.059479088404708245
2016-05-27,0.059479088404708245
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.059479088404708245
2016-06-01,0.059479088404708245
2016-06-02,0.10706235912847485
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.059479088404708245
2016-06-06,0.16654144753318306
2016-06-07,0.10706235912847485
2016-06-08,0.16654144753318306
2016-06-09,0.059479088404708245
2016-06-10,0.059479088404708245
2016-06-11,0.1903330828950664
2016-06-12,0.059479088404708245
2016-06-13,0.059479088404708245
2016-06-14,0.0
2016-06-15,0.10706235912847485
2016-06-16,0.16654144753318306
2016-06-17,0.11895817680941649
2016-06-18,0.0713749060856499
2016-06-19,0.13085399449035814
2016-06-20,0.059479088404708245
2016-06-21,0.059479088404708245
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,0.059479088404708245
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,0.059479088404708245
2016-06-28,0.059479088404708245
2016-06-29,0.059479088404708245
2016-06-30,0.059479088404708245
2016-07-01,0.059479088404708245
2016-07-02,0.0713749060856499
2016-07-03,0.0
2016-07-04,0.059479088404708245
2016-07-05,0.059479088404708245
2016-07-06,0.059479088404708245
2016-07-07,0.059479088404708245
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,0.059479088404708245
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,0.059479088404708245
2016-07-14,0.059479088404708245
2016-07-15,0.0
2016-07-16,0.0713749060856499
2016-07-17,0.0713749060856499
2016-07-18,0.0
2016-07-19,0.059479088404708245
2016-07-20,0.10706235912847485
2016-07-21,0.16654144753318306
2016-07-22,0.059479088404708245
2016-07-23,0.0713749060856499
2016-07-24,0.13085399449035814
2016-07-25,0.08327072376659153
2016-07-26,0.059479088404708245
2016-07-27,0.1427498121712998
2016-07-28,0.1427498121712998
2016-07-29,0.059479088404708245
2016-07-30,0.13085399449035814
2016-07-31,0.13085399449035814
2016-08-01,0.10706235912847485
2016-08-02,0.059479088404708245
2016-08-03,0.16654144753318306
2016-08-04,0.10706235912847485
2016-08-05,0.0
2016-08-06,0.0713749060856499
2016-08-07,0.0
2016-08-08,0.0
2016-08-09,0.08327072376659153
2016-08-10,0.08327072376659153
2016-08-11,0.11895817680941649
2016-08-12,0.059479088404708245
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,0.0
2016-08-16,0.059479088404708245
2016-08-17,0.0
2016-08-18,0.059479088404708245
2016-08-19,0.0
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,0.0
2016-08-23,0.059479088404708245
2016-08-24,0.059479088404708245
2016-08-25,0.059479088404708245
2016-08-26,0.059479088404708245
2016-08-27,0.0
2016-08-28,0.059479088404708245
2016-08-29,0.16654144753318306
2016-08-30,0.059479088404708245
2016-08-31,0.2141247182569497
2016-09-01,0.10706235912847485
2016-09-02,0.059479088404708245
2016-09-03,0.13085399449035814
2016-09-04,0.13085399449035814
2016-09-05,0.10706235912847485
2016-09-06,0.0
2016-09-07,0.10706235912847485
2016-09-08,0.059479088404708245
2016-09-09,0.1427498121712998
2016-09-10,0.13085399449035814
2016-09-11,0.059479088404708245
2016-09-12,0.0
2016-09-13,0.0475832707237666
2016-09-14,0.059479088404708245
2016-09-15,0.10706235912847485
2016-09-16,0.08327072376659153
2016-09-17,0.059479088404708245
2016-09-18,0.059479088404708245
2016-09-19,0.0475832707237666
2016-09-20,0.0
2016-09-21,0.15464562985224142
2016-09-22,0.16654144753318306
2016-09-23,0.059479088404708245
2016-09-24,0.0951665414475332
2016-09-25,0.11895817680941649
2016-09-26,0.08327072376659153
2016-09-27,0.13085399449035814
2016-09-28,0.08327072376659153
2016-09-29,0.08327072376659153
2016-09-30,0.3330828950663661
2016-10-01,0.272351615326822
2016-10-02,0.041635361883295766
2016-10-03,0.06542699724517907
2016-10-04,0.0237916353618833
2016-10-05,0.0237916353618833
2016-10-06,0.0237916353618833
2016-10-07,0.10706235912847485
2016-10-08,0.3496744302529427
2016-10-09,0.49711995992987734
2016-10-10,1.0906586526421238
2016-10-11,0.3199348860505885
2016-10-12,0.0951665414475332
2016-10-13,0.272351615326822
2016-10-14,0.3139869772101177
2016-10-15,0.2426120711244678
2016-10-16,0.3139869772101177
2016-10-17,0.21882043576258456
2016-10-18,0.06542699724517907
2016-10-19,0.0237916353618833
2016-10-20,0.21882043576258456
2016-10-21,0.21882043576258456
2016-10-22,0.059479088404708245
2016-10-23,0.029739544202354123
2016-10-24,0.053531179564237426
2016-10-25,0.053531179564237426
2016-10-26,0.2307162534435262
2016-10-27,0.0237916353618833
2016-10-28,0.06542699724517907
2016-10-29,0.3020911595291761
2016-10-30,0.07732281492612071
2016-10-31,0.272351615326822
2016-11-01,0.3139869772101177
