date,dossier
2016-05-01,21.65939329430548
2016-05-02,34.82490686535391
2016-05-03,32.2767429483768
2016-05-04,28.02980308674827
2016-05-05,22.93347525279404
2016-05-06,22.508781266631186
2016-05-07,18.686535391165513
2016-05-08,21.65939329430548
2016-05-09,34.40021287919106
2016-05-10,33.1261309207025
2016-05-11,32.70143693453965
2016-05-12,31.002660989888238
2016-05-13,28.02980308674827
2016-05-14,19.960617349654072
2016-05-15,18.686535391165513
2016-05-16,25.056945183608303
2016-05-17,31.852048962213946
2016-05-18,32.2767429483768
2016-05-19,31.002660989888238
2016-05-20,25.906333155934007
2016-05-21,17.83714741883981
2016-05-22,23.782863225119744
2016-05-23,31.002660989888238
2016-05-24,32.2767429483768
2016-05-25,31.002660989888238
2016-05-26,30.577967003725387
2016-05-27,27.180415114422566
2016-05-28,17.412453432676955
2016-05-29,21.65939329430548
2016-05-30,34.40021287919106
2016-05-31,31.852048962213946
2016-06-01,29.30388504523683
2016-06-02,27.180415114422566
2016-06-03,24.63225119744545
2016-06-04,18.686535391165513
2016-06-05,18.686535391165513
2016-06-06,30.153273017562533
2016-06-07,28.02980308674827
2016-06-08,28.879191059073975
2016-06-09,26.75572112825971
2016-06-10,24.207557211282598
2016-06-11,16.987759446514104
2016-06-12,19.960617349654072
2016-06-13,30.577967003725387
2016-06-14,29.30388504523683
2016-06-15,28.454497072911124
2016-06-16,27.60510910058542
2016-06-17,25.056945183608303
2016-06-18,16.56306546035125
2016-06-19,17.412453432676955
2016-06-20,28.879191059073975
2016-06-21,31.42735497605109
2016-06-22,26.33102714209686
2016-06-23,25.906333155934007
2016-06-24,23.358169238956894
2016-06-25,16.1383714741884
2016-06-26,16.56306546035125
2016-06-27,29.728579031399683
2016-06-28,29.30388504523683
2016-06-29,27.60510910058542
2016-06-30,28.454497072911124
2016-07-01,22.93347525279404
2016-07-02,16.1383714741884
2016-07-03,18.261841405002663
2016-07-04,29.728579031399683
2016-07-05,29.728579031399683
2016-07-06,28.454497072911124
2016-07-07,26.75572112825971
2016-07-08,24.63225119744545
2016-07-09,16.987759446514104
2016-07-10,14.864289515699841
2016-07-11,28.879191059073975
2016-07-12,28.454497072911124
2016-07-13,26.33102714209686
2016-07-14,19.535923363491218
2016-07-15,20.385311335816922
2016-07-16,14.864289515699841
2016-07-17,14.439595529536987
2016-07-18,27.180415114422566
2016-07-19,26.75572112825971
2016-07-20,28.454497072911124
2016-07-21,25.481639169771157
2016-07-22,23.358169238956894
2016-07-23,14.864289515699841
2016-07-24,16.1383714741884
2016-07-25,27.180415114422566
2016-07-26,25.906333155934007
2016-07-27,23.358169238956894
2016-07-28,24.63225119744545
2016-07-29,22.93347525279404
2016-07-30,15.713677488025546
2016-07-31,14.864289515699841
2016-08-01,25.056945183608303
2016-08-02,28.02980308674827
2016-08-03,24.207557211282598
2016-08-04,22.93347525279404
2016-08-05,21.23469930814263
2016-08-06,14.439595529536987
2016-08-07,14.864289515699841
2016-08-08,22.508781266631186
2016-08-09,22.93347525279404
2016-08-10,22.508781266631186
2016-08-11,22.508781266631186
2016-08-12,19.535923363491218
2016-08-13,12.316125598722724
2016-08-14,14.439595529536987
2016-08-15,18.261841405002663
2016-08-16,23.782863225119744
2016-08-17,23.358169238956894
2016-08-18,22.93347525279404
2016-08-19,21.65939329430548
2016-08-20,16.1383714741884
2016-08-21,16.987759446514104
2016-08-22,25.906333155934007
2016-08-23,25.481639169771157
2016-08-24,23.358169238956894
2016-08-25,25.906333155934007
2016-08-26,24.207557211282598
2016-08-27,16.1383714741884
2016-08-28,18.261841405002663
2016-08-29,29.728579031399683
2016-08-30,28.454497072911124
2016-08-31,27.60510910058542
2016-09-01,28.454497072911124
2016-09-02,25.481639169771157
2016-09-03,16.56306546035125
2016-09-04,21.23469930814263
2016-09-05,29.728579031399683
2016-09-06,31.852048962213946
2016-09-07,29.728579031399683
2016-09-08,30.153273017562533
2016-09-09,26.33102714209686
2016-09-10,17.83714741883981
2016-09-11,18.261841405002663
2016-09-12,28.454497072911124
2016-09-13,28.879191059073975
2016-09-14,31.852048962213946
2016-09-15,29.30388504523683
2016-09-16,27.180415114422566
2016-09-17,18.686535391165513
2016-09-18,19.111229377328367
2016-09-19,30.577967003725387
2016-09-20,29.30388504523683
2016-09-21,28.02980308674827
2016-09-22,29.728579031399683
2016-09-23,27.180415114422566
2016-09-24,16.56306546035125
2016-09-25,21.65939329430548
2016-09-26,28.879191059073975
2016-09-27,29.728579031399683
2016-09-28,33.1261309207025
2016-09-29,42.46939861628526
2016-09-30,33.55082490686535
2016-10-01,23.179084619478445
2016-10-02,24.179084619478445
2016-10-03,31.713677488025546
2016-10-04,30.788983501862695
2016-10-05,30.076636508781267
2016-10-06,28.514901543374137
2016-10-07,25.953166577967004
2016-10-08,17.843267695582757
2016-10-09,19.76796168174561
2016-10-10,28.076636508781267
2016-10-11,29.86428951569984
2016-10-12,29.36428951569984
2016-10-13,28.651942522618413
2016-10-14,25.953166577967004
2016-10-15,16.706226716338477
2016-10-16,19.555614688664186
2016-10-17,29.151942522618413
2016-10-18,30.36428951569984
2016-10-19,30.36428951569984
2016-10-20,28.090207557211283
2016-10-21,25.953166577967004
2016-10-22,17.63092070250133
2016-10-23,18.418573709419903
2016-10-24,27.80255455029271
2016-10-25,27.514901543374137
2016-10-26,26.453166577967004
2016-10-27,25.66551357104843
2016-10-28,23.39143161255987
2016-10-29,15.644491750931348
2016-10-30,17.206226716338477
2016-10-31,23.46673762639702
2016-11-01,20.69265566790846
2016-11-02,28.0
