date,donald trump intelligence
2016-11-30,3.0
2016-12-01,2.0
2016-12-02,8.0
2016-12-03,3.0
2016-12-04,2.0
2016-12-05,4.0
2016-12-06,15.0
2016-12-07,11.0
2016-12-08,4.0
2016-12-09,5.0
2016-12-10,8.0
2016-12-11,13.0
2016-12-12,24.0
2016-12-13,25.0
2016-12-14,8.0
2016-12-15,4.0
2016-12-16,2.0
2016-12-17,2.0
2016-12-18,5.0
2016-12-19,7.0
2016-12-20,2.0
2016-12-21,2.0
2016-12-22,4.0
2016-12-23,3.0
2016-12-24,8.0
2016-12-25,5.0
2016-12-26,2.0
2016-12-27,4.0
2016-12-28,7.0
2016-12-29,3.0
2016-12-30,6.0
2016-12-31,4.0
2017-01-01,10.0
2017-01-02,14.0
2017-01-03,4.0
2017-01-04,8.0
2017-01-05,20.0
2017-01-06,33.0
2017-01-07,40.0
2017-01-08,11.0
2017-01-09,8.0
2017-01-10,10.0
2017-01-11,83.0
2017-01-12,41.0
2017-01-13,18.0
2017-01-14,8.0
2017-01-15,10.0
2017-01-16,7.0
2017-01-17,9.0
2017-01-18,7.0
2017-01-19,6.0
2017-01-20,8.0
2017-01-21,9.0
2017-01-22,13.0
2017-01-23,10.0
2017-01-24,2.0
2017-01-25,4.0
2017-01-26,6.0
2017-01-27,4.0
2017-01-28,3.0
2017-01-29,22.0
2017-01-30,8.0
2017-01-31,6.0
2017-02-01,7.0
2017-02-02,6.0
2017-02-03,8.0
2017-02-04,7.0
2017-02-05,2.0
2017-02-06,6.0
2017-02-07,4.0
2017-02-08,10.0
2017-02-09,3.0
2017-02-10,4.0
2017-02-11,7.0
2017-02-12,4.0
2017-02-13,3.0
2017-02-14,5.0
2017-02-15,30.0
2017-02-16,100.0
2017-02-17,14.0
2017-02-18,9.0
2017-02-19,7.0
2017-02-20,6.0
2017-02-21,5.0
2017-02-22,4.0
2017-02-23,8.0
2017-02-24,3.0
2017-02-25,11.0
2017-02-26,4.0
2017-02-27,4.0
2017-02-28,3.0
2017-03-01,3.926405325443787
2017-03-02,2.434541420118343
2017-03-03,3.967455621301775
2017-03-04,2.5821005917159763
2017-03-05,3.5821005917159763
2017-03-06,1.934541420118343
2017-03-07,2.869082840236686
2017-03-08,4.918269230769231
2017-03-09,4.918269230769231
2017-03-10,1.9837278106508875
2017-03-11,3.1231508875739644
2017-03-12,2.5821005917159763
2017-03-13,5.738165680473372
2017-03-14,5.3609467455621305
2017-03-15,4.852810650887574
2017-03-16,2.426405325443787
2017-03-17,4.984097633136095
2017-03-18,1.0821005917159763
2017-03-19,3.6231508875739644
2017-03-20,7.771079881656805
2017-03-21,6.2954881656804735
2017-03-22,5.3609467455621305
2017-03-23,5.410133136094675
2017-03-24,4.049556213017752
2017-03-25,5.262573964497042
2017-03-26,3.631286982248521
2017-03-27,3.426405325443787
2017-03-28,3.426405325443787
2017-03-29,6.410133136094675
2017-03-30,7.418639053254438
2017-03-31,4.016642011834319
2017-04-01,3.631286982248521
2017-04-02,0.0
2017-04-03,1.967455621301775
2017-04-04,0.0
2017-04-05,1.8690828402366864
2017-04-06,2.951183431952663
2017-04-07,2.065828402366864
2017-04-08,0.0
2017-04-09,2.3609467455621305
2017-04-10,1.967455621301775
2017-04-11,2.951183431952663
2017-04-12,1.967455621301775
2017-04-13,3.0495562130177514
2017-04-14,2.2625739644970415
2017-04-15,2.3609467455621305
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,1.967455621301775
2017-04-20,1.967455621301775
2017-04-21,2.065828402366864
2017-04-22,6.787721893491124
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,1.967455621301775
2017-04-26,1.8690828402366864
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,2.3609467455621305
2017-05-01,2.065828402366864
2017-05-02,1.8690828402366864
2017-05-03,5.705621301775148
2017-05-04,0.0
2017-05-05,1.967455621301775
2017-05-06,0.0
2017-05-07,2.2625739644970415
2017-05-08,1.967455621301775
2017-05-09,1.8690828402366864
2017-05-10,3.8365384615384617
2017-05-11,5.803994082840237
2017-05-12,1.967455621301775
2017-05-13,2.2625739644970415
2017-05-14,4.6235207100591715
2017-05-15,3.8365384615384617
2017-05-16,8.65680473372781
2017-05-17,6.787721893491124
2017-05-18,3.8365384615384617
2017-05-19,7.96819526627219
2017-05-20,0.0
2017-05-21,3.4430473372781067
2017-05-22,3.8365384615384617
2017-05-23,4.820266272189349
2017-05-24,1.967455621301775
2017-05-25,2.065828402366864
2017-05-26,2.1642011834319526
2017-05-27,2.3609467455621305
2017-05-28,2.3609467455621305
2017-05-29,2.065828402366864
2017-05-30,2.951183431952663
2017-05-31,0.0
2017-06-01,0.0
2017-06-02,0.0
2017-06-03,0.0
