date,obama impeachment
2016-12-15,5.023923444976077
2016-12-16,3.349282296650718
2016-12-17,5.8612440191387565
2016-12-18,4.186602870813397
2016-12-19,6.698564593301436
2016-12-20,6.698564593301436
2016-12-21,9.210526315789474
2016-12-22,9.210526315789474
2016-12-23,5.8612440191387565
2016-12-24,6.698564593301436
2016-12-25,6.698564593301436
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,10.885167464114833
2016-12-29,9.210526315789474
2016-12-30,5.8612440191387565
2016-12-31,10.047846889952154
2017-01-01,8.373205741626794
2017-01-02,10.885167464114833
2017-01-03,13.397129186602871
2017-01-04,6.698564593301436
2017-01-05,3.349282296650718
2017-01-06,14.234449760765552
2017-01-07,4.186602870813397
2017-01-08,5.8612440191387565
2017-01-09,6.698564593301436
2017-01-10,5.023923444976077
2017-01-11,27.63157894736842
2017-01-12,10.047846889952154
2017-01-13,11.722488038277513
2017-01-14,10.885167464114833
2017-01-15,9.210526315789474
2017-01-16,10.047846889952154
2017-01-17,8.373205741626794
2017-01-18,8.373205741626794
2017-01-19,11.722488038277513
2017-01-20,42.70334928229665
2017-01-21,46.88995215311005
2017-01-22,59.449760765550245
2017-01-23,12.559808612440191
2017-01-24,14.234449760765552
2017-01-25,14.234449760765552
2017-01-26,16.74641148325359
2017-01-27,6.698564593301436
2017-01-28,9.210526315789474
2017-01-29,35.16746411483254
2017-01-30,43.54066985645933
2017-01-31,57.77511961722488
2017-02-01,25.956937799043065
2017-02-02,19.258373205741627
2017-02-03,10.047846889952154
2017-02-04,16.74641148325359
2017-02-05,9.210526315789474
2017-02-06,12.559808612440191
2017-02-07,20.933014354066987
2017-02-08,12.559808612440191
2017-02-09,6.698564593301436
2017-02-10,13.397129186602871
2017-02-11,10.885167464114833
2017-02-12,12.559808612440191
2017-02-13,15.90909090909091
2017-02-14,10.047846889952154
2017-02-15,19.258373205741627
2017-02-16,20.933014354066987
2017-02-17,16.74641148325359
2017-02-18,15.07177033492823
2017-02-19,7.535885167464115
2017-02-20,5.023923444976077
2017-02-21,7.535885167464115
2017-02-22,8.373205741626794
2017-02-23,3.349282296650718
2017-02-24,26.794258373205743
2017-02-25,15.07177033492823
2017-02-26,16.74641148325359
2017-02-27,8.373205741626794
2017-02-28,11.722488038277513
2017-03-01,7.2927920975459175
2017-03-02,10.223414107115296
2017-03-03,20.31177650872048
2017-03-04,21.054560889026085
2017-03-05,21.446210835005402
2017-03-06,17.273113134743014
2017-03-07,10.723105417502701
2017-03-08,19.568992128414877
2017-03-09,16.651875289396514
2017-03-10,17.08404074702886
2017-03-11,5.726192313628646
2017-03-12,8.116607501157587
2017-03-13,4.159592529711375
2017-03-14,9.359083191850594
2017-03-15,12.492282759685136
2017-03-16,11.033724340175953
2017-03-17,11.54692082111437
2017-03-18,7.3062972680969285
2017-03-19,7.400833461954005
2017-03-20,7.090214539280753
2017-03-21,21.810850439882696
2017-03-22,10.723105417502701
2017-03-23,11.236301898441118
2017-03-24,11.54692082111437
2017-03-25,11.357848433400216
2017-03-26,10.196403766013272
2017-03-27,6.455471523383238
2017-03-28,13.086510263929618
2017-03-29,6.455471523383238
2017-03-30,3.227735761691619
2017-03-31,8.31918505942275
2017-04-01,5.63165611977157
2017-04-02,18.63713536039512
2017-04-03,6.212378453465041
2017-04-04,22.364562432474145
2017-04-05,8.076091989504553
2017-04-06,11.182281216237072
2017-04-07,16.77342182435561
2017-04-08,9.31856768019756
2017-04-09,3.727427072079024
2017-04-10,6.212378453465041
2017-04-11,6.8336162988115445
2017-04-12,3.1061892267325204
2017-04-13,3.1061892267325204
2017-04-14,7.454854144158048
2017-04-15,3.727427072079024
2017-04-16,3.727427072079024
2017-04-17,3.727427072079024
2017-04-18,4.9699027627720325
2017-04-19,4.9699027627720325
2017-04-20,4.9699027627720325
2017-04-21,6.8336162988115445
2017-04-22,11.182281216237072
2017-04-23,0.0
2017-04-24,6.212378453465041
2017-04-25,3.1061892267325204
2017-04-26,6.212378453465041
2017-04-27,3.1061892267325204
2017-04-28,3.1061892267325204
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,6.8336162988115445
2017-05-02,0.0
2017-05-03,3.1061892267325204
2017-05-04,3.1061892267325204
2017-05-05,0.0
2017-05-06,5.591140608118536
2017-05-07,3.727427072079024
2017-05-08,3.1061892267325204
2017-05-09,4.9699027627720325
2017-05-10,20.500848896434633
2017-05-11,6.212378453465041
2017-05-12,4.9699027627720325
2017-05-13,13.045994752276584
2017-05-14,14.909708288316097
2017-05-15,3.1061892267325204
2017-05-16,22.364562432474145
2017-05-17,62.123784534650405
2017-05-18,51.56274116375984
2017-05-19,39.75922210217626
2017-05-20,26.713227349899675
2017-05-21,19.258373205741627
2017-05-22,14.288470442969594
2017-05-23,11.182281216237072
2017-05-24,6.212378453465041
2017-05-25,6.8336162988115445
2017-05-26,10.56104337089057
2017-05-27,3.727427072079024
2017-05-28,3.727427072079024
2017-05-29,3.1061892267325204
2017-05-30,9.939805525544065
2017-05-31,6.212378453465041
2017-06-01,6.8336162988115445
2017-06-02,15.530946133662601
2017-06-03,3.727427072079024
