date,donald trump mafia
2016-05-01,0.0
2016-05-02,20.0
2016-05-03,20.0
2016-05-04,30.0
2016-05-05,0.0
2016-05-06,11.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,10.0
2016-05-10,19.0
2016-05-11,29.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,12.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,29.0
2016-05-18,20.0
2016-05-19,10.0
2016-05-20,21.0
2016-05-21,12.0
2016-05-22,0.0
2016-05-23,39.0
2016-05-24,10.0
2016-05-25,10.0
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,23.0
2016-05-29,23.0
2016-05-30,10.0
2016-05-31,10.0
2016-06-01,30.0
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,12.0
2016-06-06,10.0
2016-06-07,0.0
2016-06-08,0.0
2016-06-09,10.0
2016-06-10,0.0
2016-06-11,0.0
2016-06-12,23.0
2016-06-13,10.0
2016-06-14,29.0
2016-06-15,0.0
2016-06-16,30.0
2016-06-17,10.0
2016-06-18,24.0
2016-06-19,0.0
2016-06-20,10.0
2016-06-21,10.0
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,12.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,11.0
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,42.0
2016-07-07,10.0
2016-07-08,11.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,10.0
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,0.0
2016-07-16,12.0
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,10.0
2016-07-20,0.0
2016-07-21,31.0
2016-07-22,11.0
2016-07-23,48.0
2016-07-24,0.0
2016-07-25,20.0
2016-07-26,20.0
2016-07-27,20.0
2016-07-28,31.0
2016-07-29,21.0
2016-07-30,0.0
2016-07-31,24.0
2016-08-01,10.0
2016-08-02,20.0
2016-08-03,10.0
2016-08-04,10.0
2016-08-05,32.0
2016-08-06,12.0
2016-08-07,0.0
2016-08-08,0.0
2016-08-09,20.0
2016-08-10,0.0
2016-08-11,10.0
2016-08-12,0.0
2016-08-13,24.0
2016-08-14,12.0
2016-08-15,11.0
2016-08-16,31.0
2016-08-17,10.0
2016-08-18,0.0
2016-08-19,21.0
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,10.0
2016-08-23,10.0
2016-08-24,10.0
2016-08-25,31.0
2016-08-26,10.0
2016-08-27,24.0
2016-08-28,0.0
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,19.0
2016-09-01,20.0
2016-09-02,10.0
2016-09-03,0.0
2016-09-04,12.0
2016-09-05,0.0
2016-09-06,0.0
2016-09-07,10.0
2016-09-08,10.0
2016-09-09,0.0
2016-09-10,0.0
2016-09-11,11.0
2016-09-12,20.0
2016-09-13,0.0
2016-09-14,10.0
2016-09-15,10.0
2016-09-16,10.0
2016-09-17,23.0
2016-09-18,33.0
2016-09-19,0.0
2016-09-20,0.0
2016-09-21,10.0
2016-09-22,10.0
2016-09-23,10.0
2016-09-24,11.0
2016-09-25,11.0
2016-09-26,10.0
2016-09-27,28.0
2016-09-28,19.0
2016-09-29,10.0
2016-09-30,30.0
2016-10-01,8.29277566539924
2016-10-02,23.832065906210392
2016-10-03,13.185678073510774
2016-10-04,11.4106463878327
2016-10-05,16.93916349809886
2016-10-06,18.253485424588085
2016-10-07,26.653358681875794
2016-10-08,76.72116603295311
2016-10-09,58.85678073510773
2016-10-10,37.535487959442335
2016-10-11,66.91761723700887
2016-10-12,41.939163498098864
2016-10-13,32.535487959442335
2016-10-14,20.55703422053232
2016-10-15,26.635614702154626
2016-10-16,21.135614702154626
2016-10-17,14.635614702154626
2016-10-18,18.253485424588085
2016-10-19,14.567807351077313
2016-10-20,26.43916349809886
2016-10-21,13.753485424588087
2016-10-22,5.989226869455006
2016-10-23,9.64638783269962
2016-10-24,0.0
2016-10-25,6.9106463878327
2016-10-26,7.724968314321927
2016-10-27,13.253485424588087
2016-10-28,7.3713561470215465
2016-10-29,28.93916349809886
2016-10-30,20.64638783269962
2016-10-31,12.371356147021547
2016-11-01,25.09632446134347
2016-11-02,17.506970849176174
2016-11-03,20.271229404309253
2016-11-04,17.506970849176174
2016-11-05,8.29277566539924
2016-11-06,23.03548795944233
2016-11-07,26.721166032953107
2016-11-08,44.22813688212928
2016-11-09,92.14195183776933
2016-11-10,58.97084917617237
2016-11-11,58.049429657794676
2016-11-12,23.956907477820025
2016-11-13,50.67807351077313
2016-11-14,34.09252217997465
2016-11-15,13.8212927756654
2016-11-16,20.271229404309253
2016-11-17,13.8212927756654
2016-11-18,7.3713561470215465
2016-11-19,20.271229404309253
2016-11-20,8.29277566539924
2016-11-21,13.8212927756654
2016-11-22,13.8212927756654
2016-11-23,13.8212927756654
2016-11-24,7.3713561470215465
2016-11-25,7.3713561470215465
2016-11-26,19.34980988593156
2016-11-27,0.0
2016-11-28,16.58555133079848
2016-11-29,12.899873257287707
2016-11-30,6.4499366286438535
2016-12-01,6.4499366286438535
2016-12-02,0.0
2016-12-03,8.29277566539924
2016-12-04,7.3713561470215465
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,10.135614702154626
2016-12-08,7.3713561470215465
2016-12-09,7.3713561470215465
2016-12-10,0.0
2016-12-11,8.29277566539924
2016-12-12,10.135614702154626
2016-12-13,20.271229404309253
2016-12-14,13.8212927756654
2016-12-15,6.4499366286438535
2016-12-16,7.3713561470215465
2016-12-17,8.29277566539924
2016-12-18,8.29277566539924
2016-12-19,20.271229404309253
2016-12-20,0.0
2016-12-21,7.3713561470215465
2016-12-22,7.3713561470215465
2016-12-23,11.978453738910012
2016-12-24,8.29277566539924
2016-12-25,9.214195183776933
2016-12-26,0.0
2016-12-27,7.3713561470215465
2016-12-28,7.3713561470215465
2016-12-29,11.05703422053232
2016-12-30,7.3713561470215465
2016-12-31,16.58555133079848
2017-01-01,0.0
2017-01-02,14.742712294043093
2017-01-03,6.4499366286438535
2017-01-04,16.58555133079848
2017-01-05,21.192648922686946
2017-01-06,13.8212927756654
2017-01-07,15.664131812420786
2017-01-08,0.0
2017-01-09,6.4499366286438535
2017-01-10,6.4499366286438535
2017-01-11,20.271229404309253
2017-01-12,12.899873257287707
2017-01-13,17.506970849176174
2017-01-14,7.3713561470215465
2017-01-15,11.05703422053232
2017-01-16,12.899873257287707
2017-01-17,6.4499366286438535
2017-01-18,12.899873257287707
2017-01-19,20.271229404309253
2017-01-20,17.506970849176174
2017-01-21,30.40684410646388
2017-01-22,14.742712294043093
2017-01-23,12.899873257287707
2017-01-24,6.4499366286438535
2017-01-25,12.899873257287707
2017-01-26,16.58555133079848
2017-01-27,10.135614702154626
2017-01-28,19.34980988593156
2017-01-29,11.05703422053232
2017-01-30,6.4499366286438535
2017-01-31,19.34980988593156
2017-02-01,12.899873257287707
2017-02-02,23.03548795944233
2017-02-03,20.271229404309253
2017-02-04,15.664131812420786
2017-02-05,11.05703422053232
2017-02-06,0.0
2017-02-07,19.34980988593156
2017-02-08,12.899873257287707
2017-02-09,6.4499366286438535
2017-02-10,13.8212927756654
2017-02-11,7.3713561470215465
2017-02-12,0.0
2017-02-13,6.4499366286438535
2017-02-14,6.4499366286438535
2017-02-15,10.135614702154626
2017-02-16,6.4499366286438535
2017-02-17,13.8212927756654
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,6.4499366286438535
2017-02-21,6.4499366286438535
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,6.4499366286438535
2017-02-25,7.3713561470215465
2017-02-26,7.3713561470215465
2017-02-27,13.8212927756654
2017-02-28,16.58555133079848
2017-03-01,10.684078701188968
2017-03-02,12.066207978755507
2017-03-03,2.8678832426102066
2017-03-04,3.226368647936482
2017-03-05,3.226368647936482
2017-03-06,2.748388107501448
2017-03-07,5.973356421823375
2017-03-08,3.2249683143219268
2017-03-09,6.092851556932134
2017-03-10,0.0
2017-03-11,6.912046721447256
2017-03-12,6.452737295872964
2017-03-13,12.066207978755507
2017-03-14,3.2249683143219268
2017-03-15,6.092851556932134
2017-03-16,5.973356421823375
2017-03-17,25.071106257134897
2017-03-18,6.912046721447256
2017-03-19,6.912046721447256
2017-03-20,6.4499366286438535
2017-03-21,3.2249683143219268
2017-03-22,2.748388107501448
2017-03-23,12.066207978755507
2017-03-24,6.673056451229739
2017-03-25,11.177929689255635
2017-03-26,3.6856780735107733
