date,weak
2016-05-01,68.6039603960396
2016-05-02,71.11386138613861
2016-05-03,73.62376237623762
2016-05-04,72.78712871287128
2016-05-05,71.11386138613861
2016-05-06,66.93069306930693
2016-05-07,64.42079207920791
2016-05-08,67.76732673267327
2016-05-09,71.11386138613861
2016-05-10,70.27722772277228
2016-05-11,71.95049504950495
2016-05-12,69.44059405940594
2016-05-13,66.0940594059406
2016-05-14,61.07425742574257
2016-05-15,64.42079207920791
2016-05-16,68.6039603960396
2016-05-17,65.25742574257426
2016-05-18,65.25742574257426
2016-05-19,72.78712871287128
2016-05-20,61.07425742574257
2016-05-21,59.400990099009896
2016-05-22,67.76732673267327
2016-05-23,71.95049504950495
2016-05-24,74.46039603960396
2016-05-25,64.42079207920791
2016-05-26,71.95049504950495
2016-05-27,66.93069306930693
2016-05-28,56.89108910891089
2016-05-29,59.400990099009896
2016-05-30,67.76732673267327
2016-05-31,70.27722772277228
2016-06-01,71.95049504950495
2016-06-02,65.25742574257426
2016-06-03,62.74752475247524
2016-06-04,63.58415841584158
2016-06-05,69.44059405940594
2016-06-06,67.76732673267327
2016-06-07,63.58415841584158
2016-06-08,65.25742574257426
2016-06-09,66.0940594059406
2016-06-10,63.58415841584158
2016-06-11,64.42079207920791
2016-06-12,63.58415841584158
2016-06-13,61.07425742574257
2016-06-14,63.58415841584158
2016-06-15,63.58415841584158
2016-06-16,63.58415841584158
2016-06-17,66.0940594059406
2016-06-18,64.42079207920791
2016-06-19,65.25742574257426
2016-06-20,65.25742574257426
2016-06-21,63.58415841584158
2016-06-22,61.07425742574257
2016-06-23,65.25742574257426
2016-06-24,65.25742574257426
2016-06-25,61.07425742574257
2016-06-26,62.74752475247524
2016-06-27,61.07425742574257
2016-06-28,61.07425742574257
2016-06-29,59.400990099009896
2016-06-30,61.07425742574257
2016-07-01,56.054455445544555
2016-07-02,58.56435643564356
2016-07-03,65.25742574257426
2016-07-04,63.58415841584158
2016-07-05,62.74752475247524
2016-07-06,64.42079207920791
2016-07-07,61.07425742574257
2016-07-08,61.91089108910891
2016-07-09,74.46039603960396
2016-07-10,66.0940594059406
2016-07-11,61.91089108910891
2016-07-12,70.27722772277228
2016-07-13,74.46039603960396
2016-07-14,72.78712871287128
2016-07-15,68.6039603960396
2016-07-16,66.93069306930693
2016-07-17,72.78712871287128
2016-07-18,76.97029702970296
2016-07-19,74.46039603960396
2016-07-20,72.78712871287128
2016-07-21,76.13366336633663
2016-07-22,72.78712871287128
2016-07-23,71.11386138613861
2016-07-24,78.64356435643565
2016-07-25,74.46039603960396
2016-07-26,71.95049504950495
2016-07-27,67.76732673267327
2016-07-28,76.13366336633663
2016-07-29,65.25742574257426
2016-07-30,76.13366336633663
2016-07-31,76.13366336633663
2016-08-01,71.95049504950495
2016-08-02,69.44059405940594
2016-08-03,72.78712871287128
2016-08-04,69.44059405940594
2016-08-05,61.91089108910891
2016-08-06,75.29702970297029
2016-08-07,76.97029702970296
2016-08-08,66.93069306930693
2016-08-09,63.58415841584158
2016-08-10,72.78712871287128
2016-08-11,71.95049504950495
2016-08-12,62.74752475247524
2016-08-13,74.46039603960396
2016-08-14,72.78712871287128
2016-08-15,71.11386138613861
2016-08-16,66.93069306930693
2016-08-17,69.44059405940594
2016-08-18,62.74752475247524
2016-08-19,69.44059405940594
2016-08-20,71.95049504950495
2016-08-21,76.13366336633663
2016-08-22,66.0940594059406
2016-08-23,70.27722772277228
2016-08-24,70.27722772277228
2016-08-25,66.0940594059406
2016-08-26,71.95049504950495
2016-08-27,70.27722772277228
2016-08-28,76.97029702970296
2016-08-29,68.6039603960396
2016-08-30,70.27722772277228
2016-08-31,68.6039603960396
2016-09-01,67.76732673267327
2016-09-02,68.6039603960396
2016-09-03,70.27722772277228
2016-09-04,75.29702970297029
2016-09-05,69.44059405940594
2016-09-06,67.76732673267327
2016-09-07,71.95049504950495
2016-09-08,76.97029702970296
2016-09-09,66.93069306930693
2016-09-10,63.58415841584158
2016-09-11,73.62376237623762
2016-09-12,81.15346534653465
2016-09-13,82.82673267326733
2016-09-14,78.64356435643565
2016-09-15,79.48019801980197
2016-09-16,69.44059405940594
2016-09-17,73.62376237623762
2016-09-18,72.78712871287128
2016-09-19,77.8069306930693
2016-09-20,81.15346534653465
2016-09-21,80.31683168316832
2016-09-22,78.64356435643565
2016-09-23,75.29702970297029
2016-09-24,72.78712871287128
2016-09-25,77.8069306930693
2016-09-26,76.13366336633663
2016-09-27,71.95049504950495
2016-09-28,74.46039603960396
2016-09-29,79.48019801980197
2016-09-30,70.27722772277228
2016-10-01,67.46534653465346
2016-10-02,71.3019801980198
2016-10-03,80.33168316831683
2016-10-04,77.64851485148515
2016-10-05,74.3118811881188
2016-10-06,76.73019801980197
2016-10-07,72.39356435643563
2016-10-08,70.22029702970298
2016-10-09,75.06683168316832
2016-10-10,77.15841584158416
2016-10-11,74.3118811881188
2016-10-12,79.82178217821783
2016-10-13,78.57673267326732
2016-10-14,74.56683168316832
2016-10-15,69.72029702970298
2016-10-16,74.3118811881188
2016-10-17,74.8118811881188
2016-10-18,78.40346534653466
2016-10-19,76.14851485148515
2016-10-20,75.40346534653466
2016-10-21,70.5569306930693
2016-10-22,67.54702970297029
2016-10-23,71.5569306930693
2016-10-24,75.06683168316832
2016-10-25,77.06683168316832
2016-10-26,79.65841584158416
2016-10-27,77.48514851485149
2016-10-28,68.38366336633663
2016-10-29,65.04702970297029
2016-10-30,68.38366336633663
2016-10-31,71.47524752475248
2016-11-01,75.06683168316832
2016-11-02,79.0
