date,rally
2016-05-01,58.568856885688575
2016-05-02,44.902790279027904
2016-05-03,39.045904590459045
2016-05-04,37.744374437443746
2016-05-05,39.6966696669667
2016-05-06,46.204320432043204
2016-05-07,65.07650765076508
2016-05-08,50.75967596759676
2016-05-09,39.045904590459045
2016-05-10,37.744374437443746
2016-05-11,36.442844284428446
2016-05-12,35.79207920792079
2016-05-13,38.3951395139514
2016-05-14,46.204320432043204
2016-05-15,43.601260126012605
2016-05-16,37.744374437443746
2016-05-17,37.0936093609361
2016-05-18,41.64896489648965
2016-05-19,44.902790279027904
2016-05-20,52.711971197119716
2016-05-21,56.61656165616562
2016-05-22,50.75967596759676
2016-05-23,36.442844284428446
2016-05-24,39.045904590459045
2016-05-25,50.75967596759676
2016-05-26,51.41044104410442
2016-05-27,48.80738073807381
2016-05-28,52.711971197119716
2016-05-29,46.204320432043204
2016-05-30,37.744374437443746
2016-05-31,37.0936093609361
2016-06-01,38.3951395139514
2016-06-02,39.6966696669667
2016-06-03,54.66426642664267
2016-06-04,61.82268226822683
2016-06-05,49.458145814581464
2016-06-06,39.045904590459045
2016-06-07,35.14131413141315
2016-06-08,35.79207920792079
2016-06-09,39.045904590459045
2016-06-10,46.85508550855086
2016-06-11,57.91809180918092
2016-06-12,47.50585058505851
2016-06-13,33.83978397839784
2016-06-14,35.14131413141315
2016-06-15,40.998199819982
2016-06-16,39.6966696669667
2016-06-17,46.204320432043204
2016-06-18,55.315031503150315
2016-06-19,48.15661566156616
2016-06-20,35.14131413141315
2016-06-21,33.18901890189019
2016-06-22,32.53825382538254
2016-06-23,31.23672367236724
2016-06-24,36.442844284428446
2016-06-25,42.95049504950495
2016-06-26,46.85508550855086
2016-06-27,37.0936093609361
2016-06-28,33.83978397839784
2016-06-29,33.83978397839784
2016-06-30,33.18901890189019
2016-07-01,34.49054905490549
2016-07-02,40.998199819982
2016-07-03,40.34743474347435
2016-07-04,32.53825382538254
2016-07-05,32.53825382538254
2016-07-06,31.88748874887489
2016-07-07,33.83978397839784
2016-07-08,45.55355535553556
2016-07-09,45.55355535553556
2016-07-10,40.34743474347435
2016-07-11,35.79207920792079
2016-07-12,35.14131413141315
2016-07-13,35.14131413141315
2016-07-14,33.18901890189019
2016-07-15,37.744374437443746
2016-07-16,42.299729972997305
2016-07-17,39.6966696669667
2016-07-18,32.53825382538254
2016-07-19,31.23672367236724
2016-07-20,29.284428442844288
2016-07-21,32.53825382538254
2016-07-22,36.442844284428446
2016-07-23,39.6966696669667
2016-07-24,36.442844284428446
2016-07-25,32.53825382538254
2016-07-26,32.53825382538254
2016-07-27,31.88748874887489
2016-07-28,35.79207920792079
2016-07-29,40.998199819982
2016-07-30,47.50585058505851
2016-07-31,45.55355535553556
2016-08-01,39.045904590459045
2016-08-02,39.045904590459045
2016-08-03,40.34743474347435
2016-08-04,42.95049504950495
2016-08-05,42.95049504950495
2016-08-06,43.601260126012605
2016-08-07,42.95049504950495
2016-08-08,35.14131413141315
2016-08-09,36.442844284428446
2016-08-10,39.045904590459045
2016-08-11,35.79207920792079
2016-08-12,39.045904590459045
2016-08-13,40.998199819982
2016-08-14,39.045904590459045
2016-08-15,33.83978397839784
2016-08-16,31.88748874887489
2016-08-17,31.23672367236724
2016-08-18,33.18901890189019
2016-08-19,39.6966696669667
2016-08-20,45.55355535553556
2016-08-21,61.82268226822683
2016-08-22,37.744374437443746
2016-08-23,35.14131413141315
2016-08-24,36.442844284428446
2016-08-25,36.442844284428446
2016-08-26,41.64896489648965
2016-08-27,44.902790279027904
2016-08-28,42.95049504950495
2016-08-29,36.442844284428446
2016-08-30,37.744374437443746
2016-08-31,39.045904590459045
2016-09-01,37.0936093609361
2016-09-02,39.6966696669667
2016-09-03,44.902790279027904
2016-09-04,42.95049504950495
2016-09-05,33.83978397839784
2016-09-06,35.14131413141315
2016-09-07,32.53825382538254
2016-09-08,35.79207920792079
2016-09-09,41.64896489648965
2016-09-10,50.10891089108911
2016-09-11,42.95049504950495
2016-09-12,36.442844284428446
2016-09-13,37.0936093609361
2016-09-14,35.79207920792079
2016-09-15,37.0936093609361
2016-09-16,43.601260126012605
2016-09-17,48.80738073807381
2016-09-18,45.55355535553556
2016-09-19,36.442844284428446
2016-09-20,34.49054905490549
2016-09-21,35.14131413141315
2016-09-22,37.0936093609361
2016-09-23,42.299729972997305
2016-09-24,51.41044104410442
2016-09-25,43.601260126012605
2016-09-26,33.83978397839784
2016-09-27,34.49054905490549
2016-09-28,39.045904590459045
2016-09-29,36.442844284428446
2016-09-30,43.601260126012605
2016-10-01,45.62601260126013
2016-10-02,42.8006300630063
2016-10-03,37.72142214221422
2016-10-04,35.896039603960396
2016-10-05,36.396039603960396
2016-10-06,37.697569756975696
2016-10-07,42.975247524752476
2016-10-08,45.92754275427543
2016-10-09,61.58595859585959
2016-10-10,45.6021602160216
2016-10-11,42.475247524752476
2016-10-12,46.1021602160216
2016-10-13,45.92754275427543
2016-10-14,53.00675067506751
2016-10-15,57.808280828082815
2016-10-16,51.054455445544555
2016-10-17,39.197569756975696
2016-10-18,39.02295229522952
2016-10-19,36.72142214221422
2016-10-20,52.355985598559855
2016-10-21,43.3006300630063
2016-10-22,48.578307830783075
2016-10-23,44.45139513951395
2016-10-24,40.173717371737176
2016-10-25,44.77677767776778
2016-10-26,41.82448244824482
2016-10-27,44.95139513951395
2016-10-28,48.078307830783075
2016-10-29,52.530603060306035
2016-10-30,52.355985598559855
2016-10-31,44.95139513951395
2016-11-01,44.12601260126013
2016-11-02,44.0
2016-11-03,51.0
