date,obama fool
2016-05-01,8.716981132075471
2016-05-02,0.0
2016-05-03,7.222641509433962
2016-05-04,7.222641509433962
2016-05-05,7.720754716981132
2016-05-06,7.720754716981132
2016-05-07,8.716981132075471
2016-05-08,8.716981132075471
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,8.716981132075471
2016-05-15,8.467924528301888
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,7.222641509433962
2016-05-19,7.471698113207547
2016-05-20,0.0
2016-05-21,8.716981132075471
2016-05-22,8.716981132075471
2016-05-23,7.222641509433962
2016-05-24,7.222641509433962
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,8.716981132075471
2016-05-29,8.716981132075471
2016-05-30,22.91320754716981
2016-05-31,0.0
2016-06-01,7.471698113207547
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,7.471698113207547
2016-06-07,7.222641509433962
2016-06-08,0.0
2016-06-09,0.0
2016-06-10,7.720754716981132
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,14.69433962264151
2016-06-14,7.471698113207547
2016-06-15,7.222641509433962
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,8.716981132075471
2016-06-20,14.69433962264151
2016-06-21,0.0
2016-06-22,7.222641509433962
2016-06-23,7.720754716981132
2016-06-24,7.720754716981132
2016-06-25,13.2
2016-06-26,8.716981132075471
2016-06-27,0.0
2016-06-28,7.471698113207547
2016-06-29,0.0
2016-06-30,7.720754716981132
2016-07-01,7.720754716981132
2016-07-02,0.0
2016-07-03,8.966037735849056
2016-07-04,7.969811320754717
2016-07-05,7.720754716981132
2016-07-06,0.0
2016-07-07,0.0
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,15.19245283018868
2016-07-14,0.0
2016-07-15,0.0
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,0.0
2016-07-20,7.720754716981132
2016-07-21,15.441509433962263
2016-07-22,7.720754716981132
2016-07-23,0.0
2016-07-24,0.0
2016-07-25,0.0
2016-07-26,7.720754716981132
2016-07-27,0.0
2016-07-28,0.0
2016-07-29,7.969811320754717
2016-07-30,8.966037735849056
2016-07-31,0.0
2016-08-01,7.471698113207547
2016-08-02,15.19245283018868
2016-08-03,7.720754716981132
2016-08-04,7.720754716981132
2016-08-05,7.969811320754717
2016-08-06,0.0
2016-08-07,0.0
2016-08-08,7.471698113207547
2016-08-09,0.0
2016-08-10,15.19245283018868
2016-08-11,7.720754716981132
2016-08-12,0.0
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,0.0
2016-08-16,0.0
2016-08-17,7.471698113207547
2016-08-18,0.0
2016-08-19,0.0
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,0.0
2016-08-23,7.471698113207547
2016-08-24,0.0
2016-08-25,0.0
2016-08-26,0.0
2016-08-27,0.0
2016-08-28,8.716981132075471
2016-08-29,0.0
2016-08-30,7.222641509433962
2016-08-31,7.471698113207547
2016-09-01,0.0
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,8.716981132075471
2016-09-05,0.0
2016-09-06,7.222641509433962
2016-09-07,0.0
2016-09-08,7.471698113207547
2016-09-09,7.471698113207547
2016-09-10,8.467924528301888
2016-09-11,0.0
2016-09-12,0.0
2016-09-13,7.222641509433962
2016-09-14,0.0
2016-09-15,14.943396226415095
2016-09-16,7.471698113207547
2016-09-17,0.0
2016-09-18,8.218867924528302
2016-09-19,0.0
2016-09-20,6.973584905660378
2016-09-21,0.0
2016-09-22,7.222641509433962
2016-09-23,0.0
2016-09-24,0.0
2016-09-25,24.90566037735849
2016-09-26,0.0
2016-09-27,0.0
2016-09-28,0.0
2016-09-29,7.222641509433962
2016-09-30,7.471698113207547
2016-10-01,4.109433962264151
2016-10-02,0.0
2016-10-03,0.0
2016-10-04,3.486792452830189
2016-10-05,3.611320754716981
2016-10-06,0.0
2016-10-07,13.111320754716981
2016-10-08,0.0
2016-10-09,4.109433962264151
2016-10-10,25.722641509433963
2016-10-11,0.0
2016-10-12,0.0
2016-10-13,9.0
2016-10-14,9.5
2016-10-15,0.0
2016-10-16,0.0
2016-10-17,3.486792452830189
2016-10-18,3.486792452830189
2016-10-19,3.486792452830189
2016-10-20,16.098113207547172
2016-10-21,3.611320754716981
2016-10-22,10.5
2016-10-23,0.0
2016-10-24,0.0
2016-10-25,6.849056603773585
2016-10-26,0.0
2016-10-27,0.0
2016-10-28,0.0
2016-10-29,4.109433962264151
2016-10-30,4.109433962264151
2016-10-31,0.0
2016-11-01,3.611320754716981
2016-11-02,0.0
2016-11-03,0.0
2016-11-04,19.0
2016-11-05,21.0
2016-11-06,0.0
2016-11-07,18.0
2016-11-08,0.0
2016-11-09,66.0
2016-11-10,54.0
2016-11-11,38.0
2016-11-12,21.0
2016-11-13,21.0
2016-11-14,18.0
2016-11-15,0.0
2016-11-16,0.0
2016-11-17,0.0
2016-11-18,0.0
2016-11-19,21.0
2016-11-20,0.0
2016-11-21,0.0
2016-11-22,35.0
2016-11-23,18.0
2016-11-24,0.0
2016-11-25,0.0
2016-11-26,0.0
2016-11-27,0.0
2016-11-28,0.0
2016-11-29,17.0
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,0.0
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,71.0
2016-12-08,55.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,18.0
2016-12-13,0.0
2016-12-14,18.0
2016-12-15,0.0
2016-12-16,19.0
2016-12-17,21.0
