date,obama nazi
2016-12-15,7.55193482688391
2016-12-16,7.9714867617107945
2016-12-17,5.873727087576375
2016-12-18,5.873727087576375
2016-12-19,7.55193482688391
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,5.454175152749491
2016-12-23,11.327902240325866
2016-12-24,0.0
2016-12-25,9.64969450101833
2016-12-26,5.873727087576375
2016-12-27,5.454175152749491
2016-12-28,13.425661914460285
2016-12-29,5.454175152749491
2016-12-30,16.782077393075355
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,5.454175152749491
2017-01-03,12.586558044806518
2017-01-04,12.586558044806518
2017-01-05,10.069246435845214
2017-01-06,10.488798370672098
2017-01-07,0.0
2017-01-08,5.454175152749491
2017-01-09,9.64969450101833
2017-01-10,17.20162932790224
2017-01-11,26.85132382892057
2017-01-12,19.718940936863543
2017-01-13,10.069246435845214
2017-01-14,14.264765784114052
2017-01-15,11.327902240325866
2017-01-16,12.167006109979633
2017-01-17,17.20162932790224
2017-01-18,12.167006109979633
2017-01-19,9.64969450101833
2017-01-20,34.82281059063136
2017-01-21,33.56415478615071
2017-01-22,22.236252545824847
2017-01-23,16.782077393075355
2017-01-24,19.29938900203666
2017-01-25,24.334012219959266
2017-01-26,14.684317718940937
2017-01-27,17.621181262729124
2017-01-28,14.264765784114052
2017-01-29,28.10997963340122
2017-01-30,24.334012219959266
2017-01-31,29.368635437881874
2017-02-01,14.684317718940937
2017-02-02,9.64969450101833
2017-02-03,10.069246435845214
2017-02-04,13.84521384928717
2017-02-05,16.362525458248474
2017-02-06,9.64969450101833
2017-02-07,7.132382892057026
2017-02-08,4.615071283095723
2017-02-09,17.20162932790224
2017-02-10,10.069246435845214
2017-02-11,11.327902240325866
2017-02-12,5.454175152749491
2017-02-13,14.264765784114052
2017-02-14,5.034623217922607
2017-02-15,9.64969450101833
2017-02-16,9.64969450101833
2017-02-17,0.0
2017-02-18,8.391038696537677
2017-02-19,5.454175152749491
2017-02-20,0.0
2017-02-21,12.167006109979633
2017-02-22,4.615071283095723
2017-02-23,9.64969450101833
2017-02-24,17.621181262729124
2017-02-25,11.327902240325866
2017-02-26,8.391038696537677
2017-02-27,9.64969450101833
2017-02-28,5.034623217922607
2017-03-01,7.7041083770157925
2017-03-02,7.800398985008847
2017-03-03,12.011393609562285
2017-03-04,10.365855897966679
2017-03-05,14.617258188374347
2017-03-06,29.94294013555474
2017-03-07,10.204225234549765
2017-03-08,5.1867967680544895
2017-03-09,10.221419985977096
2017-03-10,5.396572735467931
2017-03-11,5.9450853059998
2017-03-12,0.0
2017-03-13,10.775950719508531
2017-03-14,7.7041083770157925
2017-03-15,2.3075356415478616
2017-03-16,5.1867967680544895
2017-03-17,7.913884344429235
2017-03-18,13.583853627591735
2017-03-19,11.399260458749291
2017-03-20,11.632249340589631
2017-03-21,2.879261126506628
2017-03-22,6.541743180528196
2017-03-23,8.27583386197456
2017-03-24,5.5659410370271445
