date,obama event
2016-05-01,46.95346795434592
2016-05-02,30.184372256365233
2016-05-03,19.284460052677787
2016-05-04,34.376646180860405
2016-05-05,31.022827041264268
2016-05-06,31.8612818261633
2016-05-07,24.315188762071994
2016-05-08,11.73836698858648
2016-05-09,15.092186128182616
2016-05-10,15.092186128182616
2016-05-11,29.345917471466198
2016-05-12,10.061457418788411
2016-05-13,20.961369622475857
2016-05-14,11.73836698858648
2016-05-15,11.73836698858648
2016-05-16,10.061457418788411
2016-05-17,19.284460052677787
2016-05-18,10.061457418788411
2016-05-19,20.122914837576822
2016-05-20,0.0
2016-05-21,11.73836698858648
2016-05-22,0.0
2016-05-23,20.122914837576822
2016-05-24,20.122914837576822
2016-05-25,10.061457418788411
2016-05-26,10.061457418788411
2016-05-27,26.830553116769096
2016-05-28,36.053555750658475
2016-05-29,11.73836698858648
2016-05-30,10.061457418788411
2016-05-31,30.184372256365233
2016-06-01,20.122914837576822
2016-06-02,20.122914837576822
2016-06-03,20.961369622475857
2016-06-04,11.73836698858648
2016-06-05,29.345917471466198
2016-06-06,20.122914837576822
2016-06-07,20.122914837576822
2016-06-08,20.122914837576822
2016-06-09,31.022827041264268
2016-06-10,10.899912203687446
2016-06-11,0.0
2016-06-12,23.47673397717296
2016-06-13,20.122914837576822
2016-06-14,10.061457418788411
2016-06-15,20.122914837576822
2016-06-16,10.061457418788411
2016-06-17,20.961369622475857
2016-06-18,24.315188762071994
2016-06-19,11.73836698858648
2016-06-20,10.061457418788411
2016-06-21,10.061457418788411
2016-06-22,20.122914837576822
2016-06-23,0.0
2016-06-24,41.922739244951714
2016-06-25,11.73836698858648
2016-06-26,23.47673397717296
2016-06-27,10.061457418788411
2016-06-28,20.122914837576822
2016-06-29,20.122914837576822
2016-06-30,10.061457418788411
2016-07-01,31.8612818261633
2016-07-02,11.73836698858648
2016-07-03,12.576821773485513
2016-07-04,10.899912203687446
2016-07-05,57.01492537313433
2016-07-06,20.961369622475857
2016-07-07,15.93064091308165
2016-07-08,20.961369622475857
2016-07-09,11.73836698858648
2016-07-10,11.73836698858648
2016-07-11,10.061457418788411
2016-07-12,50.30728709394205
2016-07-13,0.0
2016-07-14,10.061457418788411
2016-07-15,15.93064091308165
2016-07-16,0.0
2016-07-17,24.315188762071994
2016-07-18,10.061457418788411
2016-07-19,20.961369622475857
2016-07-20,25.99209833187006
2016-07-21,10.061457418788411
2016-07-22,20.961369622475857
2016-07-23,36.053555750658475
2016-07-24,11.73836698858648
2016-07-25,20.122914837576822
2016-07-26,51.145741878841086
2016-07-27,15.092186128182616
2016-07-28,31.022827041264268
2016-07-29,37.73046532045654
2016-07-30,12.576821773485513
2016-07-31,11.73836698858648
2016-08-01,15.092186128182616
2016-08-02,20.961369622475857
2016-08-03,36.053555750658475
2016-08-04,20.961369622475857
2016-08-05,32.699736611062335
2016-08-06,0.0
2016-08-07,11.73836698858648
2016-08-08,15.092186128182616
2016-08-09,20.122914837576822
2016-08-10,0.0
2016-08-11,20.961369622475857
2016-08-12,26.830553116769096
2016-08-13,11.73836698858648
2016-08-14,18.44600526777875
2016-08-15,15.93064091308165
2016-08-16,10.061457418788411
2016-08-17,30.184372256365233
2016-08-18,15.092186128182616
2016-08-19,31.8612818261633
2016-08-20,17.60755048287972
2016-08-21,11.73836698858648
2016-08-22,25.153643546971026
2016-08-23,15.092186128182616
2016-08-24,10.061457418788411
2016-08-25,31.022827041264268
2016-08-26,15.93064091308165
2016-08-27,11.73836698858648
2016-08-28,17.60755048287972
2016-08-29,19.284460052677787
2016-08-30,15.092186128182616
2016-08-31,20.122914837576822
2016-09-01,10.061457418788411
2016-09-02,10.061457418788411
2016-09-03,11.73836698858648
2016-09-04,0.0
2016-09-05,20.122914837576822
2016-09-06,15.092186128182616
2016-09-07,15.092186128182616
2016-09-08,10.061457418788411
2016-09-09,20.122914837576822
2016-09-10,46.11501316944688
2016-09-11,0.0
2016-09-12,34.376646180860405
2016-09-13,53.66110623353819
2016-09-14,10.061457418788411
2016-09-15,20.122914837576822
2016-09-16,41.08428446005268
2016-09-17,28.507462686567166
2016-09-18,27.66900790166813
2016-09-19,9.223002633889376
2016-09-20,9.223002633889376
2016-09-21,57.85338015803336
2016-09-22,24.315188762071994
2016-09-23,25.99209833187006
2016-09-24,11.73836698858648
2016-09-25,10.899912203687446
2016-09-26,24.315188762071994
2016-09-27,28.507462686567166
2016-09-28,24.315188762071994
2016-09-29,19.284460052677787
2016-09-30,25.153643546971026
2016-10-01,22.319139596136964
2016-10-02,7.965320456540825
2016-10-03,21.12686567164179
2016-10-04,20.738366988586478
2016-10-05,11.626865671641792
2016-10-06,24.172958735733097
2016-10-07,14.642230026338893
2016-10-08,5.449956101843723
2016-10-09,5.5
2016-10-10,12.126865671641792
2016-10-11,26.269095697980685
2016-10-12,43.845917471466194
2016-10-13,57.03819139596137
2016-10-14,73.79587357330992
2016-10-15,27.719051799824406
2016-10-16,26.949956101843725
2016-10-17,11.626865671641792
2016-10-18,28.253731343283583
2016-10-19,20.849868305531167
2016-10-20,46.86523266022827
2016-10-21,22.188323090430202
2016-10-22,35.33450395083406
2016-10-23,21.849868305531167
2016-10-24,25.738366988586478
2016-10-25,22.834503950834065
2016-10-26,37.64223002633889
2016-10-27,33.14223002633889
2016-10-28,43.7036874451273
2016-10-29,90.92273924495171
2016-10-30,32.89991220368745
2016-10-31,50.6883230904302
2016-11-01,29.172958735733097
2016-11-02,47.0
2016-11-03,46.0
2016-11-04,67.0
2016-11-05,32.0
2016-11-06,74.0
