date,hillary clinton hate
2016-05-01,1.2669322709163346
2016-05-02,3.3784860557768925
2016-05-03,3.3784860557768925
2016-05-04,10.557768924302788
2016-05-05,13.51394422310757
2016-05-06,9.713147410358566
2016-05-07,6.334661354581674
2016-05-08,5.912350597609562
2016-05-09,3.3784860557768925
2016-05-10,1.6892430278884463
2016-05-11,8.868525896414344
2016-05-12,6.756972111553785
2016-05-13,7.601593625498008
2016-05-14,3.800796812749004
2016-05-15,4.645418326693227
2016-05-16,3.3784860557768925
2016-05-17,5.490039840637451
2016-05-18,6.334661354581674
2016-05-19,2.1115537848605577
2016-05-20,2.956175298804781
2016-05-21,3.3784860557768925
2016-05-22,5.490039840637451
2016-05-23,2.956175298804781
2016-05-24,5.490039840637451
2016-05-25,3.3784860557768925
2016-05-26,4.223107569721115
2016-05-27,4.223107569721115
2016-05-28,2.5338645418326693
2016-05-29,2.5338645418326693
2016-05-30,3.3784860557768925
2016-05-31,4.645418326693227
2016-06-01,5.067729083665339
2016-06-02,4.223107569721115
2016-06-03,1.6892430278884463
2016-06-04,5.490039840637451
2016-06-05,5.490039840637451
2016-06-06,2.1115537848605577
2016-06-07,6.756972111553785
2016-06-08,27.450199203187253
2016-06-09,10.980079681274901
2016-06-10,10.980079681274901
2016-06-11,6.756972111553785
2016-06-12,10.135458167330677
2016-06-13,9.713147410358566
2016-06-14,5.490039840637451
2016-06-15,5.490039840637451
2016-06-16,4.223107569721115
2016-06-17,7.179282868525896
2016-06-18,2.5338645418326693
2016-06-19,4.645418326693227
2016-06-20,1.6892430278884463
2016-06-21,6.334661354581674
2016-06-22,3.3784860557768925
2016-06-23,3.3784860557768925
2016-06-24,8.02390438247012
2016-06-25,6.756972111553785
2016-06-26,3.3784860557768925
2016-06-27,3.800796812749004
2016-06-28,4.645418326693227
2016-06-29,5.912350597609562
2016-06-30,4.223107569721115
2016-07-01,2.5338645418326693
2016-07-02,3.3784860557768925
2016-07-03,5.067729083665339
2016-07-04,2.5338645418326693
2016-07-05,5.912350597609562
2016-07-06,7.179282868525896
2016-07-07,6.756972111553785
2016-07-08,7.179282868525896
2016-07-09,2.1115537848605577
2016-07-10,6.334661354581674
2016-07-11,2.1115537848605577
2016-07-12,2.1115537848605577
2016-07-13,10.557768924302788
2016-07-14,3.3784860557768925
2016-07-15,6.756972111553785
2016-07-16,4.223107569721115
2016-07-17,4.645418326693227
2016-07-18,4.645418326693227
2016-07-19,9.290836653386455
2016-07-20,9.290836653386455
2016-07-21,9.713147410358566
2016-07-22,17.314741035856574
2016-07-23,10.980079681274901
2016-07-24,10.135458167330677
2016-07-25,12.247011952191235
2016-07-26,30.828685258964143
2016-07-27,28.294820717131476
2016-07-28,25.338645418326696
2016-07-29,42.23107569721115
2016-07-30,22.382470119521912
2016-07-31,16.470119521912352
2016-08-01,5.067729083665339
2016-08-02,7.601593625498008
2016-08-03,6.334661354581674
2016-08-04,7.601593625498008
2016-08-05,8.02390438247012
2016-08-06,3.3784860557768925
2016-08-07,10.980079681274901
2016-08-08,5.067729083665339
2016-08-09,4.223107569721115
2016-08-10,7.179282868525896
2016-08-11,7.179282868525896
2016-08-12,4.645418326693227
2016-08-13,6.756972111553785
2016-08-14,8.44621513944223
2016-08-15,2.956175298804781
2016-08-16,5.912350597609562
2016-08-17,1.2669322709163346
2016-08-18,4.223107569721115
2016-08-19,6.756972111553785
2016-08-20,2.5338645418326693
2016-08-21,5.490039840637451
2016-08-22,2.956175298804781
2016-08-23,5.067729083665339
2016-08-24,4.645418326693227
2016-08-25,8.868525896414344
2016-08-26,4.645418326693227
2016-08-27,2.5338645418326693
2016-08-28,4.223107569721115
2016-08-29,5.490039840637451
2016-08-30,6.334661354581674
2016-08-31,2.1115537848605577
2016-09-01,4.645418326693227
2016-09-02,4.223107569721115
2016-09-03,4.645418326693227
2016-09-04,2.5338645418326693
2016-09-05,3.3784860557768925
2016-09-06,2.1115537848605577
2016-09-07,5.067729083665339
2016-09-08,2.956175298804781
2016-09-09,6.756972111553785
2016-09-10,5.912350597609562
2016-09-11,6.334661354581674
2016-09-12,8.44621513944223
2016-09-13,8.44621513944223
2016-09-14,6.334661354581674
2016-09-15,6.334661354581674
2016-09-16,5.912350597609562
2016-09-17,4.645418326693227
2016-09-18,3.3784860557768925
2016-09-19,7.601593625498008
2016-09-20,2.5338645418326693
2016-09-21,5.067729083665339
2016-09-22,3.3784860557768925
2016-09-23,2.956175298804781
2016-09-24,5.067729083665339
2016-09-25,8.868525896414344
2016-09-26,8.868525896414344
2016-09-27,32.51792828685259
2016-09-28,18.159362549800797
2016-09-29,9.290836653386455
2016-09-30,9.290836653386455
2016-10-01,9.434262948207172
2016-10-02,7.723107569721115
2016-10-03,9.51195219123506
2016-10-04,7.51195219123506
2016-10-05,8.01195219123506
2016-10-06,5.745019920318725
2016-10-07,5.1892430278884465
2016-10-08,15.44621513944223
2016-10-09,17.02390438247012
2016-10-10,30.258964143426294
2016-10-11,18.5796812749004
2016-10-12,23.11354581673307
2016-10-13,17.179282868525895
2016-10-14,13.756972111553786
2016-10-15,11.567729083665338
2016-10-16,16.213147410358566
2016-10-17,9.800796812749004
2016-10-18,12.123505976095618
2016-10-19,11.256972111553786
2016-10-20,32.647410358565736
2016-10-21,16.92430278884462
2016-10-22,12.201195219123505
2016-10-23,11.04581673306773
2016-10-24,15.46812749003984
2016-10-25,9.300796812749004
2016-10-26,9.223107569721115
2016-10-27,11.834661354581673
2016-10-28,8.434262948207172
2016-10-29,14.890438247011954
2016-10-30,9.067729083665338
