date,trump benghazi
2016-05-01,2.0161054172767203
2016-05-02,2.0161054172767203
2016-05-03,0.6720351390922401
2016-05-04,6.048316251830161
2016-05-05,6.720351390922401
2016-05-06,8.736456808199122
2016-05-07,4.032210834553441
2016-05-08,3.3601756954612005
2016-05-09,1.3440702781844802
2016-05-10,4.032210834553441
2016-05-11,18.816983894582723
2016-05-12,8.736456808199122
2016-05-13,5.376281112737921
2016-05-14,4.032210834553441
2016-05-15,4.032210834553441
2016-05-16,4.032210834553441
2016-05-17,5.376281112737921
2016-05-18,2.6881405563689604
2016-05-19,2.6881405563689604
2016-05-20,2.6881405563689604
2016-05-21,2.6881405563689604
2016-05-22,4.032210834553441
2016-05-23,2.0161054172767203
2016-05-24,2.6881405563689604
2016-05-25,3.3601756954612005
2016-05-26,1.3440702781844802
2016-05-27,4.032210834553441
2016-05-28,3.3601756954612005
2016-05-29,4.032210834553441
2016-05-30,2.6881405563689604
2016-05-31,2.0161054172767203
2016-06-01,4.704245973645681
2016-06-02,4.032210834553441
2016-06-03,6.048316251830161
2016-06-04,2.6881405563689604
2016-06-05,3.3601756954612005
2016-06-06,5.376281112737921
2016-06-07,5.376281112737921
2016-06-08,6.048316251830161
2016-06-09,8.736456808199122
2016-06-10,10.752562225475842
2016-06-11,6.720351390922401
2016-06-12,6.720351390922401
2016-06-13,6.048316251830161
2016-06-14,3.3601756954612005
2016-06-15,4.032210834553441
2016-06-16,2.6881405563689604
2016-06-17,4.704245973645681
2016-06-18,2.6881405563689604
2016-06-19,4.032210834553441
2016-06-20,2.6881405563689604
2016-06-21,1.3440702781844802
2016-06-22,6.048316251830161
2016-06-23,2.6881405563689604
2016-06-24,7.392386530014641
2016-06-25,2.0161054172767203
2016-06-26,2.6881405563689604
2016-06-27,4.032210834553441
2016-06-28,36.289897510980964
2016-06-29,33.60175695461201
2016-06-30,12.768667642752561
2016-07-01,9.408491947291362
2016-07-02,7.392386530014641
2016-07-03,8.736456808199122
2016-07-04,4.704245973645681
2016-07-05,6.048316251830161
2016-07-06,8.064421669106881
2016-07-07,6.048316251830161
2016-07-08,4.032210834553441
2016-07-09,0.6720351390922401
2016-07-10,2.0161054172767203
2016-07-11,1.3440702781844802
2016-07-12,2.6881405563689604
2016-07-13,4.704245973645681
2016-07-14,6.048316251830161
2016-07-15,4.704245973645681
2016-07-16,5.376281112737921
2016-07-17,2.6881405563689604
2016-07-18,4.704245973645681
2016-07-19,67.20351390922401
2016-07-20,23.521229868228403
2016-07-21,18.816983894582723
2016-07-22,18.144948755490482
2016-07-23,12.096632503660322
2016-07-24,18.144948755490482
2016-07-25,9.408491947291362
2016-07-26,12.768667642752561
2016-07-27,10.752562225475842
2016-07-28,22.177159590043924
2016-07-29,21.505124450951683
2016-07-30,16.128843338213763
2016-07-31,13.440702781844802
2016-08-01,21.505124450951683
2016-08-02,18.144948755490482
2016-08-03,12.096632503660322
2016-08-04,12.096632503660322
2016-08-05,6.720351390922401
2016-08-06,4.032210834553441
2016-08-07,5.376281112737921
2016-08-08,3.3601756954612005
2016-08-09,12.096632503660322
2016-08-10,8.064421669106881
2016-08-11,5.376281112737921
2016-08-12,4.704245973645681
2016-08-13,4.032210834553441
2016-08-14,4.704245973645681
2016-08-15,3.3601756954612005
2016-08-16,4.704245973645681
2016-08-17,3.3601756954612005
2016-08-18,2.6881405563689604
2016-08-19,5.376281112737921
2016-08-20,3.3601756954612005
2016-08-21,4.032210834553441
2016-08-22,3.3601756954612005
2016-08-23,3.3601756954612005
2016-08-24,5.376281112737921
2016-08-25,2.0161054172767203
2016-08-26,2.6881405563689604
2016-08-27,4.032210834553441
2016-08-28,2.0161054172767203
2016-08-29,2.0161054172767203
2016-08-30,2.6881405563689604
2016-08-31,8.064421669106881
2016-09-01,4.032210834553441
2016-09-02,3.3601756954612005
2016-09-03,4.032210834553441
2016-09-04,3.3601756954612005
2016-09-05,2.0161054172767203
2016-09-06,4.032210834553441
2016-09-07,3.3601756954612005
2016-09-08,4.704245973645681
2016-09-09,4.704245973645681
2016-09-10,3.3601756954612005
2016-09-11,4.704245973645681
2016-09-12,3.3601756954612005
2016-09-13,2.6881405563689604
2016-09-14,7.392386530014641
2016-09-15,6.048316251830161
2016-09-16,3.3601756954612005
2016-09-17,2.0161054172767203
2016-09-18,1.3440702781844802
2016-09-19,5.376281112737921
2016-09-20,2.6881405563689604
2016-09-21,5.376281112737921
2016-09-22,2.0161054172767203
2016-09-23,4.704245973645681
2016-09-24,4.704245973645681
2016-09-25,4.704245973645681
2016-09-26,8.736456808199122
2016-09-27,47.042459736456806
2016-09-28,14.784773060029282
2016-09-29,11.424597364568083
2016-09-30,11.424597364568083
2016-10-01,7.868228404099561
2016-10-02,5.51610541727672
2016-10-03,7.69619326500732
2016-10-04,7.69619326500732
2016-10-05,7.868228404099561
2016-10-06,5.68814055636896
2016-10-07,6.8601756954612005
2016-10-08,25.432650073206442
2016-10-09,28.95680819912152
2016-10-10,51.53733528550512
2016-10-11,28.948755490483162
2016-10-12,20.91654465592972
2016-10-13,19.07247437774524
2016-10-14,20.0805270863836
2016-10-15,13.720351390922401
2016-10-16,11.87628111273792
2016-10-17,8.53221083455344
2016-10-18,15.72840409956076
2016-10-19,23.924597364568083
2016-10-20,29.112737920937043
2016-10-21,11.38433382137628
2016-10-22,7.024158125915081
2016-10-23,11.88433382137628
2016-10-24,7.704245973645681
2016-10-25,10.87628111273792
2016-10-26,9.5402635431918
2016-10-27,7.69619326500732
2016-10-28,10.87628111273792
2016-10-29,8.368228404099561
