date,comey
2016-05-01,0.21144011616895006
2016-05-02,0.21144011616895006
2016-05-03,0.21144011616895006
2016-05-04,0.21144011616895006
2016-05-05,0.21144011616895006
2016-05-06,0.21144011616895006
2016-05-07,0.21144011616895006
2016-05-08,0.21144011616895006
2016-05-09,0.21144011616895006
2016-05-10,0.21144011616895006
2016-05-11,0.4228802323379001
2016-05-12,0.6343203485068502
2016-05-13,0.4228802323379001
2016-05-14,0.21144011616895006
2016-05-15,0.21144011616895006
2016-05-16,0.21144011616895006
2016-05-17,0.21144011616895006
2016-05-18,0.21144011616895006
2016-05-19,0.21144011616895006
2016-05-20,0.21144011616895006
2016-05-21,0.21144011616895006
2016-05-22,0.21144011616895006
2016-05-23,0.21144011616895006
2016-05-24,0.21144011616895006
2016-05-25,0.21144011616895006
2016-05-26,0.21144011616895006
2016-05-27,0.21144011616895006
2016-05-28,0.0
2016-05-29,0.21144011616895006
2016-05-30,0.21144011616895006
2016-05-31,0.21144011616895006
2016-06-01,0.21144011616895006
2016-06-02,0.21144011616895006
2016-06-03,0.21144011616895006
2016-06-04,0.21144011616895006
2016-06-05,0.21144011616895006
2016-06-06,0.21144011616895006
2016-06-07,0.21144011616895006
2016-06-08,0.21144011616895006
2016-06-09,0.21144011616895006
2016-06-10,0.21144011616895006
2016-06-11,0.21144011616895006
2016-06-12,0.21144011616895006
2016-06-13,0.6343203485068502
2016-06-14,0.4228802323379001
2016-06-15,0.21144011616895006
2016-06-16,0.21144011616895006
2016-06-17,0.21144011616895006
2016-06-18,0.21144011616895006
2016-06-19,0.21144011616895006
2016-06-20,0.21144011616895006
2016-06-21,0.21144011616895006
2016-06-22,0.21144011616895006
2016-06-23,0.21144011616895006
2016-06-24,0.21144011616895006
2016-06-25,0.21144011616895006
2016-06-26,0.21144011616895006
2016-06-27,0.21144011616895006
2016-06-28,0.21144011616895006
2016-06-29,0.21144011616895006
2016-06-30,0.21144011616895006
2016-07-01,0.6343203485068502
2016-07-02,0.6343203485068502
2016-07-03,0.4228802323379001
2016-07-04,0.21144011616895006
2016-07-05,10.572005808447503
2016-07-06,10.572005808447503
2016-07-07,18.395290106698653
2016-07-08,7.823284298251152
2016-07-09,2.5372813940274006
2016-07-10,1.6915209293516005
2016-07-11,1.0572005808447502
2016-07-12,1.0572005808447502
2016-07-13,0.8457604646758002
2016-07-14,0.8457604646758002
2016-07-15,0.6343203485068502
2016-07-16,0.6343203485068502
2016-07-17,0.4228802323379001
2016-07-18,0.4228802323379001
2016-07-19,0.6343203485068502
2016-07-20,0.4228802323379001
2016-07-21,0.4228802323379001
2016-07-22,0.4228802323379001
2016-07-23,0.4228802323379001
2016-07-24,0.4228802323379001
2016-07-25,0.4228802323379001
2016-07-26,0.4228802323379001
2016-07-27,0.4228802323379001
2016-07-28,0.4228802323379001
2016-07-29,0.6343203485068502
2016-07-30,0.6343203485068502
2016-07-31,0.4228802323379001
2016-08-01,0.6343203485068502
2016-08-02,0.6343203485068502
2016-08-03,0.4228802323379001
2016-08-04,0.4228802323379001
2016-08-05,0.6343203485068502
2016-08-06,0.4228802323379001
2016-08-07,0.4228802323379001
2016-08-08,0.4228802323379001
2016-08-09,0.4228802323379001
2016-08-10,0.4228802323379001
2016-08-11,0.4228802323379001
2016-08-12,0.21144011616895006
2016-08-13,0.4228802323379001
2016-08-14,0.6343203485068502
2016-08-15,0.4228802323379001
2016-08-16,0.4228802323379001
2016-08-17,0.4228802323379001
2016-08-18,0.21144011616895006
2016-08-19,0.21144011616895006
2016-08-20,0.21144011616895006
2016-08-21,0.21144011616895006
2016-08-22,0.21144011616895006
2016-08-23,0.4228802323379001
2016-08-24,0.4228802323379001
2016-08-25,0.21144011616895006
2016-08-26,0.4228802323379001
2016-08-27,0.21144011616895006
2016-08-28,0.21144011616895006
2016-08-29,0.21144011616895006
2016-08-30,0.21144011616895006
2016-08-31,0.21144011616895006
2016-09-01,0.21144011616895006
2016-09-02,0.4228802323379001
2016-09-03,0.21144011616895006
2016-09-04,0.4228802323379001
2016-09-05,0.21144011616895006
2016-09-06,0.21144011616895006
2016-09-07,0.6343203485068502
2016-09-08,0.8457604646758002
2016-09-09,0.6343203485068502
2016-09-10,0.4228802323379001
2016-09-11,0.6343203485068502
2016-09-12,0.6343203485068502
2016-09-13,0.4228802323379001
2016-09-14,0.4228802323379001
2016-09-15,0.4228802323379001
2016-09-16,0.4228802323379001
2016-09-17,0.4228802323379001
2016-09-18,0.21144011616895006
2016-09-19,0.21144011616895006
2016-09-20,0.21144011616895006
2016-09-21,0.21144011616895006
2016-09-22,0.21144011616895006
2016-09-23,0.21144011616895006
2016-09-24,0.4228802323379001
2016-09-25,0.4228802323379001
2016-09-26,0.6343203485068502
2016-09-27,0.6343203485068502
2016-09-28,2.1144011616895004
2016-09-29,2.1144011616895004
2016-09-30,1.9029610455205506
2016-10-01,1.8342698402676938
2016-10-02,1.2648841467264347
2016-10-03,0.8012185112696508
2016-10-04,0.6954984531851758
2016-10-05,0.5693856935412589
2016-10-06,0.5693856935412589
2016-10-07,0.5693856935412589
2016-10-08,0.46366563545678385
2016-10-09,0.5693856935412589
2016-10-10,0.5693856935412589
2016-10-11,0.5693856935412589
2016-10-12,0.5693856935412589
2016-10-13,0.9273312709135677
2016-10-14,1.033051328998043
2016-10-15,0.8012185112696508
2016-10-16,0.8012185112696508
2016-10-17,0.6954984531851758
2016-10-18,0.8012185112696508
2016-10-19,0.5693856935412589
2016-10-20,0.6954984531851758
2016-10-21,0.5693856935412589
2016-10-22,0.46366563545678385
