date,donald trump event
2016-05-01,28.169346195069668
2016-05-02,17.39871382636656
2016-05-03,4.142550911039657
2016-05-04,32.31189710610932
2016-05-05,15.741693461950696
2016-05-06,14.084673097534834
2016-05-07,4.971061093247588
2016-05-08,9.942122186495176
2016-05-09,13.256162915326902
2016-05-10,13.256162915326902
2016-05-11,8.285101822079314
2016-05-12,13.256162915326902
2016-05-13,9.113612004287246
2016-05-14,9.942122186495176
2016-05-15,7.456591639871382
2016-05-16,4.142550911039657
2016-05-17,8.285101822079314
2016-05-18,6.628081457663451
2016-05-19,4.142550911039657
2016-05-20,20.712754555198284
2016-05-21,4.971061093247588
2016-05-22,4.971061093247588
2016-05-23,10.770632368703108
2016-05-24,4.142550911039657
2016-05-25,9.113612004287246
2016-05-26,9.113612004287246
2016-05-27,6.628081457663451
2016-05-28,7.456591639871382
2016-05-29,13.256162915326902
2016-05-30,4.142550911039657
2016-05-31,4.142550911039657
2016-06-01,13.256162915326902
2016-06-02,9.113612004287246
2016-06-03,9.113612004287246
2016-06-04,0.0
2016-06-05,9.942122186495176
2016-06-06,9.113612004287246
2016-06-07,6.628081457663451
2016-06-08,15.741693461950696
2016-06-09,9.113612004287246
2016-06-10,9.113612004287246
2016-06-11,9.942122186495176
2016-06-12,15.741693461950696
2016-06-13,8.285101822079314
2016-06-14,8.285101822079314
2016-06-15,10.770632368703108
2016-06-16,19.884244372990352
2016-06-17,9.113612004287246
2016-06-18,4.971061093247588
2016-06-19,4.971061093247588
2016-06-20,9.113612004287246
2016-06-21,10.770632368703108
2016-06-22,0.0
2016-06-23,4.142550911039657
2016-06-24,4.971061093247588
2016-06-25,4.971061093247588
2016-06-26,13.256162915326902
2016-06-27,9.113612004287246
2016-06-28,4.142550911039657
2016-06-29,4.142550911039657
2016-06-30,4.142550911039657
2016-07-01,9.113612004287246
2016-07-02,4.971061093247588
2016-07-03,0.0
2016-07-04,4.971061093247588
2016-07-05,4.971061093247588
2016-07-06,4.971061093247588
2016-07-07,4.971061093247588
2016-07-08,14.084673097534834
2016-07-09,4.971061093247588
2016-07-10,0.0
2016-07-11,6.628081457663451
2016-07-12,9.113612004287246
2016-07-13,9.113612004287246
2016-07-14,9.113612004287246
2016-07-15,9.113612004287246
2016-07-16,0.0
2016-07-17,4.971061093247588
2016-07-18,4.142550911039657
2016-07-19,11.59914255091104
2016-07-20,6.628081457663451
2016-07-21,9.113612004287246
2016-07-22,18.227224008574492
2016-07-23,10.770632368703108
2016-07-24,4.971061093247588
2016-07-25,13.256162915326902
2016-07-26,9.113612004287246
2016-07-27,10.770632368703108
2016-07-28,18.227224008574492
2016-07-29,11.59914255091104
2016-07-30,8.285101822079314
2016-07-31,4.971061093247588
2016-08-01,11.59914255091104
2016-08-02,15.741693461950696
2016-08-03,11.59914255091104
2016-08-04,11.59914255091104
2016-08-05,9.113612004287246
2016-08-06,5.79957127545552
2016-08-07,10.770632368703108
2016-08-08,9.113612004287246
2016-08-09,9.113612004287246
2016-08-10,6.628081457663451
2016-08-11,15.741693461950696
2016-08-12,16.570203644158628
2016-08-13,21.541264737406216
2016-08-14,10.770632368703108
2016-08-15,9.113612004287246
2016-08-16,11.59914255091104
2016-08-17,9.113612004287246
2016-08-18,4.142550911039657
2016-08-19,18.227224008574492
2016-08-20,13.256162915326902
2016-08-21,4.971061093247588
2016-08-22,9.113612004287246
2016-08-23,13.256162915326902
2016-08-24,15.741693461950696
2016-08-25,18.227224008574492
2016-08-26,4.971061093247588
2016-08-27,10.770632368703108
2016-08-28,7.456591639871382
2016-08-29,30.65487674169346
2016-08-30,8.285101822079314
2016-08-31,13.256162915326902
2016-09-01,13.256162915326902
2016-09-02,6.628081457663451
2016-09-03,7.456591639871382
2016-09-04,7.456591639871382
2016-09-05,17.39871382636656
2016-09-06,8.285101822079314
2016-09-07,14.913183279742764
2016-09-08,4.142550911039657
2016-09-09,10.770632368703108
2016-09-10,9.942122186495176
2016-09-11,14.913183279742764
2016-09-12,17.39871382636656
2016-09-13,6.628081457663451
2016-09-14,14.913183279742764
2016-09-15,14.913183279742764
2016-09-16,24.85530546623794
2016-09-17,19.884244372990352
2016-09-18,9.942122186495176
2016-09-19,16.570203644158628
2016-09-20,14.913183279742764
2016-09-21,12.42765273311897
2016-09-22,10.770632368703108
2016-09-23,9.113612004287246
2016-09-24,14.913183279742764
2016-09-25,7.456591639871382
2016-09-26,8.285101822079314
2016-09-27,31.483386923901392
2016-09-28,12.42765273311897
2016-09-29,17.39871382636656
2016-09-30,17.39871382636656
2016-10-01,3.728295819935691
2016-10-02,13.29957127545552
2016-10-03,18.9989281886388
2016-10-04,24.02786709539121
2016-10-05,16.785101822079312
2016-10-06,22.52786709539121
2016-10-07,15.128081457663452
2016-10-08,44.869774919614144
2016-10-09,25.756162915326904
2016-10-10,25.484458735262592
2016-10-11,26.670418006430868
2016-10-12,30.413183279742764
2016-10-13,29.913183279742764
2016-10-14,21.69935691318328
2016-10-15,27.442122186495176
2016-10-16,24.513397642015004
2016-10-17,26.856377277599144
2016-10-18,35.570203644158624
2016-10-19,24.92765273311897
2016-10-20,46.28403001071811
2016-10-21,65.42550911039658
2016-10-22,21.52786709539121
2016-10-23,22.785101822079312
2016-10-24,11.456591639871382
2016-10-25,28.92765273311897
2016-10-26,12.713826366559484
2016-10-27,28.59914255091104
2016-10-28,21.770632368703108
2016-10-29,11.213826366559484
2016-10-30,12.456591639871382
2016-10-31,21.770632368703108
2016-11-01,9.456591639871382
2016-11-02,17.0
2016-11-03,13.0
2016-11-04,31.0
