date,obama treason
2016-12-16,27.987179487179485
2016-12-17,21.17948717948718
2016-12-18,9.833333333333332
2016-12-19,13.615384615384615
2016-12-20,18.153846153846153
2016-12-21,9.076923076923077
2016-12-22,18.91025641025641
2016-12-23,19.666666666666664
2016-12-24,27.987179487179485
2016-12-25,0.0
2016-12-26,9.833333333333332
2016-12-27,18.153846153846153
2016-12-28,18.91025641025641
2016-12-29,14.371794871794872
2016-12-30,39.33333333333333
2016-12-31,43.87179487179487
2017-01-01,21.935897435897434
2017-01-02,13.615384615384615
2017-01-03,26.474358974358974
2017-01-04,17.397435897435898
2017-01-05,9.076923076923077
2017-01-06,18.153846153846153
2017-01-07,19.666666666666664
2017-01-08,24.205128205128204
2017-01-09,34.03846153846154
2017-01-10,12.858974358974358
2017-01-11,34.03846153846154
2017-01-12,25.717948717948715
2017-01-13,26.474358974358974
2017-01-14,9.833333333333332
2017-01-15,29.5
2017-01-16,12.858974358974358
2017-01-17,34.03846153846154
2017-01-18,63.53846153846153
2017-01-19,25.717948717948715
2017-01-20,26.474358974358974
2017-01-21,29.5
2017-01-22,9.833333333333332
2017-01-23,8.320512820512821
2017-01-24,25.717948717948715
2017-01-25,12.858974358974358
2017-01-26,21.935897435897434
2017-01-27,21.935897435897434
2017-01-28,9.833333333333332
2017-01-29,15.128205128205128
2017-01-30,12.858974358974358
2017-01-31,8.320512820512821
2017-02-01,17.397435897435898
2017-02-02,12.858974358974358
2017-02-03,9.076923076923077
2017-02-04,9.833333333333332
2017-02-05,9.833333333333332
2017-02-06,16.641025641025642
2017-02-07,12.858974358974358
2017-02-08,12.858974358974358
2017-02-09,8.320512820512821
2017-02-10,17.397435897435898
2017-02-11,9.833333333333332
2017-02-12,9.833333333333332
2017-02-13,8.320512820512821
2017-02-14,34.03846153846154
2017-02-15,38.57692307692307
2017-02-16,46.8974358974359
2017-02-17,31.01282051282051
2017-02-18,15.128205128205128
2017-02-19,39.33333333333333
2017-02-20,34.03846153846154
2017-02-21,24.96153846153846
2017-02-22,33.282051282051285
2017-02-23,37.82051282051282
2017-02-24,35.55128205128205
2017-02-25,19.666666666666664
2017-02-26,9.833333333333332
2017-02-27,25.717948717948715
2017-02-28,8.320512820512821
2017-03-01,17.165658850952966
2017-03-02,57.67769779240367
2017-03-03,52.430556698203745
2017-03-04,60.6147538735774
2017-03-05,61.160016454134094
2017-03-06,79.58285342108871
2017-03-07,9.294947209653092
2017-03-08,14.371794871794872
2017-03-09,43.626264911559026
2017-03-10,29.19662690250925
2017-03-11,24.239105992047165
2017-03-12,16.675003427944603
2017-03-13,11.56417797888386
2017-03-14,20.480920060331826
2017-03-15,19.056684491978608
2017-03-16,29.32606609077197
2017-03-17,16.569429590017826
2017-03-18,10.9849376114082
2017-03-19,23.826923076923077
2017-03-20,25.48617167146579
2017-03-21,19.88469079939668
2017-03-22,25.615610859728505
2017-03-23,15.72443438914027
2017-03-24,31.24783353901001
2017-03-25,22.436665295488822
2017-03-26,33.42160290689702
2017-03-27,9.294947209653092
2017-03-28,4.160256410256411
2017-03-29,10.58974358974359
2017-03-30,22.998916769505005
2017-03-31,33.373872206225144
2017-04-01,20.81827094474153
2017-04-02,25.20666392431098
2017-04-03,0.0
2017-04-04,31.74172494172494
2017-04-05,11.202961744138214
2017-04-06,32.67530508706979
2017-04-07,44.81184697655286
2017-04-08,12.136541889483064
2017-04-09,13.070122034827916
2017-04-10,11.202961744138214
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,11.202961744138214
2017-04-14,0.0
2017-04-15,13.070122034827916
2017-04-16,0.0
2017-04-17,23.339503633621277
2017-04-18,0.0
2017-04-19,10.269381598793363
2017-04-20,21.472343342931577
2017-04-21,22.40592348827643
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,10.269381598793363
2017-04-25,31.74172494172494
2017-04-26,21.472343342931577
2017-04-27,0.0
2017-04-28,22.40592348827643
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,11.202961744138214
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,21.472343342931577
2017-05-09,10.269381598793363
2017-05-10,31.74172494172494
2017-05-11,11.202961744138214
2017-05-12,0.0
2017-05-13,0.0
2017-05-14,12.136541889483064
2017-05-15,0.0
2017-05-16,11.202961744138214
2017-05-17,0.0
2017-05-18,32.67530508706979
2017-05-19,22.40592348827643
2017-05-20,13.070122034827916
2017-05-21,25.20666392431098
2017-05-22,31.74172494172494
2017-05-23,10.269381598793363
2017-05-24,11.202961744138214
2017-05-25,44.81184697655286
2017-05-26,23.339503633621277
2017-05-27,0.0
2017-05-28,13.070122034827916
2017-05-29,22.40592348827643
2017-05-30,0.0
2017-05-31,43.878266831208
2017-06-01,22.40592348827643
2017-06-02,45.745427121897706
2017-06-03,26.140244069655832
