date,hillary travel
2016-05-01,11.25218470169382
2016-05-02,3.068777645916496
2016-05-03,3.068777645916496
2016-05-04,12.786573524652068
2016-05-05,16.366814111554646
2016-05-06,6.649018232819076
2016-05-07,3.580240586902579
2016-05-08,11.25218470169382
2016-05-09,6.137555291832992
2016-05-10,6.137555291832992
2016-05-11,6.137555291832992
2016-05-12,6.649018232819076
2016-05-13,6.649018232819076
2016-05-14,7.160481173805158
2016-05-15,0.0
2016-05-16,3.068777645916496
2016-05-17,6.137555291832992
2016-05-18,6.137555291832992
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,7.6719441147912395
2016-05-22,7.6719441147912395
2016-05-23,9.206332937749488
2016-05-24,6.137555291832992
2016-05-25,9.71779587873557
2016-05-26,0.0
2016-05-27,6.649018232819076
2016-05-28,3.580240586902579
2016-05-29,0.0
2016-05-30,3.068777645916496
2016-05-31,6.137555291832992
2016-06-01,0.0
2016-06-02,3.068777645916496
2016-06-03,6.649018232819076
2016-06-04,7.6719441147912395
2016-06-05,3.580240586902579
2016-06-06,3.068777645916496
2016-06-07,9.206332937749488
2016-06-08,6.649018232819076
2016-06-09,6.649018232819076
2016-06-10,19.947054698457222
2016-06-11,11.25218470169382
2016-06-12,3.580240586902579
2016-06-13,6.137555291832992
2016-06-14,6.137555291832992
2016-06-15,3.068777645916496
2016-06-16,6.649018232819076
2016-06-17,6.649018232819076
2016-06-18,0.0
2016-06-19,7.6719441147912395
2016-06-20,0.0
2016-06-21,6.137555291832992
2016-06-22,3.068777645916496
2016-06-23,19.43559175747114
2016-06-24,3.580240586902579
2016-06-25,0.0
2016-06-26,3.580240586902579
2016-06-27,6.137555291832992
2016-06-28,9.71779587873557
2016-06-29,3.068777645916496
2016-06-30,9.71779587873557
2016-07-01,3.580240586902579
2016-07-02,11.763647642679901
2016-07-03,0.0
2016-07-04,10.229258819721654
2016-07-05,6.649018232819076
2016-07-06,6.649018232819076
2016-07-07,0.0
2016-07-08,3.580240586902579
2016-07-09,4.0917035278886615
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,3.068777645916496
2016-07-13,3.068777645916496
2016-07-14,3.068777645916496
2016-07-15,3.580240586902579
2016-07-16,0.0
2016-07-17,7.6719441147912395
2016-07-18,12.786573524652068
2016-07-19,3.068777645916496
2016-07-20,16.366814111554646
2016-07-21,9.71779587873557
2016-07-22,13.298036465638152
2016-07-23,11.25218470169382
2016-07-24,15.343888229582479
2016-07-25,15.855351170568563
2016-07-26,29.153387636206713
2016-07-27,9.71779587873557
2016-07-28,19.43559175747114
2016-07-29,51.14629409860827
2016-07-30,11.763647642679901
2016-07-31,7.6719441147912395
2016-08-01,29.153387636206713
2016-08-02,3.068777645916496
2016-08-03,3.068777645916496
2016-08-04,0.0
2016-08-05,6.649018232819076
2016-08-06,4.0917035278886615
2016-08-07,7.6719441147912395
2016-08-08,0.0
2016-08-09,9.71779587873557
2016-08-10,9.71779587873557
2016-08-11,6.649018232819076
2016-08-12,6.649018232819076
2016-08-13,3.580240586902579
2016-08-14,11.763647642679901
2016-08-15,3.580240586902579
2016-08-16,0.0
2016-08-17,9.71779587873557
2016-08-18,9.71779587873557
2016-08-19,3.580240586902579
2016-08-20,3.580240586902579
2016-08-21,11.25218470169382
2016-08-22,6.137555291832992
2016-08-23,0.0
2016-08-24,9.71779587873557
2016-08-25,3.068777645916496
2016-08-26,6.649018232819076
2016-08-27,3.580240586902579
2016-08-28,11.25218470169382
2016-08-29,3.068777645916496
2016-08-30,3.068777645916496
2016-08-31,3.068777645916496
2016-09-01,12.786573524652068
2016-09-02,13.298036465638152
2016-09-03,7.6719441147912395
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,12.275110583665985
2016-09-07,3.068777645916496
2016-09-08,0.0
2016-09-09,6.649018232819076
2016-09-10,3.580240586902579
2016-09-11,28.64192469522063
2016-09-12,47.054590570719604
2016-09-13,34.26801704606754
2016-09-14,15.343888229582479
2016-09-15,6.649018232819076
2016-09-16,26.084609990290218
2016-09-17,10.740721760707737
2016-09-18,10.740721760707737
2016-09-19,6.137555291832992
2016-09-20,12.275110583665985
2016-09-21,21.992906462401553
2016-09-22,6.137555291832992
2016-09-23,12.786573524652068
2016-09-24,7.160481173805158
2016-09-25,17.90120293451289
2016-09-26,9.206332937749488
2016-09-27,20.96998058042939
2016-09-28,27.618998813248464
2016-09-29,15.343888229582479
2016-09-30,12.786573524652068
2016-10-01,13.359491315136475
2016-10-02,5.385228989103463
2016-10-03,11.393927338439962
2016-10-04,7.126780127306073
2016-10-05,6.264429819829539
2016-10-06,7.462799385046931
2016-10-07,5.928410562088683
2016-10-08,11.953959434674722
2016-10-09,9.364926097745172
2016-10-10,26.065777052540728
2016-10-11,24.212219495091166
2016-10-12,19.112458193979933
2016-10-13,12.12940311791995
2016-10-14,7.526236649045204
2016-10-15,4.586315945625202
2016-10-16,8.373718847772142
2016-10-17,6.264429819829539
2016-10-18,8.661168950264322
2016-10-19,14.27041077786169
2016-10-20,22.804705200129465
2016-10-21,15.261618027834718
2016-10-22,16.284543909806885
2016-10-23,11.698227964181681
2016-10-24,15.278468551084261
2016-10-25,8.661168950264322
2016-10-26,9.077475995252994
2016-10-27,14.942449293343401
2016-10-28,17.322337900528645
2016-10-29,19.86478449670946
2016-10-30,20.27910912719819
2016-10-31,14.52614224835473
2016-11-01,16.796006850792967
2016-11-02,21.570652173913043
2016-11-03,15.978260869565217
2016-11-04,22.369565217391305
2016-11-05,11.184782608695652
2016-11-06,33.55434782608695
2016-11-07,36.75
