date,obama idiot
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,54.63080684596577
2016-05-04,13.657701711491443
2016-05-05,29.26650366748166
2016-05-06,29.26650366748166
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,13.657701711491443
2016-05-10,34.469437652811735
2016-05-11,0.0
2016-05-12,27.965770171149146
2016-05-13,14.3080684596577
2016-05-14,16.25916870415648
2016-05-15,24.063569682151588
2016-05-16,34.469437652811735
2016-05-17,20.811735941320293
2016-05-18,13.657701711491443
2016-05-19,14.3080684596577
2016-05-20,14.3080684596577
2016-05-21,0.0
2016-05-22,16.25916870415648
2016-05-23,0.0
2016-05-24,13.657701711491443
2016-05-25,0.0
2016-05-26,22.112469437652813
2016-05-27,44.87530562347188
2016-05-28,16.25916870415648
2016-05-29,0.0
2016-05-30,28.6161369193154
2016-05-31,13.657701711491443
2016-06-01,13.657701711491443
2016-06-02,28.6161369193154
2016-06-03,14.95843520782396
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,0.0
2016-06-09,14.3080684596577
2016-06-10,29.26650366748166
2016-06-11,0.0
2016-06-12,33.168704156479215
2016-06-13,27.315403422982886
2016-06-14,41.62347188264059
2016-06-15,34.469437652811735
2016-06-16,28.6161369193154
2016-06-17,14.3080684596577
2016-06-18,50.07823960880196
2016-06-19,16.25916870415648
2016-06-20,13.657701711491443
2016-06-21,0.0
2016-06-22,13.657701711491443
2016-06-23,0.0
2016-06-24,29.26650366748166
2016-06-25,0.0
2016-06-26,16.25916870415648
2016-06-27,0.0
2016-06-28,14.3080684596577
2016-06-29,14.3080684596577
2016-06-30,14.3080684596577
2016-07-01,14.95843520782396
2016-07-02,0.0
2016-07-03,33.81907090464548
2016-07-04,29.91687041564792
2016-07-05,0.0
2016-07-06,0.0
2016-07-07,29.26650366748166
2016-07-08,37.72127139364303
2016-07-09,0.0
2016-07-10,16.90953545232274
2016-07-11,28.6161369193154
2016-07-12,13.657701711491443
2016-07-13,0.0
2016-07-14,14.3080684596577
2016-07-15,28.6161369193154
2016-07-16,33.81907090464548
2016-07-17,25.364303178484107
2016-07-18,0.0
2016-07-19,28.6161369193154
2016-07-20,21.462102689486553
2016-07-21,29.26650366748166
2016-07-22,44.224938875305625
2016-07-23,50.728606356968214
2016-07-24,16.90953545232274
2016-07-25,0.0
2016-07-26,21.462102689486553
2016-07-27,14.3080684596577
2016-07-28,35.770171149144254
2016-07-29,14.95843520782396
2016-07-30,16.90953545232274
2016-07-31,0.0
2016-08-01,14.3080684596577
2016-08-02,14.3080684596577
2016-08-03,14.3080684596577
2016-08-04,14.3080684596577
2016-08-05,14.95843520782396
2016-08-06,0.0
2016-08-07,16.90953545232274
2016-08-08,0.0
2016-08-09,0.0
2016-08-10,28.6161369193154
2016-08-11,29.26650366748166
2016-08-12,14.95843520782396
2016-08-13,0.0
2016-08-14,16.90953545232274
2016-08-15,0.0
2016-08-16,14.3080684596577
2016-08-17,14.3080684596577
2016-08-18,14.3080684596577
2016-08-19,29.26650366748166
2016-08-20,16.25916870415648
2016-08-21,0.0
2016-08-22,14.3080684596577
2016-08-23,14.3080684596577
2016-08-24,14.3080684596577
2016-08-25,14.3080684596577
2016-08-26,0.0
2016-08-27,16.25916870415648
2016-08-28,0.0
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,0.0
2016-09-01,13.657701711491443
2016-09-02,14.3080684596577
2016-09-03,16.25916870415648
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,20.161369193154034
2016-09-07,0.0
2016-09-08,20.811735941320293
2016-09-09,14.3080684596577
2016-09-10,0.0
2016-09-11,47.47677261613692
2016-09-12,13.657701711491443
2016-09-13,13.657701711491443
2016-09-14,13.657701711491443
2016-09-15,0.0
2016-09-16,35.770171149144254
2016-09-17,15.60880195599022
2016-09-18,15.60880195599022
2016-09-19,26.665036674816626
2016-09-20,0.0
2016-09-21,13.657701711491443
2016-09-22,13.657701711491443
2016-09-23,28.6161369193154
2016-09-24,0.0
2016-09-25,15.60880195599022
2016-09-26,0.0
2016-09-27,20.161369193154034
2016-09-28,0.0
2016-09-29,20.161369193154034
2016-09-30,0.0
2016-10-01,8.0
2016-10-02,15.47921760391198
2016-10-03,17.003667481662593
2016-10-04,6.503667481662592
2016-10-05,27.332518337408313
2016-10-06,20.65770171149144
2016-10-07,13.82885085574572
2016-10-08,16.30440097799511
2016-10-09,15.80440097799511
2016-10-10,20.580684596577015
2016-10-11,27.82885085574572
2016-10-12,13.82885085574572
2016-10-13,13.82885085574572
2016-10-14,7.5
2016-10-15,19.706601466992666
2016-10-16,35.28361858190709
2016-10-17,13.503667481662593
2016-10-18,13.503667481662593
2016-10-19,30.584352078239608
2016-10-20,49.51833740831296
2016-10-21,0.0
2016-10-22,7.80440097799511
2016-10-23,0.0
2016-10-24,30.336185819070906
2016-10-25,20.007334963325185
2016-10-26,7.0
2016-10-27,13.503667481662593
2016-10-28,14.5
2016-10-29,15.80440097799511
2016-10-30,15.80440097799511
2016-10-31,6.8288508557457215
2016-11-01,13.82885085574572
2016-11-02,0.0
2016-11-03,21.0
2016-11-04,0.0
2016-11-05,32.0
2016-11-06,47.0
2016-11-07,20.0
2016-11-08,13.0
2016-11-09,95.0
2016-11-10,90.0
2016-11-11,36.0
2016-11-12,32.0
2016-11-13,47.0
2016-11-14,27.0
2016-11-15,55.0
2016-11-16,34.0
2016-11-17,42.0
2016-11-18,21.0
2016-11-19,32.0
2016-11-20,16.0
2016-11-21,14.0
2016-11-22,14.0
