date,hillary clinton impeach
2016-05-01,0.0
2016-05-02,1.8312236286919834
2016-05-03,0.0
2016-05-04,1.8312236286919834
2016-05-05,0.0
2016-05-06,1.9620253164556964
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,1.8312236286919834
2016-05-10,0.0
2016-05-11,3.662447257383967
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,2.2236286919831225
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,1.8312236286919834
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,1.9620253164556964
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,1.8312236286919834
2016-06-01,0.0
2016-06-02,1.8312236286919834
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,1.8312236286919834
2016-06-08,1.8312236286919834
2016-06-09,3.79324894514768
2016-06-10,1.9620253164556964
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,1.9620253164556964
2016-06-17,1.9620253164556964
2016-06-18,0.0
2016-06-19,2.2236286919831225
2016-06-20,0.0
2016-06-21,0.0
2016-06-22,1.8312236286919834
2016-06-23,1.9620253164556964
2016-06-24,3.924050632911393
2016-06-25,2.2236286919831225
2016-06-26,2.2236286919831225
2016-06-27,0.0
2016-06-28,2.746835443037975
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,1.9620253164556964
2016-07-02,2.2236286919831225
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,5.755274261603376
2016-07-06,1.9620253164556964
2016-07-07,3.924050632911393
2016-07-08,3.008438818565401
2016-07-09,2.2236286919831225
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,0.0
2016-07-16,2.2236286919831225
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,0.0
2016-07-20,0.0
2016-07-21,1.9620253164556964
2016-07-22,0.0
2016-07-23,0.0
2016-07-24,0.0
2016-07-25,0.0
2016-07-26,1.8312236286919834
2016-07-27,3.79324894514768
2016-07-28,2.877637130801688
2016-07-29,4.0548523206751055
2016-07-30,3.4008438818565403
2016-07-31,0.0
2016-08-01,0.0
2016-08-02,1.9620253164556964
2016-08-03,0.0
2016-08-04,0.0
2016-08-05,0.0
2016-08-06,2.2236286919831225
2016-08-07,2.2236286919831225
2016-08-08,1.8312236286919834
2016-08-09,0.0
2016-08-10,0.0
2016-08-11,3.924050632911393
2016-08-12,0.0
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,1.9620253164556964
2016-08-16,0.0
2016-08-17,0.0
2016-08-18,0.0
2016-08-19,0.0
2016-08-20,0.0
2016-08-21,2.2236286919831225
2016-08-22,1.8312236286919834
2016-08-23,0.0
2016-08-24,1.9620253164556964
2016-08-25,0.0
2016-08-26,1.9620253164556964
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,3.662447257383967
2016-08-30,1.8312236286919834
2016-08-31,0.0
2016-09-01,1.8312236286919834
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,0.0
2016-09-07,1.8312236286919834
2016-09-08,1.8312236286919834
2016-09-09,1.8312236286919834
2016-09-10,0.0
2016-09-11,2.0928270042194095
2016-09-12,0.0
2016-09-13,0.0
2016-09-14,0.0
2016-09-15,0.0
2016-09-16,1.9620253164556964
2016-09-17,0.0
2016-09-18,2.0928270042194095
2016-09-19,1.8312236286919834
2016-09-20,1.8312236286919834
2016-09-21,3.5316455696202533
2016-09-22,0.0
2016-09-23,0.0
2016-09-24,0.0
2016-09-25,2.0928270042194095
2016-09-26,0.0
2016-09-27,1.8312236286919834
2016-09-28,1.8312236286919834
2016-09-29,1.8312236286919834
2016-09-30,3.79324894514768
2016-10-01,0.0
2016-10-02,0.9810126582278482
2016-10-03,3.350210970464135
2016-10-04,0.0
2016-10-05,0.0
2016-10-06,0.0
2016-10-07,2.8312236286919834
2016-10-08,5.0928270042194095
2016-10-09,4.639240506329115
2016-10-10,8.59704641350211
2016-10-11,1.9156118143459917
2016-10-12,1.9156118143459917
2016-10-13,0.9156118143459917
2016-10-14,1.9156118143459917
2016-10-15,4.639240506329115
2016-10-16,3.5274261603375527
2016-10-17,2.6160337552742616
2016-10-18,3.350210970464135
2016-10-19,2.7658227848101267
2016-10-20,5.265822784810126
2016-10-21,1.0
2016-10-22,2.5464135021097047
2016-10-23,0.0
2016-10-24,0.0
2016-10-25,1.850210970464135
2016-10-26,0.0
2016-10-27,2.7658227848101267
2016-10-28,13.540084388185655
2016-10-29,7.185654008438819
2016-10-30,2.5464135021097047
2016-10-31,2.9156118143459917
2016-11-01,4.331223628691983
2016-11-02,6.0
2016-11-03,8.0
2016-11-04,6.0
2016-11-05,14.0
2016-11-06,4.0
2016-11-07,7.0
2016-11-08,17.0
2016-11-09,100.0
2016-11-10,33.0
2016-11-11,25.0
2016-11-12,11.0
2016-11-13,9.0
2016-11-14,10.0
2016-11-15,9.0
2016-11-16,2.0
2016-11-17,0.0
2016-11-18,0.0
2016-11-19,3.0
2016-11-20,3.0
2016-11-21,2.0
2016-11-22,2.0
2016-11-23,4.0
2016-11-24,4.0
2016-11-25,5.0
2016-11-26,5.0
2016-11-27,3.0
2016-11-28,2.0
2016-11-29,2.0
2016-11-30,4.0
