date,pede
2016-05-01,44.40920295809367
2016-05-02,52.41741988496302
2016-05-03,59.69761709120788
2016-05-04,56.78553820870994
2016-05-05,58.24157764995891
2016-05-06,48.777321281840585
2016-05-07,46.59326211996713
2016-05-08,44.40920295809367
2016-05-09,58.9695973705834
2016-05-10,53.87345932621199
2016-05-11,53.145439605587505
2016-05-12,50.96138044371405
2016-05-13,56.05751848808545
2016-05-14,54.60147904683648
2016-05-15,44.40920295809367
2016-05-16,58.9695973705834
2016-05-17,62.60969597370583
2016-05-18,63.33771569433031
2016-05-19,59.69761709120788
2016-05-20,57.513557929334425
2016-05-21,48.049301561216105
2016-05-22,53.145439605587505
2016-05-23,58.24157764995891
2016-05-24,56.78553820870994
2016-05-25,60.42563681183237
2016-05-26,47.32128184059162
2016-05-27,53.87345932621199
2016-05-28,52.41741988496302
2016-05-29,51.68940016433854
2016-05-30,59.69761709120788
2016-05-31,56.05751848808545
2016-06-01,54.60147904683648
2016-06-02,59.69761709120788
2016-06-03,50.23336072308956
2016-06-04,53.87345932621199
2016-06-05,51.68940016433854
2016-06-06,54.60147904683648
2016-06-07,72.80197206244864
2016-06-08,59.69761709120788
2016-06-09,61.15365653245686
2016-06-10,58.9695973705834
2016-06-11,51.68940016433854
2016-06-12,45.86524239934264
2016-06-13,48.049301561216105
2016-06-14,56.05751848808545
2016-06-15,53.87345932621199
2016-06-16,54.60147904683648
2016-06-17,54.60147904683648
2016-06-18,58.24157764995891
2016-06-19,44.40920295809367
2016-06-20,56.05751848808545
2016-06-21,65.52177485620378
2016-06-22,66.97781429745275
2016-06-23,57.513557929334425
2016-06-24,50.96138044371405
2016-06-25,49.50534100246507
2016-06-26,42.9531635168447
2016-06-27,52.41741988496302
2016-06-28,58.9695973705834
2016-06-29,56.78553820870994
2016-06-30,63.33771569433031
2016-07-01,49.50534100246507
2016-07-02,37.85702547247329
2016-07-03,43.681183237469185
2016-07-04,57.513557929334425
2016-07-05,60.42563681183237
2016-07-06,61.881676253081345
2016-07-07,64.0657354149548
2016-07-08,53.145439605587505
2016-07-09,44.40920295809367
2016-07-10,48.777321281840585
2016-07-11,59.69761709120788
2016-07-12,48.049301561216105
2016-07-13,56.78553820870994
2016-07-14,66.97781429745275
2016-07-15,60.42563681183237
2016-07-16,58.24157764995891
2016-07-17,58.24157764995891
2016-07-18,61.15365653245686
2016-07-19,61.15365653245686
2016-07-20,60.42563681183237
2016-07-21,58.24157764995891
2016-07-22,52.41741988496302
2016-07-23,48.049301561216105
2016-07-24,50.23336072308956
2016-07-25,54.60147904683648
2016-07-26,51.68940016433854
2016-07-27,64.0657354149548
2016-07-28,61.15365653245686
2016-07-29,58.9695973705834
2016-07-30,54.60147904683648
2016-07-31,57.513557929334425
2016-08-01,59.69761709120788
2016-08-02,58.9695973705834
2016-08-03,66.24979457682826
2016-08-04,54.60147904683648
2016-08-05,55.32949876746097
2016-08-06,52.41741988496302
2016-08-07,56.05751848808545
2016-08-08,56.78553820870994
2016-08-09,63.33771569433031
2016-08-10,62.60969597370583
2016-08-11,60.42563681183237
2016-08-12,58.9695973705834
2016-08-13,55.32949876746097
2016-08-14,53.145439605587505
2016-08-15,61.15365653245686
2016-08-16,56.05751848808545
2016-08-17,58.9695973705834
2016-08-18,57.513557929334425
2016-08-19,72.07395234182415
2016-08-20,53.145439605587505
2016-08-21,53.145439605587505
2016-08-22,58.9695973705834
2016-08-23,56.78553820870994
2016-08-24,58.24157764995891
2016-08-25,55.32949876746097
2016-08-26,56.78553820870994
2016-08-27,50.96138044371405
2016-08-28,50.96138044371405
2016-08-29,53.87345932621199
2016-08-30,65.52177485620378
2016-08-31,61.15365653245686
2016-09-01,60.42563681183237
2016-09-02,54.60147904683648
2016-09-03,55.32949876746097
2016-09-04,54.60147904683648
2016-09-05,54.60147904683648
2016-09-06,53.87345932621199
2016-09-07,43.681183237469185
2016-09-08,53.145439605587505
2016-09-09,53.87345932621199
2016-09-10,48.049301561216105
2016-09-11,50.96138044371405
