date,trump isolated
2017-01-26,24.525862068965516
2017-01-27,38.423850574712645
2017-01-28,28.613505747126435
2017-01-29,56.40948275862068
2017-01-30,24.525862068965516
2017-01-31,24.525862068965516
2017-02-01,48.23419540229885
2017-02-02,35.97126436781609
2017-02-03,0.0
2017-02-04,0.0
2017-02-05,0.0
2017-02-06,23.708333333333332
2017-02-07,23.708333333333332
2017-02-08,23.708333333333332
2017-02-09,24.525862068965516
2017-02-10,25.3433908045977
2017-02-11,27.79597701149425
2017-02-12,0.0
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,24.525862068965516
2017-02-16,0.0
2017-02-17,0.0
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,0.0
2017-02-22,48.23419540229885
2017-02-23,24.525862068965516
2017-02-24,0.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,21.524613528797097
2017-03-02,0.0
2017-03-03,15.196416497633537
2017-03-04,0.0
2017-03-05,0.0
2017-03-06,32.082538109287604
2017-03-07,9.670446862130433
2017-03-08,0.0
2017-03-09,0.0
2017-03-10,0.0
2017-03-11,24.949927776753334
2017-03-12,13.489224137931034
2017-03-13,21.524613528797097
2017-03-14,0.0
2017-03-15,0.0
2017-03-16,11.854166666666666
2017-03-17,0.0
2017-03-18,0.0
2017-03-19,0.0
2017-03-20,21.524613528797097
2017-03-21,0.0
2017-03-22,9.670446862130433
2017-03-23,9.670446862130433
2017-03-24,23.03288846886717
2017-03-25,0.0
2017-03-26,0.0
2017-03-27,0.0
2017-03-28,21.524613528797097
2017-03-29,12.262931034482758
2017-03-30,0.0
2017-03-31,10.36119306656832
2017-04-01,0.0
2017-04-02,22.794624746450307
2017-04-03,39.37253365295962
2017-04-04,39.37253365295962
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,40.7540260618354
2017-04-08,46.2799956973385
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,20.031639928698752
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,19.340893724260866
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,20.031639928698752
2017-04-29,0.0
2017-04-30,23.485370950888193
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,22.794624746450307
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,20.031639928698752
2017-05-10,19.340893724260866
2017-05-11,58.71342737722048
2017-05-12,20.72238613313664
2017-05-13,69.0746204437888
2017-05-14,35.22805642633229
2017-05-15,20.031639928698752
2017-05-16,19.340893724260866
2017-05-17,19.340893724260866
2017-05-18,0.0
2017-05-19,0.0
2017-05-20,46.2799956973385
2017-05-21,0.0
2017-05-22,19.340893724260866
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,31.08357919970496
2017-05-26,21.413132337574527
2017-05-27,35.91880263077018
2017-05-28,48.352234310652165
2017-05-29,0.0
2017-05-30,60.094919786096256
2017-05-31,49.73372671952794
2017-06-01,30.392832995267074
2017-06-02,52.49671153727949
2017-06-03,35.22805642633229
