date,president obama golf
2016-11-27,28.969885773624092
2016-11-28,0.0
2016-11-29,24.97403946002077
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,38.9595015576324
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,12.9865005192108
2016-12-06,12.9865005192108
2016-12-07,24.97403946002077
2016-12-08,0.0
2016-12-09,26.97196261682243
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,0.0
2016-12-14,12.9865005192108
2016-12-15,0.0
2016-12-16,26.97196261682243
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,0.0
2016-12-20,52.94496365524403
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,13.98546209761163
2016-12-24,15.983385254413292
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,15.983385254413292
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,12.9865005192108
2017-01-06,0.0
2017-01-07,28.969885773624092
2017-01-08,27.97092419522326
2017-01-09,24.97403946002077
2017-01-10,0.0
2017-01-11,24.97403946002077
2017-01-12,0.0
2017-01-13,0.0
2017-01-14,13.98546209761163
2017-01-15,0.0
2017-01-16,11.98753894080997
2017-01-17,11.98753894080997
2017-01-18,11.98753894080997
2017-01-19,12.9865005192108
2017-01-20,75.92107995846314
2017-01-21,28.969885773624092
2017-01-22,84.91173416407062
2017-01-23,23.97507788161994
2017-01-24,11.98753894080997
2017-01-25,11.98753894080997
2017-01-26,0.0
2017-01-27,0.0
2017-01-28,0.0
2017-01-29,13.98546209761163
2017-01-30,23.97507788161994
2017-01-31,11.98753894080997
2017-02-01,36.96157840083074
2017-02-02,11.98753894080997
2017-02-03,0.0
2017-02-04,0.0
2017-02-05,13.98546209761163
2017-02-06,11.98753894080997
2017-02-07,11.98753894080997
2017-02-08,11.98753894080997
2017-02-09,36.96157840083074
2017-02-10,12.9865005192108
2017-02-11,13.98546209761163
2017-02-12,41.95638629283489
2017-02-13,11.98753894080997
2017-02-14,23.97507788161994
2017-02-15,36.96157840083074
2017-02-16,23.97507788161994
2017-02-17,25.9730010384216
2017-02-18,56.940809968847354
2017-02-19,27.97092419522326
2017-02-20,11.98753894080997
2017-02-21,23.97507788161994
2017-02-22,36.96157840083074
2017-02-23,24.97403946002077
2017-02-24,12.9865005192108
2017-02-25,28.969885773624092
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,25.48753894080997
2017-03-02,11.493769470404985
2017-03-03,11.9932502596054
2017-03-04,9.5
2017-03-05,6.0
2017-03-06,46.46884735202492
2017-03-07,19.493769470404985
2017-03-08,17.48753894080997
2017-03-09,0.0
2017-03-10,5.993769470404985
2017-03-11,6.5
2017-03-12,12.5
2017-03-13,25.48753894080997
2017-03-14,22.493769470404985
2017-03-15,25.981308411214954
2017-03-16,19.493769470404985
2017-03-17,61.45379023883697
2017-03-18,19.0
2017-03-19,77.47144340602284
2017-03-20,65.96261682242991
2017-03-21,68.96209761163033
2017-03-22,25.48753894080997
2017-03-23,11.493769470404985
2017-03-24,17.9932502596054
2017-03-25,24.484942886812046
2017-03-26,75.44807892004154
2017-03-27,85.95015576323988
2017-03-28,69.45586708203531
2017-03-29,43.97455867082036
2017-03-30,17.493769470404985
2017-03-31,17.9932502596054
2017-04-01,13.0
2017-04-02,13.0
2017-04-03,22.0
2017-04-04,28.0
2017-04-05,11.0
2017-04-06,17.0
2017-04-07,17.0
2017-04-08,20.0
2017-04-09,27.0
2017-04-10,34.0
2017-04-11,40.0
2017-04-12,58.0
2017-04-13,18.0
2017-04-14,39.0
2017-04-15,27.0
2017-04-16,40.0
2017-04-17,18.0
2017-04-18,22.0
2017-04-19,22.0
2017-04-20,17.0
2017-04-21,23.0
2017-04-22,13.0
2017-04-23,13.0
2017-04-24,28.0
2017-04-25,22.0
2017-04-26,16.0
2017-04-27,22.0
2017-04-28,12.0
2017-04-29,26.0
2017-04-30,33.0
2017-05-01,12.0
2017-05-02,22.0
2017-05-03,11.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,20.0
2017-05-07,0.0
2017-05-08,22.0
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,11.0
2017-05-12,23.0
2017-05-13,13.0
2017-05-14,20.0
2017-05-15,0.0
2017-05-16,0.0
2017-05-17,11.0
2017-05-18,0.0
2017-05-19,0.0
2017-05-20,13.0
2017-05-21,13.0
