date,president obama
2016-05-01,35.30465949820788
2016-05-02,30.71505376344086
2016-05-03,12.35663082437276
2016-05-04,13.062724014336917
2016-05-05,16.593189964157705
2016-05-06,6.707885304659499
2016-05-07,6.707885304659499
2016-05-08,4.589605734767025
2016-05-09,4.589605734767025
2016-05-10,4.589605734767025
2016-05-11,4.236559139784946
2016-05-12,3.5304659498207887
2016-05-13,5.648745519713262
2016-05-14,4.236559139784946
2016-05-15,4.589605734767025
2016-05-16,4.589605734767025
2016-05-17,4.942652329749104
2016-05-18,4.236559139784946
2016-05-19,3.8835125448028673
2016-05-20,4.236559139784946
2016-05-21,3.1774193548387095
2016-05-22,3.5304659498207887
2016-05-23,5.648745519713262
2016-05-24,4.942652329749104
2016-05-25,3.8835125448028673
2016-05-26,4.942652329749104
2016-05-27,6.00179211469534
2016-05-28,4.589605734767025
2016-05-29,3.8835125448028673
2016-05-30,4.236559139784946
2016-05-31,3.8835125448028673
2016-06-01,3.8835125448028673
2016-06-02,4.589605734767025
2016-06-03,3.8835125448028673
2016-06-04,3.5304659498207887
2016-06-05,3.1774193548387095
2016-06-06,3.1774193548387095
2016-06-07,3.5304659498207887
2016-06-08,5.295698924731183
2016-06-09,5.648745519713262
2016-06-10,12.00358422939068
2016-06-11,5.648745519713262
2016-06-12,9.17921146953405
2016-06-13,7.060931899641577
2016-06-14,8.120071684587813
2016-06-15,6.707885304659499
2016-06-16,6.00179211469534
2016-06-17,4.942652329749104
2016-06-18,4.236559139784946
2016-06-19,3.8835125448028673
2016-06-20,2.824372759856631
2016-06-21,3.1774193548387095
2016-06-22,2.471326164874552
2016-06-23,4.236559139784946
2016-06-24,4.942652329749104
2016-06-25,3.8835125448028673
2016-06-26,3.1774193548387095
2016-06-27,3.8835125448028673
2016-06-28,3.1774193548387095
2016-06-29,3.5304659498207887
2016-06-30,4.589605734767025
2016-07-01,3.1774193548387095
2016-07-02,3.1774193548387095
2016-07-03,2.471326164874552
2016-07-04,3.1774193548387095
2016-07-05,4.589605734767025
2016-07-06,4.236559139784946
2016-07-07,4.942652329749104
2016-07-08,7.413978494623656
2016-07-09,5.295698924731183
2016-07-10,3.8835125448028673
2016-07-11,3.8835125448028673
2016-07-12,7.767025089605735
2016-07-13,7.060931899641577
2016-07-14,4.942652329749104
2016-07-15,7.060931899641577
2016-07-16,3.5304659498207887
2016-07-17,5.295698924731183
2016-07-18,4.236559139784946
2016-07-19,5.295698924731183
2016-07-20,4.942652329749104
2016-07-21,4.589605734767025
2016-07-22,6.354838709677419
2016-07-23,4.589605734767025
2016-07-24,4.942652329749104
2016-07-25,3.8835125448028673
2016-07-26,8.473118279569892
2016-07-27,8.473118279569892
2016-07-28,27.184587813620073
2016-07-29,10.591397849462366
2016-07-30,5.648745519713262
2016-07-31,4.589605734767025
2016-08-01,5.648745519713262
2016-08-02,6.354838709677419
2016-08-03,6.00179211469534
2016-08-04,10.591397849462366
2016-08-05,6.707885304659499
2016-08-06,5.648745519713262
2016-08-07,3.8835125448028673
2016-08-08,3.1774193548387095
2016-08-09,2.824372759856631
2016-08-10,2.824372759856631
2016-08-11,3.8835125448028673
2016-08-12,3.8835125448028673
2016-08-13,2.824372759856631
2016-08-14,3.5304659498207887
2016-08-15,3.8835125448028673
2016-08-16,3.1774193548387095
2016-08-17,3.1774193548387095
2016-08-18,3.1774193548387095
2016-08-19,3.8835125448028673
2016-08-20,4.236559139784946
2016-08-21,2.824372759856631
2016-08-22,2.471326164874552
2016-08-23,4.236559139784946
2016-08-24,3.1774193548387095
2016-08-25,3.1774193548387095
2016-08-26,3.5304659498207887
2016-08-27,3.1774193548387095
2016-08-28,2.824372759856631
2016-08-29,2.471326164874552
2016-08-30,3.1774193548387095
2016-08-31,3.8835125448028673
2016-09-01,3.5304659498207887
2016-09-02,3.1774193548387095
2016-09-03,3.5304659498207887
2016-09-04,3.5304659498207887
2016-09-05,6.354838709677419
2016-09-06,15.18100358422939
2016-09-07,7.060931899641577
2016-09-08,10.238351254480287
2016-09-09,7.060931899641577
2016-09-10,5.648745519713262
2016-09-11,4.589605734767025
2016-09-12,4.942652329749104
2016-09-13,5.648745519713262
2016-09-14,4.942652329749104
2016-09-15,4.942652329749104
2016-09-16,5.295698924731183
2016-09-17,3.8835125448028673
2016-09-18,4.236559139784946
2016-09-19,4.942652329749104
2016-09-20,4.942652329749104
2016-09-21,5.295698924731183
2016-09-22,5.648745519713262
2016-09-23,4.942652329749104
2016-09-24,4.942652329749104
2016-09-25,5.648745519713262
2016-09-26,5.295698924731183
2016-09-27,10.591397849462366
2016-09-28,6.00179211469534
2016-09-29,6.00179211469534
2016-09-30,4.942652329749104
2016-10-01,4.118279569892473
2016-10-02,4.118279569892473
2016-10-03,4.294802867383512
2016-10-04,5.824372759856631
2016-10-05,5.147849462365592
2016-10-06,4.118279569892473
2016-10-07,4.794802867383512
2016-10-08,4.618279569892473
2016-10-09,4.794802867383512
2016-10-10,7.206989247311828
2016-10-11,6.000896057347671
2016-10-12,7.530465949820789
2016-10-13,7.206989247311828
2016-10-14,8.060035842293907
2016-10-15,6.17741935483871
2016-10-16,5.324372759856631
2016-10-17,5.824372759856631
2016-10-18,6.853942652329749
2016-10-19,7.706989247311828
2016-10-20,10.972222222222221
2016-10-21,6.853942652329749
2016-10-22,6.000896057347671
2016-10-23,5.824372759856631
2016-10-24,6.17741935483871
2016-10-25,8.236559139784946
2016-10-26,7.030465949820789
2016-10-27,6.17741935483871
2016-10-28,6.000896057347671
2016-10-29,5.147849462365592
2016-10-30,4.971326164874553
2016-10-31,6.000896057347671
2016-11-01,7.883512544802867
2016-11-02,9.0
2016-11-03,9.0
2016-11-04,8.0
2016-11-05,10.0
2016-11-06,10.0
2016-11-07,14.0
2016-11-08,26.0
2016-11-09,100.0
2016-11-10,50.0
2016-11-11,33.0
2016-11-12,22.0
2016-11-13,16.0
2016-11-14,17.0
2016-11-15,15.0
2016-11-16,11.0
2016-11-17,9.0
