date,employment agency
2016-05-01,32.59336559876649
2016-05-02,62.22369796128148
2016-05-03,76.05118639712181
2016-05-04,74.07583090628748
2016-05-05,66.17440894295015
2016-05-06,72.10047541545315
2016-05-07,36.54407658043515
2016-05-08,32.59336559876649
2016-05-09,98.76777454171663
2016-05-10,76.05118639712181
2016-05-11,77.03886414253897
2016-05-12,80.00189737879047
2016-05-13,73.0881531608703
2016-05-14,39.50710981668665
2016-05-15,38.519432071269485
2016-05-16,74.07583090628748
2016-05-17,80.98957512420765
2016-05-18,84.94028610587631
2016-05-19,69.13744217920164
2016-05-20,63.21137570669865
2016-05-21,36.54407658043515
2016-05-22,40.494787562103824
2016-05-23,69.13744217920164
2016-05-24,96.7924190508823
2016-05-25,67.16208668836731
2016-05-26,74.07583090628748
2016-05-27,67.16208668836731
2016-05-28,32.59336559876649
2016-05-29,30.618010107932157
2016-05-30,62.22369796128148
2016-05-31,83.95260836045914
2016-06-01,69.13744217920164
2016-06-02,73.0881531608703
2016-06-03,62.22369796128148
2016-06-04,37.53175432585232
2016-06-05,33.581043344183655
2016-06-06,76.05118639712181
2016-06-07,84.94028610587631
2016-06-08,85.92796385129347
2016-06-09,71.11279767003597
2016-06-10,52.346920507109814
2016-06-11,36.54407658043515
2016-06-12,32.59336559876649
2016-06-13,78.02654188795614
2016-06-14,80.00189737879047
2016-06-15,84.94028610587631
2016-06-16,72.10047541545315
2016-06-17,75.06350865170464
2016-06-18,51.35924276169265
2016-06-19,34.56872108960082
2016-06-20,73.0881531608703
2016-06-21,77.03886414253897
2016-06-22,68.14976443378448
2016-06-23,67.16208668836731
2016-06-24,62.22369796128148
2016-06-25,39.50710981668665
2016-06-26,49.38388727085832
2016-06-27,73.0881531608703
2016-06-28,74.07583090628748
2016-06-29,87.9033193421278
2016-06-30,61.236020215864315
2016-07-01,52.346920507109814
2016-07-02,47.408531780023985
2016-07-03,44.44549854377249
2016-07-04,58.27298697961282
2016-07-05,80.00189737879047
2016-07-06,62.22369796128148
2016-07-07,82.96493061504198
2016-07-08,64.19905345211582
2016-07-09,29.63033236251499
2016-07-10,35.55639883501799
2016-07-11,80.00189737879047
2016-07-12,72.10047541545315
2016-07-13,66.17440894295015
2016-07-14,63.21137570669865
2016-07-15,70.12511992461882
2016-07-16,39.50710981668665
2016-07-17,32.59336559876649
2016-07-18,84.94028610587631
2016-07-19,78.02654188795614
2016-07-20,72.10047541545315
2016-07-21,72.10047541545315
2016-07-22,55.30995374336132
2016-07-23,45.43317628918965
2016-07-24,38.519432071269485
2016-07-25,71.11279767003597
2016-07-26,66.17440894295015
2016-07-27,85.92796385129347
2016-07-28,56.297631488778485
2016-07-29,56.297631488778485
2016-07-30,37.53175432585232
2016-07-31,29.63033236251499
2016-08-01,72.10047541545315
2016-08-02,68.14976443378448
2016-08-03,70.12511992461882
2016-08-04,63.21137570669865
2016-08-05,58.27298697961282
2016-08-06,50.37156501627548
2016-08-07,32.59336559876649
2016-08-08,60.24834247044715
2016-08-09,76.05118639712181
2016-08-10,73.0881531608703
2016-08-11,76.05118639712181
2016-08-12,71.11279767003597
2016-08-13,43.45782079835532
2016-08-14,38.519432071269485
2016-08-15,81.9772528696248
2016-08-16,73.0881531608703
2016-08-17,71.11279767003597
2016-08-18,67.16208668836731
2016-08-19,63.21137570669865
2016-08-20,32.59336559876649
2016-08-21,34.56872108960082
2016-08-22,93.8293858146308
2016-08-23,75.06350865170464
2016-08-24,69.13744217920164
2016-08-25,75.06350865170464
2016-08-26,67.16208668836731
2016-08-27,34.56872108960082
2016-08-28,39.50710981668665
2016-08-29,61.236020215864315
2016-08-30,79.0142196333733
2016-08-31,61.236020215864315
2016-09-01,67.16208668836731
2016-09-02,49.38388727085832
2016-09-03,30.618010107932157
2016-09-04,29.63033236251499
2016-09-05,49.38388727085832
2016-09-06,73.0881531608703
2016-09-07,77.03886414253897
2016-09-08,65.18673119753298
2016-09-09,69.13744217920164
2016-09-10,25.679621380846324
2016-09-11,44.44549854377249
2016-09-12,70.12511992461882
2016-09-13,73.0881531608703
2016-09-14,79.0142196333733
2016-09-15,76.05118639712181
2016-09-16,61.236020215864315
2016-09-17,24.69194363542916
2016-09-18,36.54407658043515
2016-09-19,80.98957512420765
2016-09-20,68.14976443378448
2016-09-21,73.0881531608703
2016-09-22,73.0881531608703
2016-09-23,53.33459825252698
2016-09-24,37.53175432585232
2016-09-25,34.56872108960082
2016-09-26,73.0881531608703
2016-09-27,66.17440894295015
2016-09-28,65.18673119753298
2016-09-29,56.297631488778485
2016-09-30,62.22369796128148
2016-10-01,25.969670849751587
2016-10-02,34.713206698646566
2016-10-03,64.13974965735824
2016-10-04,67.57721325167037
2016-10-05,69.93966078464965
2016-10-06,65.51451944492034
2016-10-07,55.82212287990406
2016-10-08,38.644509165667294
2016-10-09,28.845365770087373
2016-10-10,65.03038482953572
2016-10-11,73.7739206784307
2016-10-12,69.84261821140997
2016-10-13,59.12372687168066
2016-10-14,60.198742933013534
2016-10-15,31.285447361658385
2016-10-16,49.78930957683742
2016-10-17,73.75451216378278
2016-10-18,64.02329856947063
2016-10-19,84.51222053280794
2016-10-20,62.5611904659928
2016-10-21,49.87664789275312
2016-10-22,38.073036234366974
2016-10-23,33.270507109816684
2016-10-24,69.4070048826452
2016-10-25,58.71722631488779
2016-10-26,64.6044757580949
2016-10-27,73.81273770772657
2016-10-28,48.92778717663183
2016-10-29,24.95288033236252
2016-10-30,36.16561054480041
2016-10-31,63.59738949802981
2016-11-01,67.40253661983897
2016-11-02,71.65192307692307
