date,putin nazi
2016-12-09,14.88412017167382
2016-12-10,9.302575107296137
2016-12-11,8.062231759656653
2016-12-12,6.8218884120171674
2016-12-13,6.8218884120171674
2016-12-14,0.0
2016-12-15,0.0
2016-12-16,0.0
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,0.0
2016-12-20,6.8218884120171674
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,15.504291845493562
2016-12-24,8.682403433476395
2016-12-25,0.0
2016-12-26,8.062231759656653
2016-12-27,7.44206008583691
2016-12-28,7.44206008583691
2016-12-29,7.44206008583691
2016-12-30,7.44206008583691
2016-12-31,0.0
2017-01-01,17.36480686695279
2017-01-02,7.44206008583691
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,6.8218884120171674
2017-01-06,0.0
2017-01-07,8.062231759656653
2017-01-08,15.504291845493562
2017-01-09,6.8218884120171674
2017-01-10,6.8218884120171674
2017-01-11,6.8218884120171674
2017-01-12,9.92274678111588
2017-01-13,6.8218884120171674
2017-01-14,7.44206008583691
2017-01-15,7.44206008583691
2017-01-16,13.023605150214593
2017-01-17,6.8218884120171674
2017-01-18,13.023605150214593
2017-01-19,0.0
2017-01-20,6.8218884120171674
2017-01-21,22.946351931330472
2017-01-22,7.44206008583691
2017-01-23,26.667381974248926
2017-01-24,13.643776824034335
2017-01-25,6.8218884120171674
2017-01-26,20.465665236051503
2017-01-27,13.643776824034335
2017-01-28,8.062231759656653
2017-01-29,15.504291845493562
2017-01-30,6.8218884120171674
2017-01-31,6.8218884120171674
2017-02-01,0.0
2017-02-02,6.8218884120171674
2017-02-03,0.0
2017-02-04,11.783261802575106
2017-02-05,7.44206008583691
2017-02-06,6.8218884120171674
2017-02-07,6.8218884120171674
2017-02-08,13.023605150214593
2017-02-09,0.0
2017-02-10,0.0
2017-02-11,0.0
2017-02-12,7.44206008583691
2017-02-13,6.201716738197424
2017-02-14,6.8218884120171674
2017-02-15,0.0
2017-02-16,16.744635193133046
2017-02-17,0.0
2017-02-18,0.0
2017-02-19,7.44206008583691
2017-02-20,6.8218884120171674
2017-02-21,13.023605150214593
2017-02-22,6.8218884120171674
2017-02-23,9.92274678111588
2017-02-24,6.8218884120171674
