date,putin pizza
2016-12-16,20.0
2016-12-17,44.0
2016-12-18,0.0
2016-12-19,19.0
2016-12-20,29.0
2016-12-21,20.0
2016-12-22,60.0
2016-12-23,52.0
2016-12-24,48.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,100.0
2016-12-30,21.0
2016-12-31,35.0
2017-01-01,0.0
2017-01-02,20.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,19.0
2017-01-07,21.0
2017-01-08,21.0
2017-01-09,18.0
2017-01-10,18.0
2017-01-11,18.0
2017-01-12,18.0
2017-01-13,19.0
2017-01-14,21.0
2017-01-15,21.0
2017-01-16,0.0
2017-01-17,27.0
2017-01-18,18.0
2017-01-19,37.0
2017-01-20,37.0
2017-01-21,42.0
2017-01-22,41.0
2017-01-23,36.0
2017-01-24,0.0
2017-01-25,0.0
2017-01-26,0.0
2017-01-27,0.0
2017-01-28,63.0
2017-01-29,21.0
2017-01-30,18.0
2017-01-31,0.0
2017-02-01,18.0
2017-02-02,35.0
2017-02-03,0.0
2017-02-04,21.0
2017-02-05,50.0
2017-02-06,0.0
2017-02-07,35.0
2017-02-08,18.0
2017-02-09,27.0
2017-02-10,0.0
2017-02-11,21.0
2017-02-12,20.0
2017-02-13,18.0
2017-02-14,18.0
2017-02-15,0.0
2017-02-16,18.0
2017-02-17,0.0
2017-02-18,21.0
2017-02-19,21.0
2017-02-20,36.0
2017-02-21,27.0
2017-02-22,36.0
2017-02-23,0.0
2017-02-24,19.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,0.0
2017-03-02,14.926605504587155
2017-03-03,6.13826998689384
2017-03-04,6.773263433813892
2017-03-05,26.77326343381389
2017-03-06,0.0
2017-03-07,0.0
2017-03-08,5.9266055045871555
2017-03-09,0.0
2017-03-10,0.0
2017-03-11,23.546526867627783
2017-03-12,23.334862385321102
2017-03-13,17.889908256880734
2017-03-14,14.926605504587155
2017-03-15,0.0
2017-03-16,14.926605504587155
2017-03-17,0.0
2017-03-18,6.773263433813892
2017-03-19,0.0
2017-03-20,35.77981651376147
2017-03-21,14.926605504587155
2017-03-22,20.85321100917431
2017-03-23,0.0
2017-03-24,0.0
2017-03-25,42.166448230668415
2017-03-26,17.484927916120576
2017-03-27,0.0
2017-03-28,20.85321100917431
2017-03-29,0.0
2017-03-30,9.0
2017-03-31,0.0
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,12.27653997378768
2017-04-04,12.27653997378768
2017-04-05,0.0
2017-04-06,36.82961992136304
2017-04-07,12.699868938401048
2017-04-08,14.393184796854522
2017-04-09,0.0
2017-04-10,24.55307994757536
2017-04-11,12.27653997378768
2017-04-12,18.626474442988204
2017-04-13,25.399737876802096
2017-04-14,13.969855832241153
2017-04-15,0.0
2017-04-16,29.209698558322412
2017-04-17,0.0
2017-04-18,11.853211009174311
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,12.699868938401048
2017-04-22,0.0
2017-04-23,13.969855832241153
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,11.853211009174311
2017-04-27,0.0
2017-04-28,12.27653997378768
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,13.123197903014416
2017-05-02,0.0
2017-05-03,11.853211009174311
2017-05-04,23.706422018348622
2017-05-05,12.699868938401048
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,11.853211009174311
2017-05-09,24.12975098296199
2017-05-10,0.0
2017-05-11,12.27653997378768
2017-05-12,0.0
2017-05-13,0.0
2017-05-14,14.393184796854522
2017-05-15,12.27653997378768
2017-05-16,12.27653997378768
2017-05-17,0.0
2017-05-18,18.203145478374836
2017-05-19,24.976408912188727
2017-05-20,14.393184796854522
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,11.853211009174311
2017-05-24,12.27653997378768
2017-05-25,25.399737876802096
2017-05-26,13.123197903014416
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,25.399737876802096
2017-05-30,12.27653997378768
2017-05-31,0.0
2017-06-01,0.0
2017-06-02,38.099606815203146
2017-06-03,14.393184796854522
