date,secretary of state hillary clinton
2016-05-01,2.7800269905533064
2016-05-02,4.44804318488529
2016-05-03,2.7800269905533064
2016-05-04,7.784075573549258
2016-05-05,3.892037786774629
2016-05-06,6.116059379217274
2016-05-07,2.7800269905533064
2016-05-08,2.7800269905533064
2016-05-09,4.44804318488529
2016-05-10,3.892037786774629
2016-05-11,2.224021592442645
2016-05-12,3.892037786774629
2016-05-13,2.224021592442645
2016-05-14,3.336032388663968
2016-05-15,3.336032388663968
2016-05-16,4.44804318488529
2016-05-17,3.892037786774629
2016-05-18,3.892037786774629
2016-05-19,3.892037786774629
2016-05-20,1.668016194331984
2016-05-21,3.892037786774629
2016-05-22,3.892037786774629
2016-05-23,3.892037786774629
2016-05-24,2.7800269905533064
2016-05-25,4.44804318488529
2016-05-26,5.004048582995952
2016-05-27,5.004048582995952
2016-05-28,2.7800269905533064
2016-05-29,3.336032388663968
2016-05-30,2.7800269905533064
2016-05-31,2.224021592442645
2016-06-01,6.116059379217274
2016-06-02,7.228070175438597
2016-06-03,4.44804318488529
2016-06-04,5.004048582995952
2016-06-05,3.336032388663968
2016-06-06,1.1120107962213226
2016-06-07,5.560053981106613
2016-06-08,12.232118758434549
2016-06-09,10.008097165991904
2016-06-10,11.120107962213226
2016-06-11,5.560053981106613
2016-06-12,6.116059379217274
2016-06-13,3.892037786774629
2016-06-14,3.892037786774629
2016-06-15,5.004048582995952
2016-06-16,3.336032388663968
2016-06-17,5.004048582995952
2016-06-18,3.892037786774629
2016-06-19,2.7800269905533064
2016-06-20,2.7800269905533064
2016-06-21,2.224021592442645
2016-06-22,6.116059379217274
2016-06-23,2.7800269905533064
2016-06-24,2.7800269905533064
2016-06-25,2.224021592442645
2016-06-26,3.336032388663968
2016-06-27,3.336032388663968
2016-06-28,8.34008097165992
2016-06-29,2.7800269905533064
2016-06-30,5.560053981106613
2016-07-01,4.44804318488529
2016-07-02,2.7800269905533064
2016-07-03,5.004048582995952
2016-07-04,3.336032388663968
2016-07-05,10.564102564102564
2016-07-06,11.676113360323887
2016-07-07,7.228070175438597
2016-07-08,7.784075573549258
2016-07-09,5.560053981106613
2016-07-10,1.668016194331984
2016-07-11,1.668016194331984
2016-07-12,2.224021592442645
2016-07-13,3.336032388663968
2016-07-14,5.560053981106613
2016-07-15,4.44804318488529
2016-07-16,5.560053981106613
2016-07-17,3.892037786774629
2016-07-18,5.560053981106613
2016-07-19,8.89608636977058
2016-07-20,13.344129554655872
2016-07-21,7.784075573549258
2016-07-22,14.456140350877194
2016-07-23,11.120107962213226
2016-07-24,10.008097165991904
2016-07-25,7.784075573549258
2016-07-26,17.2361673414305
2016-07-27,24.464237516869098
2016-07-28,26.688259109311744
2016-07-29,27.244264507422404
2016-07-30,15.012145748987855
2016-07-31,13.900134952766532
2016-08-01,8.89608636977058
2016-08-02,6.116059379217274
2016-08-03,11.120107962213226
2016-08-04,6.116059379217274
2016-08-05,8.89608636977058
2016-08-06,5.560053981106613
2016-08-07,6.116059379217274
2016-08-08,5.004048582995952
2016-08-09,5.560053981106613
2016-08-10,9.452091767881242
2016-08-11,6.672064777327936
2016-08-12,5.560053981106613
2016-08-13,3.336032388663968
2016-08-14,3.892037786774629
2016-08-15,3.892037786774629
2016-08-16,3.336032388663968
2016-08-17,2.7800269905533064
2016-08-18,3.336032388663968
2016-08-19,5.560053981106613
2016-08-20,3.892037786774629
2016-08-21,3.336032388663968
2016-08-22,4.44804318488529
2016-08-23,6.116059379217274
2016-08-24,6.116059379217274
2016-08-25,6.116059379217274
2016-08-26,7.784075573549258
2016-08-27,5.560053981106613
2016-08-28,3.336032388663968
2016-08-29,3.336032388663968
2016-08-30,3.892037786774629
2016-08-31,2.7800269905533064
2016-09-01,6.116059379217274
2016-09-02,5.560053981106613
2016-09-03,4.44804318488529
2016-09-04,3.336032388663968
2016-09-05,4.44804318488529
2016-09-06,4.44804318488529
2016-09-07,5.560053981106613
2016-09-08,10.008097165991904
2016-09-09,5.004048582995952
2016-09-10,2.7800269905533064
2016-09-11,7.784075573549258
2016-09-12,9.452091767881242
2016-09-13,7.228070175438597
2016-09-14,4.44804318488529
2016-09-15,4.44804318488529
2016-09-16,2.7800269905533064
2016-09-17,4.44804318488529
2016-09-18,3.336032388663968
2016-09-19,3.892037786774629
2016-09-20,5.004048582995952
2016-09-21,6.672064777327936
2016-09-22,3.892037786774629
2016-09-23,5.004048582995952
2016-09-24,3.336032388663968
2016-09-25,6.116059379217274
2016-09-26,7.784075573549258
2016-09-27,55.60053981106613
2016-09-28,19.460188933873145
2016-09-29,10.008097165991904
2016-09-30,13.344129554655872
2016-10-01,11.004048582995953
2016-10-02,7.614035087719298
2016-10-03,8.44804318488529
2016-10-04,11.116059379217274
2016-10-05,15.228070175438596
2016-10-06,7.94804318488529
2016-10-07,8.89203778677463
2016-10-08,8.94804318488529
2016-10-09,9.504048582995953
2016-10-10,46.908232118758434
2016-10-11,16.34008097165992
2016-10-12,14.006072874493928
2016-10-13,13.060053981106613
2016-10-14,12.728070175438596
2016-10-15,7.836032388663968
2016-10-16,10.838056680161944
2016-10-17,11.060053981106613
2016-10-18,9.504048582995953
2016-10-19,13.116059379217274
2016-10-20,37.12618083670715
2016-10-21,11.894062078272604
2016-10-22,9.726045883940621
2016-10-23,8.614035087719298
2016-10-24,7.89203778677463
2016-10-25,8.39203778677463
2016-10-26,10.282051282051281
2016-10-27,9.782051282051281
2016-10-28,15.28407557354926
2016-10-29,12.838056680161944
2016-10-30,9.726045883940621
2016-10-31,13.728070175438596
