date,hillary private server
2016-05-01,0.0
2016-05-02,5.0
2016-05-03,5.0
2016-05-04,5.0
2016-05-05,5.0
2016-05-06,11.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,5.0
2016-05-10,5.0
2016-05-11,5.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,5.0
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,5.0
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,5.0
2016-05-25,21.0
2016-05-26,16.0
2016-05-27,0.0
2016-05-28,19.0
2016-05-29,6.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,16.0
2016-06-02,11.0
2016-06-03,6.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,5.0
2016-06-09,27.0
2016-06-10,6.0
2016-06-11,12.0
2016-06-12,12.0
2016-06-13,5.0
2016-06-14,5.0
2016-06-15,0.0
2016-06-16,5.0
2016-06-17,11.0
2016-06-18,6.0
2016-06-19,12.0
2016-06-20,5.0
2016-06-21,0.0
2016-06-22,5.0
2016-06-23,5.0
2016-06-24,0.0
2016-06-25,6.0
2016-06-26,6.0
2016-06-27,0.0
2016-06-28,5.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,11.0
2016-07-02,51.0
2016-07-03,26.0
2016-07-04,11.0
2016-07-05,44.0
2016-07-06,55.0
2016-07-07,72.0
2016-07-08,34.0
2016-07-09,26.0
2016-07-10,6.0
2016-07-11,5.0
2016-07-12,11.0
2016-07-13,0.0
2016-07-14,5.0
2016-07-15,0.0
2016-07-16,13.0
2016-07-17,0.0
2016-07-18,5.0
2016-07-19,5.0
2016-07-20,11.0
2016-07-21,0.0
2016-07-22,17.0
2016-07-23,0.0
2016-07-24,6.0
2016-07-25,5.0
2016-07-26,0.0
2016-07-27,22.0
2016-07-28,22.0
2016-07-29,34.0
2016-07-30,6.0
2016-07-31,0.0
2016-08-01,16.0
2016-08-02,11.0
2016-08-03,5.0
2016-08-04,5.0
2016-08-05,17.0
2016-08-06,0.0
2016-08-07,0.0
2016-08-08,11.0
2016-08-09,5.0
2016-08-10,5.0
2016-08-11,22.0
2016-08-12,0.0
2016-08-13,6.0
2016-08-14,6.0
2016-08-15,0.0
2016-08-16,5.0
2016-08-17,11.0
2016-08-18,0.0
2016-08-19,23.0
2016-08-20,31.0
2016-08-21,12.0
2016-08-22,11.0
2016-08-23,11.0
2016-08-24,5.0
2016-08-25,0.0
2016-08-26,17.0
2016-08-27,6.0
2016-08-28,0.0
2016-08-29,5.0
2016-08-30,5.0
2016-08-31,5.0
2016-09-01,0.0
2016-09-02,11.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,16.0
2016-09-06,0.0
2016-09-07,16.0
2016-09-08,16.0
2016-09-09,5.0
2016-09-10,0.0
2016-09-11,0.0
2016-09-12,0.0
2016-09-13,5.0
2016-09-14,5.0
2016-09-15,0.0
2016-09-16,0.0
2016-09-17,0.0
2016-09-18,6.0
