date,bankruptcy
2016-12-13,66.58494817485354
2016-12-14,67.49707075259126
2016-12-15,66.58494817485354
2016-12-16,58.37584497521406
2016-12-17,35.572780531771066
2016-12-18,29.18792248760703
2016-12-19,64.7607030193781
2016-12-20,63.84858044164037
2016-12-21,63.84858044164037
2016-12-22,52.90310950878774
2016-12-23,46.5182514646237
2016-12-24,26.45155475439387
2016-12-25,19.15457413249211
2016-12-26,31.012167643082467
2016-12-27,59.28796755295178
2016-12-28,62.93645786390265
2016-12-29,62.024335286164934
2016-12-30,51.99098693105002
2016-12-31,32.83641279855791
2017-01-01,31.012167643082467
2017-01-02,45.60612888688598
2017-01-03,67.49707075259126
2017-01-04,75.70617395223073
2017-01-05,72.96980621901757
2017-01-06,64.7607030193781
2017-01-07,42.869761153672826
2017-01-08,38.30914826498422
2017-01-09,73.88192879675529
2017-01-10,81.17890941865704
2017-01-11,75.70617395223073
2017-01-12,73.88192879675529
2017-01-13,67.49707075259126
2017-01-14,41.95763857593511
2017-01-15,37.397025687246504
2017-01-16,58.37584497521406
2017-01-17,72.05768364127985
2017-01-18,80.26678684091932
2017-01-19,83.91527715187021
2017-01-20,73.88192879675529
2017-01-21,46.5182514646237
2017-01-22,43.781883731410545
2017-01-23,78.44254168544389
2017-01-24,81.17890941865704
2017-01-25,76.61829652996845
2017-01-26,80.26678684091932
2017-01-27,72.96980621901757
2017-01-28,44.694006309148264
2017-01-29,41.04551599819739
2017-01-30,73.88192879675529
2017-01-31,81.17890941865704
2017-02-01,78.44254168544389
2017-02-02,73.88192879675529
2017-02-03,67.49707075259126
2017-02-04,47.43037404236142
2017-02-05,34.66065795403335
2017-02-06,74.79405137449301
2017-02-07,75.70617395223073
2017-02-08,76.61829652996845
2017-02-09,73.88192879675529
2017-02-10,68.40919333032897
2017-02-11,47.43037404236142
2017-02-12,48.34249662009914
2017-02-13,67.49707075259126
2017-02-14,73.88192879675529
2017-02-15,81.17890941865704
2017-02-16,75.70617395223073
2017-02-17,66.58494817485354
2017-02-18,48.34249662009914
2017-02-19,41.95763857593511
2017-02-20,64.7607030193781
2017-02-21,81.17890941865704
2017-02-22,78.44254168544389
2017-02-23,77.53041910770617
2017-02-24,74.79405137449301
2017-02-25,51.0788643533123
2017-02-26,43.781883731410545
2017-02-27,81.17890941865704
2017-02-28,87.56376746282109
2017-03-01,80.6611270415209
2017-03-02,82.983903945316
2017-03-03,75.58074717478723
2017-03-04,44.30264300991006
2017-03-05,42.47839785443462
2017-03-06,76.92769581166843
2017-03-07,82.52784265644715
2017-03-08,75.58074717478723
2017-03-09,79.31417840463972
2017-03-10,71.82608071520937
2017-03-11,45.71329733596744
2017-03-12,41.502569587520696
2017-03-13,77.90352407858234
2017-03-14,78.3383501377258
2017-03-15,79.74900446378318
2017-03-16,70.91395813747165
2017-03-17,65.33504652241834
2017-03-18,43.39052043217234
2017-03-19,42.91322391357808
2017-03-20,80.26877144182824
2017-03-21,82.11425182702908
2017-03-22,79.31417840463972
2017-03-23,76.49286975252497
2017-03-24,69.54577427086508
2017-03-25,46.689125602881354
2017-03-26,43.36928520244694
2017-03-27,80.18383052292666
2017-03-28,83.43996523418485
2017-03-29,91.42659467193488
2017-03-30,83.93849698250452
2017-03-31,72.30337723380363
2017-04-01,46.62541991370516
2017-04-02,43.91127971067185
2017-04-03,82.09500119821259
2017-04-04,87.8225594213437
2017-04-05,93.55011764447481
2017-04-06,78.27662904945852
2017-04-07,72.54907082632741
2017-04-08,43.91127971067185
2017-04-09,42.002093636294816
2017-04-10,80.18581512383555
2017-04-11,84.00418727258963
2017-04-12,80.18581512383555
2017-04-13,72.54907082632741
2017-04-14,66.8215126031963
2017-04-15,44.86587274786037
2017-04-16,42.002093636294816
2017-04-17,81.14040816102407
2017-04-18,81.14040816102407
2017-04-19,79.23122208664704
2017-04-20,77.32203601227
2017-04-21,72.54907082632741
2017-04-22,48.684244896614445
2017-04-23,44.86587274786037
2017-04-24,84.00418727258963
2017-04-25,82.09500119821259
2017-04-26,74.45825690070444
2017-04-27,76.36744297508147
2017-04-28,69.68529171476185
2017-04-29,41.04750059910629
2017-04-30,43.91127971067185
2017-05-01,82.09500119821259
2017-05-02,79.23122208664704
2017-05-03,90.68633853290926
2017-05-04,95.45930371885186
2017-05-05,84.00418727258963
2017-05-06,60.13936134287667
2017-05-07,56.32098919412259
2017-05-08,82.09500119821259
2017-05-09,86.86796638415518
2017-05-10,84.95878030977815
2017-05-11,79.23122208664704
2017-05-12,69.68529171476185
2017-05-13,44.86587274786037
2017-05-14,40.09290756191778
2017-05-15,83.04959423540112
2017-05-16,83.04959423540112
2017-05-17,80.18581512383555
2017-05-18,78.27662904945852
2017-05-19,69.68529171476185
2017-05-20,45.82046578504889
2017-05-21,43.91127971067185
2017-05-22,76.36744297508147
2017-05-23,74.45825690070444
2017-05-24,77.32203601227
2017-05-25,75.41284993789296
2017-05-26,65.86691956600778
2017-05-27,38.18372148754074
2017-05-28,36.274535413163704
2017-05-29,42.002093636294816
2017-05-30,73.50366386351592
2017-05-31,75.41284993789296
2017-06-01,71.59447778913889
2017-06-02,65.86691956600778
2017-06-03,37.22912845035222
