date,obama golf
2016-12-13,11.889908256880734
2016-12-14,4.458715596330276
2016-12-15,2.9724770642201834
2016-12-16,9.660550458715596
2016-12-17,5.201834862385321
2016-12-18,17.091743119266056
2016-12-19,14.862385321100916
2016-12-20,31.954128440366972
2016-12-21,9.660550458715596
2016-12-22,9.660550458715596
2016-12-23,31.211009174311926
2016-12-24,20.807339449541285
2016-12-25,3.715596330275229
2016-12-26,10.403669724770642
2016-12-27,12.63302752293578
2016-12-28,14.119266055045872
2016-12-29,12.63302752293578
2016-12-30,5.201834862385321
2016-12-31,12.63302752293578
2017-01-01,18.577981651376145
2017-01-02,14.119266055045872
2017-01-03,4.458715596330276
2017-01-04,5.944954128440367
2017-01-05,4.458715596330276
2017-01-06,11.146788990825687
2017-01-07,8.174311926605505
2017-01-08,5.201834862385321
2017-01-09,11.146788990825687
2017-01-10,5.944954128440367
2017-01-11,34.92660550458716
2017-01-12,31.211009174311926
2017-01-13,16.34862385321101
2017-01-14,28.238532110091743
2017-01-15,19.321100917431192
2017-01-16,14.119266055045872
2017-01-17,46.07339449541284
2017-01-18,35.669724770642205
2017-01-19,21.55045871559633
2017-01-20,45.330275229357795
2017-01-21,56.477064220183486
2017-01-22,74.31192660550458
2017-01-23,26.75229357798165
2017-01-24,21.55045871559633
2017-01-25,17.091743119266056
2017-01-26,13.376146788990825
2017-01-27,14.862385321100916
2017-01-28,10.403669724770642
2017-01-29,8.174311926605505
2017-01-30,12.63302752293578
2017-01-31,12.63302752293578
2017-02-01,15.605504587155963
2017-02-02,11.146788990825687
2017-02-03,7.431192660550458
2017-02-04,26.009174311926603
2017-02-05,20.807339449541285
2017-02-06,17.091743119266056
2017-02-07,17.091743119266056
2017-02-08,11.146788990825687
2017-02-09,12.63302752293578
2017-02-10,13.376146788990825
2017-02-11,18.577981651376145
2017-02-12,46.07339449541284
2017-02-13,23.779816513761467
2017-02-14,20.06422018348624
2017-02-15,11.146788990825687
2017-02-16,7.431192660550458
2017-02-17,13.376146788990825
2017-02-18,41.61467889908257
2017-02-19,26.75229357798165
2017-02-20,27.495412844036696
2017-02-21,51.27522935779817
2017-02-22,34.18348623853211
2017-02-23,27.495412844036696
2017-02-24,19.321100917431192
2017-02-25,14.862385321100916
2017-02-26,21.55045871559633
2017-02-27,11.889908256880734
2017-02-28,7.431192660550458
2017-03-01,20.42102074469539
2017-03-02,8.486466295564078
