date,hillary clinton impeachment
2016-05-01,7.5469543147208125
2016-05-02,0.0
2016-05-03,0.0
2016-05-04,3.1776649746192893
2016-05-05,6.355329949238579
2016-05-06,5.163705583756345
2016-05-07,3.5748730964467006
2016-05-08,5.560913705583756
2016-05-09,6.355329949238579
2016-05-10,6.355329949238579
2016-05-11,3.1776649746192893
2016-05-12,9.532994923857867
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,5.560913705583756
2016-05-16,4.7664974619289335
2016-05-17,3.1776649746192893
2016-05-18,3.1776649746192893
2016-05-19,4.7664974619289335
2016-05-20,6.355329949238579
2016-05-21,7.5469543147208125
2016-05-22,5.560913705583756
2016-05-23,3.1776649746192893
2016-05-24,3.1776649746192893
2016-05-25,4.7664974619289335
2016-05-26,9.930203045685278
2016-05-27,3.1776649746192893
2016-05-28,7.5469543147208125
2016-05-29,5.560913705583756
2016-05-30,3.1776649746192893
2016-05-31,3.1776649746192893
2016-06-01,3.1776649746192893
2016-06-02,3.1776649746192893
2016-06-03,6.75253807106599
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,6.355329949238579
2016-06-07,3.1776649746192893
2016-06-08,7.944162436548224
2016-06-09,3.1776649746192893
2016-06-10,9.930203045685278
2016-06-11,5.560913705583756
2016-06-12,0.0
2016-06-13,6.355329949238579
2016-06-14,0.0
2016-06-15,3.1776649746192893
2016-06-16,3.1776649746192893
2016-06-17,6.75253807106599
2016-06-18,7.5469543147208125
2016-06-19,0.0
2016-06-20,6.355329949238579
2016-06-21,3.1776649746192893
2016-06-22,3.1776649746192893
2016-06-23,3.1776649746192893
2016-06-24,3.1776649746192893
2016-06-25,3.5748730964467006
2016-06-26,0.0
2016-06-27,4.7664974619289335
2016-06-28,3.1776649746192893
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,3.1776649746192893
2016-07-02,3.972081218274112
2016-07-03,7.5469543147208125
2016-07-04,0.0
2016-07-05,13.107868020304569
2016-07-06,6.75253807106599
2016-07-07,8.341370558375635
2016-07-08,6.75253807106599
2016-07-09,7.5469543147208125
2016-07-10,3.5748730964467006
2016-07-11,0.0
2016-07-12,3.1776649746192893
2016-07-13,3.1776649746192893
2016-07-14,3.1776649746192893
2016-07-15,0.0
2016-07-16,3.972081218274112
2016-07-17,3.972081218274112
2016-07-18,0.0
2016-07-19,6.355329949238579
2016-07-20,9.930203045685278
2016-07-21,3.1776649746192893
2016-07-22,5.163705583756345
2016-07-23,7.5469543147208125
2016-07-24,3.972081218274112
2016-07-25,3.1776649746192893
2016-07-26,3.1776649746192893
2016-07-27,24.22969543147208
2016-07-28,7.944162436548224
2016-07-29,18.668781725888326
2016-07-30,11.519035532994923
2016-07-31,5.560913705583756
2016-08-01,0.0
2016-08-02,6.355329949238579
2016-08-03,0.0
2016-08-04,3.1776649746192893
2016-08-05,0.0
2016-08-06,3.972081218274112
2016-08-07,3.972081218274112
2016-08-08,0.0
2016-08-09,0.0
2016-08-10,4.7664974619289335
2016-08-11,6.75253807106599
2016-08-12,3.1776649746192893
2016-08-13,3.972081218274112
2016-08-14,0.0
2016-08-15,0.0
2016-08-16,3.1776649746192893
2016-08-17,3.1776649746192893
2016-08-18,6.355329949238579
2016-08-19,3.1776649746192893
2016-08-20,7.5469543147208125
2016-08-21,0.0
2016-08-22,3.1776649746192893
2016-08-23,3.1776649746192893
2016-08-24,6.355329949238579
2016-08-25,3.1776649746192893
2016-08-26,3.1776649746192893
2016-08-27,0.0
2016-08-28,3.5748730964467006
2016-08-29,3.1776649746192893
2016-08-30,0.0
2016-08-31,6.355329949238579
2016-09-01,6.355329949238579
2016-09-02,3.1776649746192893
2016-09-03,3.5748730964467006
2016-09-04,3.5748730964467006
2016-09-05,3.1776649746192893
2016-09-06,4.7664974619289335
2016-09-07,9.532994923857867
2016-09-08,3.1776649746192893
2016-09-09,6.355329949238579
2016-09-10,3.5748730964467006
2016-09-11,7.149746192893401
2016-09-12,3.1776649746192893
2016-09-13,3.1776649746192893
2016-09-14,3.1776649746192893
2016-09-15,0.0
2016-09-16,0.0
2016-09-17,0.0
2016-09-18,3.5748730964467006
2016-09-19,0.0
2016-09-20,3.1776649746192893
2016-09-21,3.1776649746192893
2016-09-22,3.1776649746192893
2016-09-23,0.0
2016-09-24,5.560913705583756
2016-09-25,0.0
2016-09-26,0.0
2016-09-27,9.135786802030458
2016-09-28,7.5469543147208125
2016-09-29,0.0
2016-09-30,4.7664974619289335
2016-10-01,6.074873096446701
2016-10-02,5.376269035532995
2016-10-03,3.6846446700507616
2016-10-04,5.979060913705584
2016-10-05,3.0
2016-10-06,6.773477157360406
2016-10-07,4.588832487309645
2016-10-08,18.7246192893401
2016-10-09,17.738578680203048
2016-10-10,39.36040609137056
2016-10-11,15.135786802030458
2016-10-12,10.56789340101523
2016-10-13,5.979060913705584
2016-10-14,13.951142131979696
2016-10-15,6.081852791878172
2016-10-16,7.663705583756345
2016-10-17,7.684644670050762
2016-10-18,6.773477157360406
2016-10-19,4.479060913705584
2016-10-20,8.369289340101524
2016-10-21,5.979060913705584
2016-10-22,14.238578680203046
2016-10-23,5.376269035532995
2016-10-24,4.479060913705584
2016-10-25,5.979060913705584
2016-10-26,5.8902284263959395
2016-10-27,10.06789340101523
2016-10-28,10.266497461928934
2016-10-29,17.36230964467005
2016-10-30,14.944162436548224
2016-10-31,7.773477157360406
2016-11-01,12.656725888324873
2016-11-02,20.0
2016-11-03,18.0
2016-11-04,19.0
2016-11-05,18.0
2016-11-06,14.0
2016-11-07,10.0
2016-11-08,19.0
