date,employment
2016-12-14,75.6519691780822
2016-12-15,68.9486301369863
2016-12-16,63.202910958904106
2016-12-17,40.220034246575345
2016-12-18,38.304794520547944
2016-12-19,67.0333904109589
2016-12-20,67.9910102739726
2016-12-21,67.9910102739726
2016-12-22,61.28767123287671
2016-12-23,47.88099315068493
2016-12-24,29.68621575342466
2016-12-25,24.898116438356166
2016-12-26,41.17765410958904
2016-12-27,57.457191780821915
2016-12-28,65.1181506849315
2016-12-29,64.1605308219178
2016-12-30,57.457191780821915
2016-12-31,39.26241438356164
2017-01-01,34.47431506849315
2017-01-02,62.24529109589041
2017-01-03,86.18578767123287
2017-01-04,89.05864726027397
2017-01-05,89.05864726027397
2017-01-06,82.35530821917808
2017-01-07,51.711472602739725
2017-01-08,51.711472602739725
2017-01-09,94.80436643835617
2017-01-10,91.93150684931507
2017-01-11,89.05864726027397
2017-01-12,91.93150684931507
2017-01-13,77.56720890410959
2017-01-14,48.83861301369863
2017-01-15,47.88099315068493
2017-01-16,80.44006849315069
2017-01-17,95.76198630136986
2017-01-18,94.80436643835617
2017-01-19,90.01626712328768
2017-01-20,80.44006849315069
2017-01-21,50.75385273972603
2017-01-22,49.79623287671233
2017-01-23,95.76198630136986
2017-01-24,95.76198630136986
2017-01-25,89.05864726027397
2017-01-26,84.27054794520548
2017-01-27,81.39768835616438
2017-01-28,52.66909246575342
2017-01-29,52.66909246575342
2017-01-30,91.93150684931507
2017-01-31,91.93150684931507
2017-02-01,89.05864726027397
2017-02-02,88.10102739726027
2017-02-03,79.48244863013699
2017-02-04,50.75385273972603
2017-02-05,49.79623287671233
2017-02-06,90.01626712328768
2017-02-07,92.88912671232876
2017-02-08,88.10102739726027
2017-02-09,84.27054794520548
2017-02-10,77.56720890410959
2017-02-11,48.83861301369863
2017-02-12,50.75385273972603
2017-02-13,85.22816780821918
2017-02-14,82.35530821917808
2017-02-15,86.18578767123287
2017-02-16,87.14340753424658
2017-02-17,78.52482876712328
2017-02-18,48.83861301369863
2017-02-19,48.83861301369863
2017-02-20,80.44006849315069
2017-02-21,90.97388698630137
2017-02-22,90.01626712328768
2017-02-23,83.31292808219177
2017-02-24,76.60958904109589
2017-02-25,48.83861301369863
2017-02-26,53.62671232876712
2017-02-27,90.97388698630137
2017-02-28,94.80436643835617
2017-03-01,86.07003142405539
2017-03-02,87.02370505136986
2017-03-03,81.28587834468613
2017-03-04,51.64044036015354
2017-03-05,49.24902152641878
2017-03-06,90.84760744392594
2017-03-07,90.37142833621857
2017-03-08,92.281406414647
2017-03-09,86.54752594366249
2017-03-10,77.46197595213005
2017-03-11,50.68413590903958
2017-03-12,50.20532597753274
2017-03-13,83.19848724691403
2017-03-14,86.06871601215565
2017-03-15,87.0250204632696
2017-03-16,83.67598176652115
2017-03-17,75.06924170649555
2017-03-18,48.77152700681168
2017-03-19,52.1166194678609
