date,russian influence
2016-05-01,4.854961832061068
2016-05-02,11.617230098146127
2016-05-03,4.161395856052344
2016-05-04,2.080697928026172
2016-05-05,4.334787350054525
2016-05-06,2.254089422028353
2016-05-07,5.028353326063249
2016-05-08,5.028353326063249
2016-05-09,3.1210468920392582
2016-05-10,5.20174482006543
2016-05-11,6.2420937840785164
2016-05-12,6.4154852780806975
2016-05-13,2.254089422028353
2016-05-14,0.0
2016-05-15,4.854961832061068
2016-05-16,7.2824427480916025
2016-05-17,5.20174482006543
2016-05-18,4.161395856052344
2016-05-19,4.161395856052344
2016-05-20,3.2944383860414392
2016-05-21,2.427480916030534
2016-05-22,2.427480916030534
2016-05-23,6.2420937840785164
2016-05-24,6.2420937840785164
2016-05-25,4.161395856052344
2016-05-26,2.254089422028353
2016-05-27,2.254089422028353
2016-05-28,2.427480916030534
2016-05-29,2.427480916030534
2016-05-30,4.334787350054525
2016-05-31,2.080697928026172
2016-06-01,2.080697928026172
2016-06-02,3.1210468920392582
2016-06-03,3.2944383860414392
2016-06-04,2.600872410032715
2016-06-05,4.854961832061068
2016-06-06,4.161395856052344
2016-06-07,2.080697928026172
2016-06-08,2.080697928026172
2016-06-09,2.080697928026172
2016-06-10,3.2944383860414392
2016-06-11,4.854961832061068
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,2.080697928026172
2016-06-15,2.080697928026172
2016-06-16,2.080697928026172
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,4.161395856052344
2016-06-21,2.080697928026172
2016-06-22,5.20174482006543
2016-06-23,0.0
2016-06-24,2.254089422028353
2016-06-25,0.0
2016-06-26,2.427480916030534
2016-06-27,2.080697928026172
2016-06-28,2.080697928026172
2016-06-29,2.080697928026172
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,2.600872410032715
2016-07-03,2.600872410032715
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,3.2944383860414392
2016-07-07,2.254089422028353
2016-07-08,2.254089422028353
2016-07-09,2.600872410032715
2016-07-10,0.0
2016-07-11,2.080697928026172
2016-07-12,3.1210468920392582
2016-07-13,2.254089422028353
2016-07-14,2.254089422028353
2016-07-15,2.254089422028353
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,2.080697928026172
2016-07-19,2.254089422028353
2016-07-20,4.334787350054525
2016-07-21,2.254089422028353
2016-07-22,2.254089422028353
2016-07-23,0.0
2016-07-24,7.6292257360959645
2016-07-25,8.49618320610687
2016-07-26,5.375136314067611
2016-07-27,3.2944383860414392
2016-07-28,4.334787350054525
2016-07-29,4.508178844056706
2016-07-30,0.0
2016-07-31,2.600872410032715
2016-08-01,2.080697928026172
2016-08-02,3.2944383860414392
2016-08-03,2.254089422028353
2016-08-04,8.66957470010905
2016-08-05,2.254089422028353
2016-08-06,3.8146128680479823
2016-08-07,2.600872410032715
2016-08-08,3.2944383860414392
2016-08-09,2.080697928026172
2016-08-10,8.66957470010905
2016-08-11,2.254089422028353
2016-08-12,2.254089422028353
2016-08-13,5.028353326063249
2016-08-14,5.028353326063249
2016-08-15,4.508178844056706
2016-08-16,2.080697928026172
2016-08-17,2.080697928026172
2016-08-18,2.254089422028353
2016-08-19,2.254089422028353
2016-08-20,0.0
2016-08-21,2.427480916030534
2016-08-22,4.334787350054525
2016-08-23,0.0
2016-08-24,2.080697928026172
2016-08-25,0.0
2016-08-26,0.0
2016-08-27,2.427480916030534
2016-08-28,0.0
2016-08-29,3.1210468920392582
2016-08-30,4.161395856052344
2016-08-31,0.0
2016-09-01,4.161395856052344
2016-09-02,6.5888767720828785
2016-09-03,0.0
2016-09-04,2.427480916030534
2016-09-05,3.2944383860414392
2016-09-06,5.20174482006543
2016-09-07,3.1210468920392582
2016-09-08,7.2824427480916025
2016-09-09,5.375136314067611
2016-09-10,2.427480916030534
2016-09-11,2.427480916030534
2016-09-12,6.2420937840785164
2016-09-13,0.0
2016-09-14,4.161395856052344
2016-09-15,5.375136314067611
2016-09-16,0.0
2016-09-17,2.427480916030534
2016-09-18,0.0
2016-09-19,2.080697928026172
2016-09-20,6.068702290076335
2016-09-21,4.161395856052344
2016-09-22,3.1210468920392582
2016-09-23,4.334787350054525
2016-09-24,5.895310796074154
2016-09-25,2.427480916030534
2016-09-26,2.080697928026172
2016-09-27,2.947655398037077
2016-09-28,3.9880043620501633
2016-09-29,4.161395856052344
2016-09-30,0.0
2016-10-01,3.213740458015267
2016-10-02,4.23391494002181
2016-10-03,5.96782988004362
2016-10-04,3.4738276990185386
2016-10-05,1.9940021810250816
2016-10-06,4.040348964013086
2016-10-07,4.040348964013086
2016-10-08,5.554525627044711
2016-10-09,2.73391494002181
2016-10-10,15.16957470010905
2016-10-11,8.048527808069792
2016-10-12,9.054525627044711
2016-10-13,3.9940021810250816
2016-10-14,8.121046892039258
2016-10-15,4.840785169029443
2016-10-16,6.840785169029443
2016-10-17,5.988004362050163
2016-10-18,4.514176663031625
2016-10-19,4.947655398037077
2016-10-20,11.455834242093783
2016-10-21,4.040348964013086
2016-10-22,4.23391494002181
2016-10-23,2.1270447110141766
2016-10-24,3.4738276990185386
2016-10-25,1.9536532170119956
2016-10-26,4.494002181025081
2016-10-27,5.514176663031625
2016-10-28,4.580697928026172
2016-10-29,2.213740458015267
2016-10-30,1.0
2016-10-31,3.060523446019629
2016-11-01,4.080697928026172
2016-11-02,6.0
2016-11-03,4.0
2016-11-04,4.0
2016-11-05,5.0
2016-11-06,2.0
2016-11-07,8.0
2016-11-08,5.0
2016-11-09,19.0
2016-11-10,9.0
