date,donald trump strength
2016-12-04,12.0
2016-12-05,10.0
2016-12-06,20.0
2016-12-07,20.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,14.0
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,10.0
2016-12-14,10.0
2016-12-15,10.0
2016-12-16,11.0
2016-12-17,0.0
2016-12-18,12.0
2016-12-19,0.0
2016-12-20,11.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,23.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,11.0
2016-12-27,0.0
2016-12-28,11.0
2016-12-29,0.0
2016-12-30,11.0
2016-12-31,19.0
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,10.0
2017-01-06,0.0
2017-01-07,0.0
2017-01-08,12.0
2017-01-09,10.0
2017-01-10,0.0
2017-01-11,0.0
2017-01-12,0.0
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,11.0
2017-01-16,0.0
2017-01-17,20.0
2017-01-18,30.0
2017-01-19,10.0
2017-01-20,20.0
2017-01-21,23.0
2017-01-22,11.0
2017-01-23,10.0
2017-01-24,15.0
2017-01-25,10.0
2017-01-26,25.0
2017-01-27,21.0
2017-01-28,12.0
2017-01-29,40.0
2017-01-30,15.0
2017-01-31,20.0
2017-02-01,20.0
2017-02-02,10.0
2017-02-03,10.0
2017-02-04,11.0
2017-02-05,11.0
2017-02-06,19.0
2017-02-07,10.0
2017-02-08,29.0
2017-02-09,0.0
2017-02-10,20.0
2017-02-11,11.0
2017-02-12,0.0
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,0.0
2017-02-16,20.0
2017-02-17,20.0
2017-02-18,0.0
2017-02-19,12.0
2017-02-20,0.0
2017-02-21,10.0
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,10.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,15.0
2017-02-28,0.0
2017-03-01,36.58333333333333
2017-03-02,7.2875
2017-03-03,0.0
2017-03-04,19.391666666666666
2017-03-05,0.0
2017-03-06,5.0
2017-03-07,12.2875
2017-03-08,0.0
2017-03-09,5.0
2017-03-10,5.0
2017-03-11,0.0
2017-03-12,22.28333333333333
2017-03-13,0.0
2017-03-14,5.0
2017-03-15,7.2875
2017-03-16,19.575
2017-03-17,0.0
2017-03-18,0.0
2017-03-19,0.0
2017-03-20,17.2875
2017-03-21,0.0
2017-03-22,5.0
2017-03-23,10.0
2017-03-24,5.0
2017-03-25,0.0
2017-03-26,0.0
2017-03-27,5.0
2017-03-28,0.0
2017-03-29,25.016666666666666
2017-03-30,0.0
2017-03-31,0.0
2017-04-01,0.0
2017-04-02,17.224999999999998
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,15.016666666666666
2017-04-07,0.0
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,30.474999999999998
2017-04-13,15.899999999999999
2017-04-14,17.224999999999998
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,34.449999999999996
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,15.458333333333332
2017-04-29,0.0
2017-04-30,35.775
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,14.575
2017-05-04,15.016666666666666
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,14.575
2017-05-10,15.016666666666666
2017-05-11,0.0
2017-05-12,0.0
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,15.016666666666666
2017-05-16,0.0
2017-05-17,0.0
2017-05-18,0.0
2017-05-19,15.458333333333332
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,15.899999999999999
2017-05-26,16.341666666666665
2017-05-27,36.65833333333333
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,15.016666666666666
2017-05-31,0.0
2017-06-01,0.0
2017-06-02,0.0
2017-06-03,0.0
